prefecture,city,number,address,name,lat,long
北海道,音更町,1,北海道河東郡音更町元町2,,42.993608,143.199486
北海道,音更町,2,北海道河東郡音更町大通11-1-19,,42.992273,143.202046
北海道,音更町,3,北海道河東郡音更町新通7-5,,42.99723,143.20439
北海道,音更町,4,北海道河東郡音更町希望が丘2,,42.99139,143.192213
北海道,音更町,5,北海道河東郡音更町新通15-1-3,,42.986298,143.204445
北海道,音更町,6,北海道河東郡音更町緑が丘1,,42.98515,143.196871
北海道,音更町,7,北海道河東郡音更町大通6-7,,42.997032,143.198342
北海道,音更町,8,北海道河東郡音更町大通4-1地先,,42.998955,143.199699
北海道,音更町,9,北海道河東郡音更町新通北1-7,,43.004317,143.198391
北海道,音更町,10,北海道河東郡音更町大通2-2-2,,43.001816,143.197186
北海道,音更町,11,北海道河東郡音更町柏寿台1,,43.004804,143.193919
北海道,音更町,12,北海道河東郡音更町字音更西1線43-8地先,,43.011449,143.186285
北海道,音更町,13,北海道河東郡音更町柳町北区8-9,,42.974969,143.215078
北海道,音更町,14,北海道河東郡音更町柳町仲区15-3,,42.970565,143.214238
北海道,音更町,15,北海道河東郡音更町柳町南区14,,42.96792,143.21275
北海道,音更町,16,北海道河東郡音更町緑陽台北区28-16,,42.976361,143.192622
北海道,音更町,17,北海道河東郡音更町緑陽台仲区30-1,,42.970475,143.196457
北海道,音更町,18,北海道河東郡音更町緑陽台南区21,,42.966192,143.197192
北海道,音更町,19,北海道河東郡音更町共栄台東12-5-13,,42.958483,143.198284
北海道,音更町,20,北海道河東郡音更町共栄台東12-2-11,,42.956904,143.198489
北海道,音更町,21,北海道河東郡音更町木野西通12-8,,42.957125,143.20214
北海道,音更町,22,北海道河東郡音更町木野大通西12-1-1地先,,42.957893,143.206149
北海道,音更町,23,北海道河東郡音更町木野西通10-3-13,,42.954972,143.203257
北海道,音更町,24,北海道河東郡音更町木野西通8-2,,42.951285,143.20156
北海道,音更町,25,北海道河東郡音更町北鈴蘭南4-1地先,,42.958556,143.189445
北海道,音更町,26,北海道河東郡音更町中鈴蘭北6-6-2,,42.952993,143.187714
北海道,音更町,27,北海道河東郡音更町中鈴蘭元町2-10,,42.954325,143.191898
北海道,音更町,28,北海道河東郡音更町北鈴蘭南1-1-2,,42.956651,143.195524
北海道,音更町,29,北海道河東郡音更町中鈴蘭南1-4,,42.954499,143.195779
北海道,音更町,30,北海道河東郡音更町すずらん台北町2-1,,42.955609,143.184318
北海道,音更町,31,北海道河東郡音更町中鈴蘭南2-1-1,,42.951615,143.194811
北海道,音更町,32,北海道河東郡音更町木野大通東8-1-13,,42.950559,143.20539
北海道,音更町,33,北海道河東郡音更町木野大通西6-1-39､44,,42.94794,143.203834
北海道,音更町,34,北海道河東郡音更町木野大通東5-1-1,,42.945296,143.20454
北海道,音更町,35,北海道河東郡音更町木野東通5-6-7,,42.946921,143.207542
北海道,音更町,36,北海道河東郡音更町木野東通5-6-4,,42.945076,143.207264
北海道,音更町,37,北海道河東郡音更町木野大通西1-8-40,,42.939983,143.200903
北海道,音更町,38,北海道河東郡音更町木野大通西2-9-1,,42.941973,143.202805
北海道,音更町,39,北海道河東郡音更町木野大通東2-1-13,,42.941398,143.203734
北海道,音更町,40,北海道河東郡音更町木野東通1-2,,42.940048,143.204947
北海道,音更町,41,北海道河東郡音更町宝来西町南1-2,,42.946902,143.215266
北海道,音更町,42,北海道河東郡音更町宝来東町北1-7-1,,42.949285,143.221003
北海道,音更町,43,北海道河東郡音更町宝来仲町北1-1,,42.948268,143.218794
北海道,音更町,44,北海道河東郡音更町宝来仲町南2-1,,42.945009,143.219273
北海道,音更町,45,北海道河東郡音更町宝来東町南2-6-8,,42.944551,143.222732
北海道,音更町,46,北海道河東郡音更町十勝川温泉北14-2地先,,42.935427,143.299226
北海道,音更町,47,北海道河東郡音更町十勝川温泉北13-1,,42.933576,143.299192
北海道,音更町,48,北海道河東郡音更町十勝川温泉南13-1地先,,42.931936,143.299551
北海道,音更町,49,北海道河東郡音更町十勝川温泉北9-1-4地先,,42.936693,143.289193
北海道,音更町,50,北海道河東郡音更町駒場北町2-11地先,,43.052243,143.181152
北海道,音更町,51,北海道河東郡音更町駒場南1条通3,,43.046697,143.182855
北海道,音更町,52,北海道河東郡音更町駒場本通1-13-2,,43.047505,143.187281
北海道,音更町,53,北海道河東郡音更町駒場西1 音更高校,,43.041374,143.177077
北海道,音更町,54,北海道河東郡音更町駒場南4条通1-1地先,,43.043189,143.184796
北海道,音更町,55,北海道河東郡音更町駒場並木8-1,,43.05518,143.159906
北海道,音更町,56,北海道河東郡音更町南鈴蘭北1-1-1,,42.949337,143.199507
北海道,音更町,57,北海道河東郡音更町南鈴蘭南3-7-11,,42.948791,143.19591
北海道,音更町,58,北海道河東郡音更町鈴蘭公園2地先,,42.946505,143.196448
北海道,音更町,59,北海道河東郡音更町南鈴蘭北6-12,,42.949256,143.187714
北海道,音更町,60,北海道河東郡音更町鈴蘭公園2-3,,42.946439,143.202035
北海道,音更町,61,北海道河東郡音更町字下士幌北2線東26-1地先,,42.943869,143.229999
北海道,音更町,62,北海道河東郡音更町字下士幌北2線東51-3地先,,42.946173,143.260225
北海道,音更町,63,北海道河東郡音更町字下士幌北3線東48-4地先,,42.949923,143.256175
北海道,音更町,64,北海道河東郡音更町字長流枝幹線70,,42.994176,143.318945
北海道,音更町,65,北海道河東郡音更町字東和東1線19地先,,42.995003,143.240662
北海道,音更町,66,北海道河東郡音更町字東和西2線18地先,,42.99341,143.223346
北海道,音更町,67,北海道河東郡音更町字東音更東4線19地先,,43.043786,143.259652
北海道,音更町,68,北海道河東郡音更町字東音更東4線15,,43.041605,143.259333
北海道,音更町,69,北海道河東郡音更町字東音更東7線19-7地先,,43.042603,143.273323
北海道,音更町,70,北海道河東郡音更町字豊田東8線23-2地先,,43.087857,143.291867
北海道,音更町,71,北海道河東郡音更町字豊田東5線26地先,,43.090355,143.273727
北海道,音更町,72,北海道河東郡音更町字東音更幹線25地先,,43.05514,143.207176
北海道,音更町,73,北海道河東郡音更町字東音更西2線25地先,,43.056182,143.220861
北海道,音更町,74,北海道河東郡音更町字中音更西3線6-13地先,,43.121771,143.177746
北海道,音更町,75,北海道河東郡音更町字中音更基線63-7地先,,43.132256,143.204212
北海道,音更町,76,北海道河東郡音更町字西中音更北15線7,,43.13706,143.099281
北海道,音更町,77,北海道河東郡音更町字西中音更北10線7-20,,43.113001,143.090882
北海道,音更町,78,北海道河東郡音更町字南中音更北3線12地先,,43.086536,143.060966
北海道,音更町,79,北海道河東郡音更町字南中音更北4線8地先,,43.088863,143.076236
北海道,音更町,80,北海道河東郡音更町字上然別西4線96-11地先,,43.049782,143.096731
北海道,音更町,81,北海道河東郡音更町字上然別西6線102-15地先,,43.052963,143.084895
北海道,音更町,82,北海道河東郡音更町字万年基線55,,43.018631,143.130829
北海道,音更町,83,北海道河東郡音更町字万年西1線37-11,,43.001867,143.125199
北海道,音更町,84,北海道河東郡音更町字高倉西5線69地先,,43.026788,143.092284
北海道,音更町,85,北海道河東郡音更町字東士狩北6線17-1地先,,43.045914,143.131274
北海道,音更町,86,北海道河東郡音更町字東士狩西7線51-3地先,,43.016538,143.148311
北海道,音更町,87,北海道河東郡音更町字東士狩西7線38地先,,43.003471,143.147921
北海道,音更町,88,北海道河東郡音更町字然別北8線48-23地先,,42.967798,143.145883
北海道,音更町,89,北海道河東郡音更町字然別北8線43,,42.968366,143.149502
北海道,音更町,90,北海道河東郡音更町字然別北5線西37-1地先,,42.954241,143.159904
北海道,音更町,91,北海道河東郡音更町柏寿台2-30地先,,43.001758,143.192808
北海道,音更町,92,北海道河東郡音更町北陽台7,,43.000107,143.193074
北海道,音更町,93,北海道河東郡音更町雄飛が丘北区1,,43.002527,143.189853
北海道,音更町,94,北海道河東郡音更町雄飛が丘仲区1-11,,42.99832,143.19154
北海道,音更町,95,北海道河東郡音更町桜が丘5地先,,42.99664,143.19367
北海道,音更町,96,北海道河東郡音更町雄飛が丘2地先,,42.994494,143.195441
北海道,音更町,97,北海道河東郡音更町東通20-1地先,,42.977854,143.212001
北海道,音更町,98,北海道河東郡音更町木野大通東17-2-190,,42.971511,143.210108
北海道,音更町,99,北海道河東郡音更町木野大通東14-7-13,,42.963503,143.21336
北海道,音更町,100,北海道河東郡音更町木野西通16-10地先,,42.967226,143.199457
北海道,音更町,101,北海道河東郡音更町木野西通17-1-18,,42.969946,143.205479
北海道,音更町,102,北海道河東郡音更町木野西通16-1-27,,42.967501,143.2053
北海道,音更町,103,北海道河東郡音更町ひびき野西町1-7-1,,42.942714,143.214099
北海道,音更町,104,北海道河東郡音更町ひびき野仲町1-6-1,,42.940892,143.219666
北海道,音更町,105,北海道河東郡音更町ひびき野東町1-28,,42.94161,143.222552
