prefecture,city,number,address,name,lat,long,note
千葉県,長生村,1,岩沼2119,長生村文化会館前,35.4046587,140.3501269,
千葉県,長生村,2,岩沼822,ＪＲ八積駅前,35.4033253,140.3454871,
千葉県,長生村,3,北水口164-1,佐瀬宅脇,35.4090573,140.3432556,
千葉県,長生村,4,萩塚45-11,市東宅前,35.400045206828324, 140.33833940983027
千葉県,長生村,5,萩塚771-1,長生村萩塚技場前,35.4011820965762, 140.32945593401584
千葉県,長生村,6,七井土1878,七井土自治会館前,35.3955616,140.3318407,
千葉県,長生村,7,岩沼2540-1,村営住宅前,35.4020678,140.3436586,
千葉県,長生村,8,金田2660,長生村立八積小学校前,35.3920906587373, 140.34407772569492,
千葉県,長生村,9,信友498-3,信友コミュニティセンター前,35.3892122,140.3586989,
千葉県,長生村,10,本郷1-77,長生村役場前,35.412362141595636, 140.35438424658366
千葉県,長生村,11,本郷1297,長生村立高根小学校前,35.4167106,140.3611936,
千葉県,長生村,12,本郷6645-2,高根小学校入口交差点脇,35.416901747846765, 140.36056408143023
千葉県,長生村,13,宮成2778-2,宮成新地交差点脇,35.40994719125437, 140.3579371600014
千葉県,長生村,14,中之郷430-1,石川宅前,35.4315889,140.3546351,
千葉県,長生村,15,本郷3188,斉藤商店前,35.4260731,140.3555638,
千葉県,長生村,16,本郷5361-2,本郷尼ヶ台交差点脇,35.420981411294036, 140.34105238858677
千葉県,長生村,17,小泉195,小泉バス停留所前,35.4166093,140.3708176,
千葉県,長生村,18,本郷5630,諸岡宅脇,35.4193618,140.3559256,
千葉県,長生村,19,一松丁199,森宅前,35.4094732,140.3702115,
千葉県,長生村,20,一松丁573,長生村立一松小学校前,35.4050255,140.3704892,
千葉県,長生村,21,一松丙3708,長生村ふれあい館前,35.40204222105951, 140.36980448336658
千葉県,長生村,22,一松364-3,狩野宅前,35.399175972871, 140.37428343002773
千葉県,長生村,23,一松丙4164,細谷商店前,35.3992231,140.385431,
千葉県,長生村,24,一松丙4416,川野宅前,35.4021126,140.3854689,
千葉県,長生村,25,一松丁2447-15,大坪東部集会所前,35.407897,140.3860261,
千葉県,長生村,26,一松戊1519,斉藤宅前,35.415389344510835, 140.38277963383075
千葉県,長生村,27,一松戊1971,驚高バス停留所脇,35.4146159,140.3881947,
