prefecture,city,number,address,name,lat,long,note
埼玉県,桶川市,1-1,東1丁目1番10号脇,スク-ルＩＥ桶川東口校脇駐車場,36.0006475,139.5674065,
埼玉県,桶川市,1-2,東2丁目4番24号,中山道桶川中央マンション向,35.9968019,139.5697712,
埼玉県,桶川市,1-3,南1丁目1番,駅東口市内循環バス乗場,35.9981288,139.5648413,
埼玉県,桶川市,1-4,南1丁目1番,駅東口自転車駐輪場フェンス(東側),35.9981288,139.5648413,
埼玉県,桶川市,1-5,南1丁目1番,,35.9981288,139.5648413,
埼玉県,桶川市,1-6,寿1丁目8番,ことぶき広場(東側),36.0001928,139.5641249,
埼玉県,桶川市,1-7,寿1丁目8番,ことぶき広場(西側),36.0001928,139.5641249,
埼玉県,桶川市,2-1,寿2丁目14番23号,稲荷神社(南西側),36.0039312,139.5662292,
埼玉県,桶川市,2-2,寿2丁目4番7号,稲荷通り民家際,36.0030571,139.5636672,
埼玉県,桶川市,2-3,北1丁目25番23号,桶川消防署(南東側)(国道17号線側),36.0084309,139.5641964,
埼玉県,桶川市,2-4,北1丁目22番,旧大寿司前駐車場,36.0056545,139.5662258,
埼玉県,桶川市,2-5,北1丁目12番10号,勤労福祉会館(東側),36.005557,139.5636071,
埼玉県,桶川市,2-6,北2丁目7番,第二細谷マンション脇,36.0093856,139.5593493,
埼玉県,桶川市,2-7,北2丁目1番5号,民家西側駐車場,36.00606030000001,139.5608345,
埼玉県,桶川市,3-1,西1丁目4番,桶川小学校北東(西一郵便局側),36.003859,139.5601452,
埼玉県,桶川市,3-2,西1丁目4番,桶川小学校(南西側),36.003859,139.5601452,
埼玉県,桶川市,3-3,西2丁目3番,べにばな陸橋下駐車場,36.00436699999999,139.5591106,
埼玉県,桶川市,3-4,西2丁目9番36号,マメトラショッピングパ-ク(北東側),36.0077114,139.5576011,
埼玉県,桶川市,3-5,坂田1726番地,埼玉県央病院西側,36.011295,139.561462,緯度経度は怪しい
埼玉県,桶川市,3-6,加納37番地の1,サイクルベ-スあさひ脇民家際,36.021614,139.565598,緯度経度は怪しい
埼玉県,桶川市,3-7,加納86番地の5,桶川武蔵野台文化村公園,36.014812,139.553726,緯度経度は怪しい
埼玉県,桶川市,4-1,朝日1丁目22番,朝日中央公園第5分団器具置場際,35.991608,139.565979,緯度経度は怪しい
埼玉県,桶川市,4-2,朝日1丁目29番,朝日公園(北側),35.989632,139.565369,緯度経度は怪しい
埼玉県,桶川市,4-3,朝日2丁目6番,朝日南公園(西側),35.98904,139.572601,緯度経度は怪しい
埼玉県,桶川市,4-4,朝日2丁目18番,朝日小学校(正門側),35.9891523,139.5703337,
埼玉県,桶川市,4-5,朝日3丁目4番11号,朝日3丁目会館前,35.9895284,139.5682062,
埼玉県,桶川市,4-6,神明1丁目1番1号,神明1丁目会館入口際駐車場,35.994564,139.568619,緯度経度は怪しい
埼玉県,桶川市,4-7,神明2丁目9番,神明公園(北側),35.989346,139.574066,緯度経度は怪しい
埼玉県,桶川市,5-1,若宮1丁目2番,桶川駅西口広場(北側),35.9981952,139.5641249,
埼玉県,桶川市,5-2,若宮1丁目2番,桶川駅西口広場(南側),35.9981952,139.5641249,
埼玉県,桶川市,5-3,若宮1丁目5番,駅西口公園(北側),35.9975266,139.5614187,
埼玉県,桶川市,5-4,若宮1丁目5番,桶川市民ホ-ル西側,35.9975266,139.5614187,
埼玉県,桶川市,5-5,若宮2丁目35番,若宮東公園(東側),35.9951655,139.5673884,
埼玉県,桶川市,5-6,若宮2丁目11番,若宮西公園(南側),35.9952105,139.5646821,
埼玉県,桶川市,5-7,若宮2丁目16番,民家向駐車場(民家脇),35.99611549999999,139.5660352,
埼玉県,桶川市,6-1,泉1丁目15番32号,民家際,35.9986555,139.5556834,
埼玉県,桶川市,6-2,鴨川1丁目1番32号,民家際,35.9972058,139.5552805,
埼玉県,桶川市,6-3,鴨川1丁目1番51号,桶川郵便局向民家際,35.9986417,139.5572878,
埼玉県,桶川市,6-4,鴨川1丁目4番3号,商工会館(南側),35.9966789,139.5587448,
埼玉県,桶川市,6-5,鴨川2丁目16番,鴨川公園(東側),35.992523,139.557739,緯度経度は怪しい
埼玉県,桶川市,6-6,鴨川2丁目16番,鴨川公園(西側),35.992523,139.557739,緯度経度は怪しい
埼玉県,桶川市,6-7,鴨川1丁目4番3号,保健センタ-(東側),35.9966789,139.5587448,
埼玉県,桶川市,7-1,泉1丁目2番10号脇,市役所来客用駐車場際,36.0029426,139.5589379,
埼玉県,桶川市,7-2,泉1丁目8番26号,民家際,36.0005118,139.5574173,
埼玉県,桶川市,7-3,泉1丁目5番,桶川中学校(東側)(市役所前通り側),36.0007475,139.5595085,
埼玉県,桶川市,7-4,泉1丁目5番,桶川中学校(正門側),36.0007475,139.5595085,
埼玉県,桶川市,7-5,泉2丁目2番,三共理化学㈱(南東側),36.0062578,139.5540967,
埼玉県,桶川市,7-6,泉2丁目12番,JRアパ-ト児童公園(桶川ビレッジ東側),36.0040534,139.5539375,
埼玉県,桶川市,7-7,泉2丁目5番,民家際,36.0029321,139.5568025,
埼玉県,桶川市,8-1,上日出谷453番地の1,民家際,36.00938,139.536667,緯度経度は怪しい
埼玉県,桶川市,8-2,上日出谷831番地の8,殿山団地自治会館脇,36.009548,139.544327,緯度経度は怪しい
埼玉県,桶川市,8-3,上日出谷327番地の1,日出谷小学校正門向,36.006805,139.539276,緯度経度は怪しい
埼玉県,桶川市,8-4,上日出谷南2丁目29番地の16,民家脇,36.0053837,139.5413403,
埼玉県,桶川市,8-5,上日出谷885番地,日出谷小学校(東側)(プ-ル側),36.007435,139.541,緯度経度は怪しい
埼玉県,桶川市,8-6,上日出谷南3丁目4番地の1,桶川市役所旧分庁舎(南側),36.005716,139.5432901,
埼玉県,桶川市,8-7,上日出谷南1丁目34番地の1,愛宕幼稚園脇十字路際駐車場,36.001785,139.54332,緯度経度は怪しい
埼玉県,桶川市,8-8,上日出谷南1丁目42番地,上日出谷宮公園(東側),36.001785,139.54332,緯度経度は怪しい
埼玉県,桶川市,9-1,上日出谷南1丁目44番地,上日出谷原公園(北側),36.001785,139.54332,緯度経度は怪しい
埼玉県,桶川市,9-2,上日出谷1244番地の1,ガソリンスタンド前ポケットパ-ク,36.005039,139.548004,緯度経度は怪しい
埼玉県,桶川市,9-3,上日出谷南1丁目4番地,上日出谷原新田広場(西側),36.001785,139.54332,緯度経度は怪しい
埼玉県,桶川市,9-4,下日出谷969番地の34,日出谷団地北入口際調整池,35.997532,139.546478,緯度経度は怪しい
埼玉県,桶川市,9-5,下日出谷943番地の77,日出谷団地南東側児童公園,36.001572,139.549774,緯度経度は怪しい
埼玉県,桶川市,9-6,下日出谷東3丁目4番地,下日出谷中央公園(西側),35.999084,139.550095,緯度経度は怪しい
埼玉県,桶川市,9-7,下日出谷836番地の1,西小学校(北側)(プ-ル側),35.999702,139.54747,緯度経度は怪しい
埼玉県,桶川市,10-1,下日出谷841番地,西小学校(西側),35.999702,139.54747,緯度経度は怪しい
埼玉県,桶川市,10-2,下日出谷725番地の1,東観団地児童遊園地,35.998779,139.544769,緯度経度は怪しい
埼玉県,桶川市,10-3,下日出谷西1丁目30番地,下日出谷第3公園(南側),35.995197,139.547806,緯度経度は怪しい
埼玉県,桶川市,10-4,下日出谷東1丁目9番,下日出谷東記念碑公園(南側),35.99453,139.553253,緯度経度は怪しい
埼玉県,桶川市,10-5,下日出谷西1丁目4番地,下日出谷第2公園(南西側),35.99297,139.550369,緯度経度は怪しい
