prefecture,city,number,address,name,lat,long
愛媛県,東温市,1-1,山之内２０９２番地,藤之内バス停横,33.86274529,132.9187775
愛媛県,東温市,1-2,山之内１７７８番地,神子野バス停前,33.86131093,132.908349
愛媛県,東温市,1-3,山之内５８１番地,旧荒木谷ポンプ蔵置所前,33.84394532,132.8983498
愛媛県,東温市,1-4,山之内２番地７,井口集会所前道路沿,33.82072032,132.90034
愛媛県,東温市,1-5,樋口５００番地,石丸商店西側道路沿,33.80609131,132.889267
愛媛県,東温市,1-6,樋口７６４番地,樋口集会所東側,33.809444205439,132.8878891468
愛媛県,東温市,1-7,横河原１８５番地１,伊予鉄道横河原駅舎東側,33.803386579953,132.88442909718
愛媛県,東温市,1-8,横河原１８１番地,双葉保育所入口東側,33.804278089644,132.88255691528
愛媛県,東温市,1-9,志津川６９５番地４,志津川集会所西側,33.80344772,132.8742371
愛媛県,東温市,1-10,志津川１７０番地,個人宅前南側,33.80470276,132.8793488
愛媛県,東温市,2-11,西岡１３１番地,西岡バス停東側,33.803408867808,132.86583602428
愛媛県,東温市,2-12,西岡８８０番地,ハリマ塚バス停東側,33.80274023,132.857843
愛媛県,東温市,2-13,西岡１０２番地,ＪＡえひめ中央北吉井経済センター集荷場前,33.80493334,132.8703314
愛媛県,東温市,3-14,見奈良９９７番地,見奈良公民館東側,33.791096172457,132.87496626377
愛媛県,東温市,3-15,見奈良５３０番地１,市役所前,33.791265584336,132.87169396877
愛媛県,東温市,3-16,田窪２２７７番地,田窪団地公園南側,33.795652343639,132.86568045616
愛媛県,東温市,3-17,志津川１６５９番地１,八反地集会所南側,33.79761383,132.8673917
愛媛県,東温市,3-18,志津川９７２番地,旧重信町役場跡地東側,33.796642008258,132.87484288216
愛媛県,東温市,3-19,志津川９９１番地,重信中学校北門前,33.796133803532,132.8721177578
愛媛県,東温市,3-20,志津川４５４番地,重信歯科医院東側,33.803029973476,132.87710130215
愛媛県,東温市,4-21,田窪１３４７番地,田窪集荷場南側,33.790249108032,132.86039113998
愛媛県,東温市,4-22,田窪１４１０番地,宇氣洲神社南側,33.791546450661,132.86083638668
愛媛県,東温市,4-23,田窪３００７番地１,田窪水木公園南側,33.793993961062,132.86419987679
愛媛県,東温市,4-24,牛渕１３９５番地,ＪＡえひめ中央重信支所農業倉庫南側,33.794239154058,132.85464584827
愛媛県,東温市,4-25,牛渕７１８番地,浮嶋神社前交差点北側,33.790570101853,132.85064935684
愛媛県,東温市,4-26,牛渕６３０番地,牛渕集会所東側,33.792598576639,132.85008072853
愛媛県,東温市,5-27,西岡５９９番地２２,播磨台団地公民館西側,33.799593102384,132.84960329533
愛媛県,東温市,5-28,牛渕１９５７番地１,県営牛渕団地第３棟南側,33.796900567399,132.84531712532
愛媛県,東温市,5-29,牛渕１８５５番地２,上樋集会所北側道路,33.797903591158,132.84912586212
愛媛県,東温市,5-30,野田１丁目９８８番地１４,県営牛渕団地第１３棟西側,33.796191756854,132.84314990044
愛媛県,東温市,5-31,野田１丁目１９番地,ゆるぎ公園北側,33.794132160837,132.84008145332
愛媛県,東温市,6-32,北野田７２番地５,御旅所前,33.791363664745,132.83974885941
愛媛県,東温市,6-33,南野田２３４番地２,南野田中組集会所北側,33.789384202024,132.83949136734
愛媛県,東温市,6-34,南野田３７５番地１５,カトーレック株式会社松山支店西側道路,33.786530841901,132.8359991312
愛媛県,東温市,6-35,北野田８２５番地１,アヴァンセY東側,33.797716360949,132.83026456833
愛媛県,東温市,6-36,野田３丁目３番地,てんじん公園南側,33.794872194547,132.83437907696
愛媛県,東温市,7-37,下林甲２８０９番地３,宮ノ段バス停東側,33.775450878254,132.85734415054
愛媛県,東温市,7-38,下林甲２７５５番地,西ノ谷公民館北側,33.775584648938,132.85369634628
愛媛県,東温市,7-39,上村甲２９８番地,上村バス停横,33.774893498156,132.84829437733
愛媛県,東温市,7-40,上村甲５３７番地,上村集会所北側,33.774501100392,132.84649193287
愛媛県,東温市,8-41,下林甲２４３番地,個人宅前,33.772111002468,132.88391947746
愛媛県,東温市,8-42,下林甲５５３番地,横根集会所北側,33.779009107325,132.88183271885
