prefecture,city,number,address,name,lat,long
東京都,大田区,1-1,田園調布二丁目31番16号,田園調布小学校 正門右側フェンス,35.5956084,139.6677851
東京都,大田区,1-2,田園調布二丁目31番16号,田園調布小学校 西側フェンス,35.5956084,139.6677851
東京都,大田区,1-3,田園調布一丁目11番２号,区道 植込（ハウス101前）,35.5864611,139.6702289
東京都,大田区,1-4,田園調布一丁目62番 先,多摩川台公園 入口左側石塀,35.5907945,139.666016
東京都,大田区,1-5,田園調布一丁目53番10号,田園調布せせらぎ公園 集会室入口右側フェンス,35.5889836,139.6695614
東京都,大田区,1-6,田園調布二丁目60番１号,田園調布中学校 南東側フェンス,35.5982319,139.6705311
東京都,大田区,1-7,田園調布三丁目31番１号,宝来公園 北東側入口右側植込,35.594434,139.6641822
東京都,大田区,1-8,田園調布三丁目31番１号,宝来公園 南西側入口左側植込,35.594434,139.6641822
東京都,大田区,2-1,田園調布五丁目43番６号,都立田園調布特別支援学校 北東側フェンス,35.5956774,139.6543362
東京都,大田区,2-2,田園調布四丁目44番９号,シニアステーション田園調布西 南側フェンス,35.5918997,139.6614913
東京都,大田区,2-3,田園調布四丁目48番 先,丸子川 護岸壁（キャノン㈱田園調布テニスガーデン前）,35.5928868,139.6597971
東京都,大田区,2-4,田園調布五丁目50番 先,丸子川 護岸壁（コンフォート田園調布前）,35.5939493,139.6584916
東京都,大田区,2-5,田園調布四丁目42番 先,丸子川 護岸壁（丸子川側道始点）,35.5914942,139.6630261
東京都,大田区,2-6,田園調布五丁目30番 先,丸子川 護岸壁（庵谷橋南西側）,35.595027,139.657804
東京都,大田区,2-7,田園調布五丁目43番６号,都立田園調布特別支援学校 西側フェンス,35.5956774,139.6543362
東京都,大田区,3-1,雪谷大塚町12番１号,調布大塚小学校 西側校門左側フェンス,35.5904123,139.678705
東京都,大田区,3-2,雪谷大塚町12番１号,調布大塚小学校 北側フェンス,35.5904123,139.678705
東京都,大田区,3-3,雪谷大塚町４番６号,調布地域庁舎 南側フェンス,35.5931589,139.680578
東京都,大田区,3-4,雪谷大塚町８番５号,芝信用金庫雪が谷支店 駐車場南側鉄柵,35.5916268,139.6802513
東京都,大田区,3-5,雪谷大塚町17番20号,雪谷大塚中央児童公園 西側植込,35.5917742,139.6784558
東京都,大田区,3-6,雪谷大塚町１番,雪谷大塚町自転車駐輪場 西側フェンス,35.5943382,139.6810876
東京都,大田区,3-7,南雪谷二丁目21番１号,田園調布郵便局 東側コンクリート塀,35.588904,139.6784558
東京都,大田区,3-8,雪谷大塚町13番20号,ふくし公園 東側入口横植込,35.589558,139.6777729
東京都,大田区,4-1,田園調布本町７番１号,嶺町特別出張所 北東側フェンス,35.5879021,139.6773814
