prefecture,city,number,address,name,lat,long
東京都,杉並区,1-1,方南1-38-8,都営方南一丁目アパート,35.6787218,139.6619554
東京都,杉並区,1-2,方南2-6-11,方南二丁目公園,35.6807241,139.6590796
東京都,杉並区,1-3,方南1-52-24,上水橋緑地,35.6797595,139.6590657
東京都,杉並区,1-4,方南1-51-20,方南中央公園,35.6792083,139.6600213
東京都,杉並区,1-5,方南1-45-16,区営方南一丁目第2アパート,35.6787541,139.6646062
東京都,杉並区,1-6,方南2-28-24,方南公園,35.6854691,139.6587607
東京都,杉並区,1-7,方南1-3-4,杉並清掃事務所方南支所,35.6741612,139.6602511
東京都,杉並区,1-8,方南1-2-14,子どもの遊び場80番,35.6740865,139.6611557
東京都,杉並区,1-9,方南2-22-3,都営方南二丁目第2アパート北側,35.6842788,139.6574054
東京都,杉並区,2-1,和泉4-18,ﾘﾊﾞｰｻｲﾄﾞﾊｲﾂ8号棟前,35.6799613,139.653231
東京都,杉並区,2-2,和泉4-18-5,和泉がけ公園,35.6805305,139.6530109
東京都,杉並区,2-3,和泉4-18-28,一本橋公園,35.6796644,139.6511518
東京都,杉並区,2-4,和泉4-4-1,専修大学附属高等学校北側,35.677138,139.6553327
東京都,杉並区,2-5,和泉1-44-26,旧新泉小学校東側,35.6756057,139.6565123
東京都,杉並区,2-6,和泉1-44-26,旧新泉小学校南側,35.6756057,139.6565123
東京都,杉並区,2-7,和泉1-44-26,旧新泉小学校西側,35.6756057,139.6565123
東京都,杉並区,2-8,和泉1-7,子どもの遊び場96番東側,35.6729399,139.6577243
東京都,杉並区,3-1,和泉3-21-29,熊野神社,35.6763631,139.6479093
東京都,杉並区,3-2,和泉2-17-21,杉並和泉学園北東側,35.6751422,139.6483505
東京都,杉並区,3-3,和泉3-22-22,貴船神社,35.6777647,139.6482979
東京都,杉並区,3-4,和泉2-41-18,レストナック幼稚園,35.6766662,139.6524039
東京都,杉並区,3-5,和泉3-2-11,民地,35.6746293,139.6461517
東京都,杉並区,3-6,和泉2-26-12,日本大学鶴ヶ丘高等学校,35.6731152,139.6532925
東京都,杉並区,3-7,和泉2-2-1,子どもの遊び場96番西側,35.672155,139.6561299
