prefecture,city,number,address,name,lat,long,note
東京都,練馬区,1,小竹町1-5-2,コージャハイム小竹町2号棟東側塀,35.7393756,139.6792134,
東京都,練馬区,2,小竹町1-13,やくも公園,35.7407049,139.6779773,
東京都,練馬区,3,小竹町1-60,江古田駅北公園内,35.7382459,139.6731127,
東京都,練馬区,4,小竹町2-6-7,小竹小学校西門横,35.7437984,139.6792173,
東京都,練馬区,5,小竹町2-43-1,小竹図書館,35.741912,139.6759978,
東京都,練馬区,6,小竹町2-6-7,小竹小学校北側,35.7437984,139.6792173,
東京都,練馬区,7,小竹町2-70,小竹みどり公園,35.744786,139.6749468,
東京都,練馬区,8,小竹町1-59-2,浅間神社西側石柵,35.7381299,139.6726243,
東京都,練馬区,9,栄町33,区立江古田駅第二自転車駐車場,35.7386957,139.6719166,
東京都,練馬区,10,栄町11-6,天理教本京分教会塀,35.7382272,139.6679496,
東京都,練馬区,11,栄町40-7,栄町保育園南側塀,35.7395946,139.6713135,
東京都,練馬区,12,栄町17,東京都道路整備保全公社桜台駐車場,35.7395017,139.6676904,
東京都,練馬区,13,羽沢1-21,環七くすのき緑地 北側,35.7427367,139.6712787,
東京都,練馬区,14,羽沢1-22,環七くすのき緑地 南側,35.7430181,139.6721558,
東京都,練馬区,15,羽沢1-11,武蔵野音楽大学第二駐車場,35.7412004,139.6711989,
東京都,練馬区,16,桜台1-28,金津賀桜台第2駐車場,35.7407761,139.6680094,
東京都,練馬区,17,桜台1-27,区立新桜台駅自転車駐車場,35.7404798,139.6674512,
東京都,練馬区,18,桜台1-47-1,個人宅塀,35.7410348,139.6626474,
東京都,練馬区,19,桜台2-18-1,開進第三小学校西側塀,35.7431941,139.6673731,
東京都,練馬区,20,桜台2-18-1,開進第三小学校体育館横,35.7431941,139.6673731,
東京都,練馬区,21,桜台2-28,桜台かしのき緑地,35.7444514,139.6652187,
東京都,練馬区,22,桜台2-18-1,開進第三小学校南側塀,35.7431941,139.6673731,
東京都,練馬区,23,桜台2-49,しいの木公園,35.74407619999999,139.6625078,
東京都,練馬区,24,桜台5-22,シダ公園,35.7438788,139.6582824,
東京都,練馬区,25,桜台5-10-5,開進第二小学校正門横,35.7423989,139.6581976,
東京都,練馬区,26,桜台5-10-5,開進第二小学校裏門金網,35.7423989,139.6581976,
東京都,練馬区,27,桜台5-41-12,桜台保育園,35.7443634,139.6572999,
東京都,練馬区,28,桜台5-45-3,(旧)練馬ゴルフ練習場駐車場,35.7450537,139.6577542,
東京都,練馬区,29,桜台6-13-3,武蔵野音楽大学桜台宿舎,35.7453909,139.6611004,
東京都,練馬区,30,桜台6-40,高稲荷公園東側,35.74892639999999,139.6590796,
東京都,練馬区,31,桜台6-41,高稲荷公園北側,35.7489856,139.657804,
東京都,練馬区,32,旭丘1-22,西武鉄道長崎変電所 西側フェンス,35.7340257,139.6775785,
東京都,練馬区,33,旭丘2-8-4,東京電力江古田変電所,35.7351362,139.6770003,
東京都,練馬区,34,旭丘2-42-1,日本大学芸術学部南側鉄柵,35.7373059,139.6748751,
東京都,練馬区,35,旭丘2-21-1,旭丘小学校東側,35.7367718,139.6778713,
東京都,練馬区,36,旭丘2-21-1,旭丘小学校北側,35.7367718,139.6778713,
東京都,練馬区,37,旭丘2-24-1,日本大学芸術学部東側フェンス,35.7358214,139.6792361,
東京都,練馬区,38,旭丘2-40-1,旭丘中学校正門横,35.7370352,139.6773729,
東京都,練馬区,39,旭丘1-44-8,えごのみ児童遊園,35.7342116,139.6744038,
東京都,練馬区,40,豊玉上1-23-4,北新井公園,35.7352399,139.6687918,
東京都,練馬区,41,豊玉上1-26-1,武蔵大学十一号館東柵,35.7360976,139.6672747,
東京都,練馬区,42,豊玉上1-26-1,武蔵高、中学校校庭西側,35.7360976,139.6672747,
東京都,練馬区,43,豊玉北1-16-1,豊玉東小学校正門横,35.7325276,139.6679595,
東京都,練馬区,44,豊玉北1-16-1,豊玉東小学校南側,35.7325276,139.6679595,
東京都,練馬区,45,豊玉北2-3-1,三笠製薬南側塀,35.7341917,139.6669793,
東京都,練馬区,46,豊玉北2-7,ゆたか緑地,35.7324281,139.6657768,
東京都,練馬区,47,豊玉北2-24-5,豊玉第二中学校プール横塀,35.7349008,139.6644014,
東京都,練馬区,48,豊玉上2-7-1,都バス練馬支所前フェンス,35.7382078,139.6647419,
東京都,練馬区,49,豊玉上2-16-1,豊玉第二小学校正門横,35.7373987,139.6625776,
東京都,練馬区,50,豊玉上2-18-1,中新井公園南側,35.7369339,139.6613119,
東京都,練馬区,51,豊玉上2-22-15,豊玉リサイクルセンター,35.7370847,139.6599964,
東京都,練馬区,52,豊玉北3-7-8,豊玉北児童遊園,35.7328932,139.6614324,
東京都,練馬区,53,豊玉北4-15-1,下水道局練馬出張所東側鉄柵,35.7358215,139.6588603,
東京都,練馬区,54,豊玉北2-16-1,豊玉第二小学校東柵,35.7344874,139.6651955,
東京都,練馬区,55,豊玉北2-24-5,豊玉第二中学校環七通り側,35.7349008,139.6644014,
東京都,練馬区,56,豊玉北2-7-1,都バス練馬支所裏駐車場フェンス,35.7323477,139.6661555,
東京都,練馬区,57,豊玉中1-9-11,豊玉第四保育園プール横堤,35.7308153,139.6614065,
東京都,練馬区,58,豊玉中1-23-4,豊玉中いっちょうめ公園北側,35.7308033,139.6629862,
東京都,練馬区,59,豊玉南2-1-20,豊玉中学校正門横,35.7287367,139.6586311,
東京都,練馬区,60,豊玉南1-16-1,徳殿公園北側,35.72636170000001,139.6588703,
東京都,練馬区,61,豊玉南2-1-20,豊玉中学校西側,35.7287367,139.6586311,
東京都,練馬区,62,豊玉南2-14-1,豊玉南小学校正門横,35.727824,139.656355,
東京都,練馬区,63,豊玉南2-14-1,豊玉南小学校東側,35.727824,139.656355,
東京都,練馬区,64,豊玉南3-32,学田公園,35.7293971,139.649354,
東京都,練馬区,65,豊玉南3-11-8,富士稲荷公園,35.7285216,139.6524379,
東京都,練馬区,66,豊玉中3-3-12,はつらつセンター豊玉（旧豊玉高齢者センター）,35.7320289,139.6553736,
東京都,練馬区,67,豊玉北6-8-2,旧情報公開室跡地南側,35.7337423,139.6518325,
東京都,練馬区,68,豊玉中4-2-20,豊玉小学校南門横,35.7328996,139.6517295,
東京都,練馬区,69,豊玉中4-2-20,豊玉小学校西門横,35.7328996,139.6517295,
東京都,練馬区,70,豊玉中4-5,豊玉錦公園東側,35.7310369,139.6518251,
東京都,練馬区,71,豊玉北5-24-11,NTT東日本練馬ビル裏柵,35.7350541,139.6538697,
東京都,練馬区,72,豊玉北6-8,豊玉公園西側,35.7339017,139.6518251,
東京都,練馬区,73,豊玉北6-12-1,練馬区役所北側,35.7356702,139.6517044,
東京都,練馬区,74,豊玉中3-18-1,豊玉さくら公園南側,35.7308292,139.6539775,
東京都,練馬区,75,練馬1-17-37,練馬文化センター,35.7394261,139.6537642,
東京都,練馬区,76,練馬1-17-6,平成つつじ公園東側車道沿い,35.737494,139.6509221,緯度経度は怪しい
東京都,練馬区,77,練馬2-7-5,南町小学校正門横,35.7408882,139.6529742,
東京都,練馬区,78,練馬3-11-7,練馬はらっぱ公園,35.7389398,139.6462304,
東京都,練馬区,79,練馬2-7-5,南町小学校西門横,35.7408882,139.6529742,
東京都,練馬区,80,練馬2-9-4,練馬けやき公園,35.7404481,139.6512617,
東京都,練馬区,81,練馬3-18,練馬区役所第2駐輪場北側フェンス,35.7379074,139.6503903,
東京都,練馬区,82,練馬1-17-6,平成つつじ公園西側車道沿い,35.737494,139.6509221,緯度経度は怪しい
東京都,練馬区,83,練馬2-13-3,練馬保育園,35.7421869,139.6514301,
東京都,練馬区,84,練馬2-18-14,くりやま児童遊園,35.7425819,139.6555583,
東京都,練馬区,85,練馬2-27-28,開進第二中学校北側フェンス,35.7430485,139.6519115,
東京都,練馬区,86,練馬2-27-28,開進第二中学校正門横,35.7430485,139.6519115,
東京都,練馬区,87,練馬2-29-10,練馬総合運動場南側フェンス,35.745174,139.6546677,
東京都,練馬区,88,練馬2-29-10,練馬総合運動場北側フェンス,35.745174,139.6546677,
東京都,練馬区,89,練馬4-20,石神井川沿い柵（中之橋付近）,35.7445056,139.6486366,
東京都,練馬区,90,練馬4-2,白山神社北側フェンス,35.74033240000001,139.6498323,
東京都,練馬区,91,中村1-8,ちどり児童遊園,35.7326867,139.6479193,
東京都,練馬区,92,中村北2-21,中村北公園,35.7359215,139.6422602,
東京都,練馬区,93,中村1-14-1,中村児童遊園西側,35.7330399,139.6473513,
東京都,練馬区,94,中村2-8-1,中村小学校東側,35.7315834,139.6444022,
東京都,練馬区,95,中村2-8-1,中村小学校西門横,35.7315834,139.6444022,
東京都,練馬区,96,中村2-25-3,中村児童館西側フェンス,35.7318197,139.6423,
東京都,練馬区,97,中村北1-9,区役所中村北駐車場,35.73526500000001,139.6479193,
東京都,練馬区,98,中村北1-12-5,東京電力練馬制御所鉄柵,35.7366955,139.6469624,
東京都,練馬区,99,中村1-15-1,南蔵院東側（南蔵院通り側）堀,35.7312873,139.6464542,
東京都,練馬区,100,中村3-3-12,個人宅保護樹林地堀,35.7336832,139.6408169,
