prefecture,city,number,address,name,lat,long
神奈川県,平塚市,1ー1,花水台１２,花水台公園北側フェンス,35.3192848,139.3343864
神奈川県,平塚市,1ー2,唐ヶ原２０４−４,下花水公園西側フェンス,35.3140313,139.3316908
神奈川県,平塚市,1ー3,撫子原１２,なでしこ公園東側,35.3157919,139.3339107
神奈川県,平塚市,1ー4,撫子原１−２４,撫子原ポンプ場西側フェンス,35.3205823,139.3312152
神奈川県,平塚市,1ー5,花水台４２−１,なでしこ小学校北側フェンス,35.316495,139.3383903
神奈川県,平塚市,1ー6,花水台４２−１,なでしこ小学校南側フェンス,35.316495,139.3383903
神奈川県,平塚市,1ー7,花水台４２−１,なでしこ小学校東側フェンス,35.316495,139.3383903
神奈川県,平塚市,2ー1,黒部丘２０,黒部丘ちびっこ公園西側フェンス,35.3228816,139.3349414
神奈川県,平塚市,2ー2,黒部丘２０,黒部丘ちびっこ公園東側フェンス,35.3228816,139.3349414
神奈川県,平塚市,2ー3,黒部丘１２−７,県立平塚工科高等学校西側フェンス,35.3211414,139.3377064
神奈川県,平塚市,2ー4,黒部丘１２−７,県立平塚工科高等学校東側フェンス,35.3211414,139.3377064
神奈川県,平塚市,2ー5,黒部丘２８−７,道路脇,35.321397,139.3323845
神奈川県,平塚市,2ー6,黒部丘９−２１付近,奏ハイツ西側駐車場,35.3227155,139.3387269
神奈川県,平塚市,2ー7,黒部丘１２−７,県立平塚工科高等学校北側フェンス,35.3211414,139.3377064
神奈川県,平塚市,3ー1,虹ヶ浜２２,虹ヶ浜住宅集会所西側,35.3138686,139.3412051
神奈川県,平塚市,3ー2,菫平７−２８,月湘庵西側,35.3198269,139.3396193
神奈川県,平塚市,3ー3,菫平３,浜岳公園西側,35.3202317,139.3416808
神奈川県,平塚市,3ー4,菫平３,浜岳公園南側,35.3202317,139.3416808
神奈川県,平塚市,3ー5,虹ケ浜２３−３,虹ケ浜東公園南側鉄柵,35.3157416,139.3357342
神奈川県,平塚市,3ー6,菫平１５,菫平西公園南側,35.318559,139.3421566
神奈川県,平塚市,3ー7,菫平１２,菫平南公園南側,35.3179251,139.3434253
神奈川県,平塚市,4ー1,龍城ヶ丘４−２６,市立浜岳中学校西側,35.3197607,139.3442998
神奈川県,平塚市,4ー2,龍城ヶ丘４−２６,市立浜岳中学校南側,35.3197607,139.3442998
神奈川県,平塚市,4ー3,龍城ヶ丘１７−３,龍城ヶ丘東公園北側,35.3166458,139.3474188
神奈川県,平塚市,4ー4,龍城ヶ丘５−６２,市立花水小学校北側,35.319119,139.3449852
神奈川県,平塚市,4ー5,龍城ヶ丘１４,龍城ヶ丘公園北側,35.3169932,139.3464386
神奈川県,平塚市,4ー6,袖ヶ浜８,湘南海岸公園袖ヶ浜児童広場北側,35.316001,139.3507209
神奈川県,平塚市,4ー7,袖ヶ浜６,袖ヶ浜南公園北側,35.3170097,139.3521484
