prefecture,city,number,address,name,lat,long
福岡県,大刀洗町,01-1,大堰,大刀洗町役場前,33.3717039,130.6222301
福岡県,大刀洗町,01-2,大堰,新川橋北川付近,33.3702355,130.631547
福岡県,大刀洗町,01-3,大堰,大堰小学校屋内運動場入口,33.3686214,130.635423
福岡県,大刀洗町,01-4,大堰,鳥飼橋,33.3667973,130.6456683
福岡県,大刀洗町,01-5,大堰,個人宅,33.3717388,130.6524723
福岡県,大刀洗町,01-6,大堰,県道14号佐田川橋東側,33.3675116,130.6523717
福岡県,大刀洗町,01-7,大堰,西原神社境内入口,33.3614653,130.6372499
福岡県,大刀洗町,01-8,大堰,守部神社境内入口,33.3616325,130.6298203
福岡県,大刀洗町,02-1,本郷,本郷小学校運動場入口付近,33.3855904,130.6251829
福岡県,大刀洗町,02-2,本郷,高良玉垂神社入口,33.3836011,130.6223287
福岡県,大刀洗町,02-3,本郷,個人宅,33.3845645,130.6284113
福岡県,大刀洗町,02-4,本郷,ミニストップ大刀洗本郷店南側畑,33.3864468,130.6188229
福岡県,大刀洗町,02-5,本郷,個人宅,33.387969,130.6113007
福岡県,大刀洗町,02-6,本郷,坂本神社北水路フェンス,33.3753474,130.6080283
福岡県,大刀洗町,02-7,本郷,西栄田集落センター,33.3763844,130.6290143
福岡県,大刀洗町,02-8,本郷,県道509号土地改良記念碑北側,33.3823905,130.6368187
福岡県,大刀洗町,02-9,本郷,下稲数神社県道509号南側,33.3826325,130.6415739
福岡県,大刀洗町,03-1,大刀洗,中川神社境内入口,33.365567,130.6042632
福岡県,大刀洗町,03-2,大刀洗,個人宅,33.3854435,130.6008397
福岡県,大刀洗町,03-3,大刀洗,国道322号上高橋老松神社前,33.3731829,130.5993404
福岡県,大刀洗町,03-4,大刀洗,個人宅,33.3722634,130.6008985
福岡県,大刀洗町,03-5,大刀洗,平田ストアー駐車場,33.3707009,130.5999198
福岡県,大刀洗町,03-6,大刀洗,個人宅,33.3744006,130.5926441
福岡県,大刀洗町,03-7,大刀洗,個人宅,33.3753629,130.5895658
福岡県,大刀洗町,03-8,大刀洗,上野公民館前,33.3845538,130.5889755
福岡県,大刀洗町,04-1,菊池,菊池保育園分園前,33.4035818,130.6061146
福岡県,大刀洗町,04-2,菊池,個人宅,33.4004417,130.6067848
福岡県,大刀洗町,04-3,菊池,西大刀洗区掲示板向かい側,33.4040775,130.602427
福岡県,大刀洗町,04-4,菊池,スカイラーク菊池入口,33.4061218,130.5998152
福岡県,大刀洗町,04-5,菊池,北鵜木公民館前児童遊園,33.3989352,130.5935989
福岡県,大刀洗町,04-6,菊池,菊池小学校体育館側入口付近,33.4073166,130.6042504
