prefecture,city,number,address,name,lat,long
福岡県,桂川町,1,,役場前,33.5794779,130.678714
福岡県,桂川町,2,,町立図書館横,33.5799069,130.679068
福岡県,桂川町,3,,トライアル桂川店前,33.5860314,130.6757943
福岡県,桂川町,4,,内田医院前,33.5850736,130.6704365
福岡県,桂川町,5,,土居二集会所前,33.5854142,130.6717273
福岡県,桂川町,6,,丸善団地南側入口,33.5820036,130.6697243
福岡県,桂川町,7,,椿児童公園,33.5761457,130.6765979
福岡県,桂川町,8,,内山田公民館,33.5427887,130.6815809
福岡県,桂川町,9,,土師老松神社バス停横,33.5678157,130.6821106
福岡県,桂川町,10,,土師一公民館先,33.5659823,130.684406
福岡県,桂川町,11,,旧ライフ前,33.5721614,130.6800876
福岡県,桂川町,12,,長明寺前駐車場,33.570484,130.6834039
福岡県,桂川町,13,,土師九福祉バス停付近,33.5721486,130.6749132
福岡県,桂川町,14,,県営土師団地前,33.5702851,130.6806055
福岡県,桂川町,15,,二反田団地集会所,33.566147,130.6792337
福岡県,桂川町,16,,旧やますい駐車場前,33.5708696,130.6897273
福岡県,桂川町,17,,土師五集会所,33.5711025,130.692347
福岡県,桂川町,18,,土師七集会所前,33.5747895,130.6873313
福岡県,桂川町,19,,中ノ坪橋横,33.5778269,130.6840088
福岡県,桂川町,20,,元三宅店横,33.5693604,130.6843641
福岡県,桂川町,21,,平山研修所横,33.5679486,130.686226
福岡県,桂川町,22,,土師四集橋,33.5701083,130.6871201
福岡県,桂川町,23,,土師六公民館前,33.5803656,130.696379
福岡県,桂川町,24,,吉貝自動車前,33.5778204,130.6990518
福岡県,桂川町,25,,土師八消防格納庫付近,33.5713954,130.698565
福岡県,桂川町,26,,東小学校正門横,33.5769288,130.6994917
福岡県,桂川町,27,,笹尾二公民館横,33.5779036,130.7000212
福岡県,桂川町,28,,弥栄グラウンド前,33.5863345,130.6967572
福岡県,桂川町,29,,弥栄バス停横,33.5873176,130.6974331
福岡県,桂川町,30,,吉隈二消防格納庫横,33.5886558,130.6927932
福岡県,桂川町,31,,吉隈二児童遊園前,33.586904,130.6943998
福岡県,桂川町,32,,吉隈橋東方,33.5847791,130.6829066
福岡県,桂川町,33,,吉隈三集会所横,33.5925613,130.6789514
福岡県,桂川町,34,,日ノ隈橋横,33.5938924,130.6751165
福岡県,桂川町,35,,瀬戸交差点,33.5986556,130.67343
福岡県,桂川町,36,,天道区公民分館前,33.5915701,130.682506
福岡県,桂川町,37,,王塚装飾古墳館東方300ｍ,33.5883437,130.6659863
福岡県,桂川町,38,,中屋児童遊園前,33.5940935,130.6639752
福岡県,桂川町,39,,豆田公民館前,33.5853703,130.6596323
福岡県,桂川町,40,,桂川駅前第2駐輪場前,33.5848631,130.6630402
福岡県,桂川町,41,,大堤前,33.5761979,130.6655472
福岡県,桂川町,42,,九郎丸防火水槽横,33.5800767,130.6685591
福岡県,桂川町,43,,貴船団地北側入口,33.5783125,130.6671501
福岡県,桂川町,44,,和田運送東方交差点付近,33.5822238,130.659927
