prefecture,city,number,address,name,lat,long
福岡県,筑紫野市,1,,本町公園,33.5000915,130.515784
福岡県,筑紫野市,2,,西鉄二日市市営自転車駐車場,33.5018595,130.5166127
福岡県,筑紫野市,3,,西鉄二日市資材置場,33.5011687,130.5181032
福岡県,筑紫野市,4,,高尾川平成橋横,33.4993611,130.5186876
福岡県,筑紫野市,5,,二日市八幡宮横,33.497197,130.51711
福岡県,筑紫野市,6,,六反公民館,33.4977838,130.5140157
福岡県,筑紫野市,7,,塔の原団地（大坪）,33.4940707,130.5137137
福岡県,筑紫野市,8,,二日市小学校,33.4949135,130.5153117
福岡県,筑紫野市,9,,鳥居公民館,33.4939191,130.5166085
福岡県,筑紫野市,10,,ＪＲ二日市駅前交番前,33.4957247,130.5180005
福岡県,筑紫野市,11,,天拝小学校正門,33.494219,130.5018017
福岡県,筑紫野市,12,,武蔵台高校グラウンドバス通り,33.4977926,130.4984683
福岡県,筑紫野市,13,,杉塚公民館,33.5003197,130.5047402
福岡県,筑紫野市,14,,北杉塚公民館前公園,33.5097152,130.5042637
福岡県,筑紫野市,15,,セレモニー筑紫駐車場,33.498786,130.5100681
福岡県,筑紫野市,16,,塔原・原口池堤防,33.4950855,130.5071553
福岡県,筑紫野市,17,,大門高架下駐車場,33.4914624,130.5116659
福岡県,筑紫野市,18,,大門公民館,33.4896838,130.5074343
福岡県,筑紫野市,19,,筑紫野市商工会館斜め前,33.4898851,130.5162851
福岡県,筑紫野市,20,,天拝通公園,33.488274,130.5179953
福岡県,筑紫野市,21,,武蔵公民館,33.4858299,130.5149411
福岡県,筑紫野市,22,,筑紫野市文化会館,33.4848645,130.5207449
福岡県,筑紫野市,23,,筑紫野市生涯学習センター,33.4902242,130.520714
福岡県,筑紫野市,24,,いきいき保育園前,33.4921098,130.5198604
福岡県,筑紫野市,25,,石崎公民館,33.4876724,130.5285371
福岡県,筑紫野市,26,,市役所庁舎入口,33.4885994,130.5260284
福岡県,筑紫野市,27,,JR二日市駅市営自転車駐車場,33.4946435,130.519259
