prefecture,city,number,address,name,lat,long,note
1-1,長野県,軽井沢町,軽井沢３−１３,中部電力パワーグリッド㈱軽井沢サービスステーション前,36.353946,138.634260,
1-2,長野県,軽井沢町,軽井沢１５,旧軽ロータリー 軽井沢本通り側,36.356693,138.633963,
1-3,長野県,軽井沢町,軽井沢１５,旧軽ロータリー 軽井沢警察署旧軽臨時交番,36.356640,138.633784,
1-4,長野県,軽井沢町,軽井沢旧軽井沢８７８,旧軽公民館 入口,36.357761,138.638088,
1-5,長野県,軽井沢町,軽井沢７３９,軽井沢観光会館入口,36.359098,138.636089,
1-6,長野県,軽井沢町,軽井沢旧軽井沢１５０,三笠通り 聖パウロ教会前バス停 北側,36.359053,138.633524,
1-7,長野県,軽井沢町,峠町字碓氷 峠20,みすず屋,36.368940,138.656274,
1-8,長野県,軽井沢町,長倉２１２６,小瀬温泉 入口 南,36.388376,138.613244,
1-9,長野県,軽井沢町,軽井沢 旧軽井沢８７８−５,masked,36.357218,138.639211,
1-10,長野県,軽井沢町,軽井沢１２０３−６,離山線 貸駐車場前植込,36.351423,138.630814,
1-11,長野県,軽井沢町,軽井沢７６３−１,振興公社旧軽井沢駐車場フェンス,36.357913,138.636263,
1-12,長野県,軽井沢町,軽井沢旧軽井沢６４６,北裏線 神宮寺駐車場フェンス,36.360482,138.635785,
1-13,長野県,軽井沢町,軽井沢旧軽井沢１３,二手橋 公衆便所横 道路敷,36.362715,138.640005,
1-14,長野県,軽井沢町,軽井沢３９５−５,三笠通り 一本松 道路敷 東側,36.361256,138.631971,
2-1,長野県,軽井沢町,軽井沢１２４９,離山線 東部小学校北西土手,36.347563,138.623145,
2-2,長野県,軽井沢町,軽井沢東２８８,西野沢原公園南側,36.343851,138.628130,
2-3,長野県,軽井沢町,軽井沢東１５４−２,北野沢原公園南フェンス,36.345236,138.631415,
2-4,長野県,軽井沢町,軽井沢東３−２,軽井沢駅北口 キッチンハイツ向い駐車場フェンス,36.343757,138.634626,
2-5,長野県,軽井沢町,軽井沢東２８−１,矢ヶ崎公園管理棟入口,36.344471,138.636206,
2-6,長野県,軽井沢町,軽井沢東２８−１,矢ヶ崎公園東端 公衆トイレ横,36.344295,138.638750,
2-7,長野県,軽井沢町,軽井沢１０１６−４８８,町営矢ヶ崎団地1号横フェンス,36.343827,138.645052,
2-8,長野県,軽井沢町,軽井沢野沢原１３２３−１２９７,たまご形,36.347479,138.631933,
2-9,長野県,軽井沢町,軽井沢東１１−１７,横町 森角工業前,36.345244,138.635187,
2-10,長野県,軽井沢町,軽井沢東１９−１２,八十二銀行軽井沢支店 南,36.346509,138.635011,
2-11,長野県,軽井沢町,軽井沢東４−５,軽井沢駅北口 東側バスターミナル前植込,36.343252,138.636158,
