prefecture,city,number,address,name,lat,long,note
兵庫県,南あわじ市,1-1,山添338付近,山添公会堂前フェンス,34.3312483,134.8375189,
兵庫県,南あわじ市,1-2,広田広田602-4,masked,34.3297102,134.8357127,
兵庫県,南あわじ市,1-3,広田広田1051-1,広田地区公民館前,34.324413,134.828964,緯度経度は怪しい
兵庫県,南あわじ市,1-4,広田広田321付近,あわじ島農協広田支所（県道広田洲本線沿）,34.3228209,134.8308323,
兵庫県,南あわじ市,1-5,広田中筋77,広田蛭子神社（県道広田洲本線沿）,34.32137660000001,134.8338574,
兵庫県,南あわじ市,1-6,広田中筋107,広田中学校連絡沿いフェンス,34.3227936,134.8341847,
兵庫県,南あわじ市,1-7,広田中筋239-7,ベーシック緑東側 空き地フェンス,34.3213649,134.834704,
兵庫県,南あわじ市,1-8,広田中筋444,集田池堤の下（県道広田洲本線沿）擁壁,34.3198941,134.8432726,
兵庫県,南あわじ市,1-9,広田広田206-1,緑老人福祉センター駐車場南東側フェンス,34.3204365,134.8319437,
兵庫県,南あわじ市,1-10,広田広田117-1,Joshin淡路店横 市道沿いガードパイプ,34.3199639,134.8293055,
兵庫県,南あわじ市,1-11,中条広田480付近,中山陸橋下 市道交差点付近ガードレール,34.318127,134.813217,緯度経度は怪しい
兵庫県,南あわじ市,1-12,中条徳原316-1,徳原公会堂横,34.305774,134.8198313,
兵庫県,南あわじ市,1-13,中条中筋783付近,masked,34.3110481,134.829293,
兵庫県,南あわじ市,1-14,中条中筋2548-2付近,久次米交差点南東 市道ガードレール,34.3142612,134.8249783,
兵庫県,南あわじ市,1-15,中条中筋679-1,masked,34.3060888,134.8300974,
兵庫県,南あわじ市,1-16,中条中筋512-1,中筋縦道線高見交差点（旧山岡電機㈱ 本社工場前）,34.296432,134.829453,緯度経度は怪しい
兵庫県,南あわじ市,1-17,中条中筋1122付近,masked,34.299316,134.821228,緯度経度は怪しい
兵庫県,南あわじ市,1-18,倭文長田9,ウツロ谷県道端ガードパイプ,34.322823,134.797775,緯度経度は怪しい
兵庫県,南あわじ市,1-19,倭文長田1515,長田NTTドコモアンテナ付近（県道洲本西淡線長田交差点南）,34.322823,134.797775,緯度経度は怪しい
兵庫県,南あわじ市,1-20,倭文庄田322-29,庄田団地内 しずおり公園北側フェンス,34.3316934,134.7930952,
