prefecture,city,number,address,name,lat,long,note
兵庫県,福崎町,1,南田原216,masked,34.9402947,134.752536,
兵庫県,福崎町,2,南田原131-10,薬師寺北（町道）ガードレール,34.9380388,134.7520898,
兵庫県,福崎町,3,南田原2736-1,田（個人所有）（★）,34.9494143,134.7566951,
兵庫県,福崎町,4,南田原2217-1,ウシオ精工㈱西側フェンス（★）,34.9445095,134.7597345,
兵庫県,福崎町,5,南田原758-2,町道東大貫溝口線　歩道北側植込,34.9422434,134.7577288,
兵庫県,福崎町,6,南田原676,中島区精米所南側（★）,34.9406717,134.7569222,緯度経度は怪しい
兵庫県,福崎町,7,南田原2359,八坂神社南側玉垣,34.9444873,134.7533991,緯度経度は怪しい
兵庫県,福崎町,8,南田原1145-3,上中島公民館　北側フェンス,34.9360456,134.7655722,
兵庫県,福崎町,9,南田原1133-2,町道中島野垣内線　南側ガードレール,34.9369795,134.763546,緯度経度は怪しい
兵庫県,福崎町,10,南田原1185,福崎東中学校北西　町道東大貫溝口線ガードパイプ,34.9421857,134.7689163,緯度経度は怪しい
兵庫県,福崎町,11,南田原2092,町道八反田八千種線東路肩（㈱アムテック向い路肩）,34.9441303,134.7640886,緯度経度は怪しい
兵庫県,福崎町,12,南田原1377,西光寺公民館　駐車場東側（★）,34.9442221,134.7676905,
兵庫県,福崎町,13,南田原2029-3,masked,34.9438833,134.7593768,緯度経度は怪しい
兵庫県,福崎町,14,南田原1836,西野野垣内公民館　北西フェンス,34.9453901,134.7716612,
兵庫県,福崎町,15,南田原3199,西野公民館敷地内　フェンス東側,34.9539114,134.7574242,緯度経度は怪しい
兵庫県,福崎町,16,西田原223-1,セブンイレブン福崎井ノ口店　ガードパイプ西側,34.959046,134.7611625,
兵庫県,福崎町,17,西田原1263-4,田原幼児園　西側歩道植込,34.9539777,134.7614006,
兵庫県,福崎町,18,西田原1213-1,旧農協田原経済センター　南側フェンス西面,34.9552302,134.7614189,緯度経度は怪しい
兵庫県,福崎町,19,西田原1485-3,ひらの内科クリニック　歩道ガードパイプ西側,34.9551892,134.763213,緯度経度は怪しい
兵庫県,福崎町,20,西田原1639-3,町有地（セハタクリーニング福崎店西側）,34.94993669999999,134.7629933,
兵庫県,福崎町,21,西田原1539,熊野神社　北面（★）,34.9539901,134.7653362,
兵庫県,福崎町,22,西田原819-3,北野公民館（旧北野消防団詰所）花壇,34.9575375,134.7688514,
兵庫県,福崎町,23,西田原962,旧道北野三叉路　北野区有地,34.954945,134.7685586,
兵庫県,福崎町,24,東田原449-2,町有地（岡本電工西側）,34.9531367,134.7760624,緯度経度は怪しい
兵庫県,福崎町,25,東田原1265-3,県道三木六栗線　福崎電業向いガードパイプ,34.95395320000001,134.7709859,
兵庫県,福崎町,26,東田原1186-1,歩道ガードパイプ,34.954586,134.772311,
兵庫県,福崎町,27,東田原1039-3,イーストタウン公園　西面フェンス,34.9516482,134.7711482,
兵庫県,福崎町,28,東田原1934,ガードパイプ（鬼追橋向かい側）,34.9502382,134.7601816,緯度経度は怪しい
兵庫県,福崎町,29,東田原1650-2,町道線路肩花壇,34.9502382,134.7601816,緯度経度は怪しい
兵庫県,福崎町,30,大貫2426,masked,34.9474482,134.7873545,緯度経度は怪しい
兵庫県,福崎町,31,大貫2240-1,県道三木宍粟線 ガードパイプ（南側）,34.9506816,134.7821209,
兵庫県,福崎町,32,大貫1502-2,東大貫公民館南側,34.95012,134.790994,緯度経度は怪しい
兵庫県,福崎町,33,大貫1822-4,町道東大貫中島線西側路肩（中国縦貫道北側）,34.9474482,134.7873545,緯度経度は怪しい
兵庫県,福崎町,34,大貫1754-1,県道三木宍粟線 歩道ガードパイプ（藤澤歯科向かい）,34.9474482,134.7873545,緯度経度は怪しい
兵庫県,福崎町,35,大貫257-2,東大貫中島線 南大貫バス停東歩道路肩,34.9474482,134.7873545,緯度経度は怪しい
兵庫県,福崎町,36,大貫593-3,町道ガードパイプ北側（駒田鉄工所向かい）,34.9474482,134.7873545,緯度経度は怪しい
兵庫県,福崎町,37,八千種522-1,個人所有休耕田（★）,34.9308247,134.7803275,
兵庫県,福崎町,38,八千種179-2,兵庫西農協福崎東支所八千種店 西側フェンス,34.9308247,134.7803275,
兵庫県,福崎町,39,八千種67-7,余田新田児童公園 北側ガードパイプ,34.9400507,134.7757957,緯度経度は怪しい
兵庫県,福崎町,40,八千種1343-1,大歳神社 南側ガードレール,34.9308247,134.7803275,
兵庫県,福崎町,41,八千種1676-1,小倉公民館 西面ブロック塀,34.9289698,134.7880053,緯度経度は怪しい
兵庫県,福崎町,42,八千種1978-1,masked,34.9308247,134.7803275,
兵庫県,福崎町,43,八千種2528-2,個人所有納屋東面（★）,34.9309186,134.7795678,
