prefecture,city,number,address,name,lat,long,note
北海道,上ノ国町,1-1,湯ノ岱 神明 神明地区集会施設前,神明地区集会施設前,41.737439677113,140.27455329895,
北海道,上ノ国町,1-2,湯ノ岱 神明 神明バス停跡,神明バス停跡,41.734013063412,140.26639938354,
北海道,上ノ国町,1-3,masked,masked,41.73375686065,140.26772975922,
北海道,上ノ国町,1-4,masked,masked,41.746181517448,140.25361061096,
北海道,上ノ国町,1-5,湯ノ岱 下の沢 旧湯ノ岱生活改善センタ-前,旧湯ノ岱生活改善センター前,41.75042392306,140.24657249451,
北海道,上ノ国町,1-6,湯ノ岱 下の沢 湯ノ岱地区集会所前,湯ノ岱地区集会所前,41.750608021107,140.24354159832,
北海道,上ノ国町,1-7,masked,masked,41.750407914509,140.24112224579,
北海道,上ノ国町,1-8,湯ノ岱 上の沢 町営湯ノ岱団地入り口(右側),町営湯ノ岱団地入り口（右側）,41.748438832314,140.24421215057,
北海道,上ノ国町,1-9,湯ノ岱 上の沢 湯ノ岱大橋付近上ノ国町有地,湯ノ岱大橋付近上ノ国町有地,41.747478282498,140.24210929871,
北海道,上ノ国町,2-10,masked,masked,41.760924672079,140.18634080887,
北海道,上ノ国町,2-11,masked,masked,41.758811854553,140.1853966713,
北海道,上ノ国町,2-12,宮越  宮越地区農業担い手センタ-前,宮越地区農業担い手センター前,41.758427698439,140.18586874008,
北海道,上ノ国町,2-13,masked,masked,41.767838861247,140.17522573471,
北海道,上ノ国町,2-14,早瀬 早瀬生活改善センタ-前,早瀬生活改善センター前,41.76623842077,140.17595529556,
北海道,上ノ国町,2-15,masked,masked,41.763277500635,140.1792383194,
北海道,上ノ国町,2-16,桂岡 渡部洋子氏所有地,渡部洋子氏所有地,41.773608117771,140.16621351242,
北海道,上ノ国町,2-17,masked,masked,41.774224221297,140.16386389732,
北海道,上ノ国町,2-18,桂岡 桂岡生活改善センタ-前,桂岡生活改善センター前,41.775392401345,140.16538739204,
北海道,上ノ国町,2-19,masked,masked,41.775696444717,140.16303777695,
北海道,上ノ国町,3-20,中須田  河北地区町民プ-ル前,河北地区町民プール前,41.781008969953,140.15459418297,
北海道,上ノ国町,3-21,中須田  上ノ国葬儀社横向かい空き地,上ノ国葬儀社横向かい空き地,41.782529039266,140.14966964722,
北海道,上ノ国町,3-22,masked,masked,41.786593047616,140.14926195145,
北海道,上ノ国町,3-23,中須田  上ノ国町女性活動支援センタ-前,上ノ国町女性活動支援センター前,41.7854859,140.1453891,
北海道,上ノ国町,3-24,中須田  町道中須田豊田線入口の向かいのカ-ブミラ-付近,町道中須田豊田線入口の向かいのカーブミラー付近,41.790384823093,140.13628005981,
北海道,上ノ国町,3-25,小森 小森生活改善センタ-前,小森生活改善センター前,41.773552108066,140.14782428741,
北海道,上ノ国町,3-26,masked,masked,41.77505635173,140.14374732971,
北海道,上ノ国町,3-27,豊田  豊田生活改善センタ-前,豊田生活改善センター前,41.792016657431,140.14876842499,
北海道,上ノ国町,3-28,豊田  元井越カホル氏倉庫横,元井越カホル氏倉庫横,41.793744436746,140.15127897263,
北海道,上ノ国町,4-29,新村  旧新村児童館前,旧新村児童館前,41.797263843137,140.12937068939,
北海道,上ノ国町,4-30,masked,masked,41.80049512791,140.12608766556,
北海道,上ノ国町,4-31,masked,masked,41.802014735209,140.12591600418,
北海道,上ノ国町,4-32,大留  駅裏 町営大留団地5号棟横(線路側),町営大留団地５号棟横（線路側）,41.804406044245,140.12562632561,
北海道,上ノ国町,4-33,大留  駅裏 上ノ国駅前商店街緑地,上ノ国駅前商店街緑地,41.804398046705,140.12445688248,
北海道,上ノ国町,4-34,masked,masked,41.806981200322,140.121935606,
北海道,上ノ国町,4-35,大留  中崎 町営中崎団地12号棟横,町営中崎団地１２号棟横,41.804909887274,140.11862039566,
北海道,上ノ国町,4-36,大留  中崎 (株)道南土木資材置き場前,(株)道南土木資材置き場前,41.803798228334,140.12054085732,
北海道,上ノ国町,4-37,大留  中央区 町営中央区団地Ｂ棟駐車場横,町営中央区団地Ｂ棟駐車場横,41.801678825119,140.11783719063,
北海道,上ノ国町,4-38,大留  中央区 上ノ国町役場前,上ノ国町役場前,41.801870773958,140.12017607689,
北海道,上ノ国町,5-39,北村 北村コミュニティセンタ-前,北村コミュニティセンター前,41.81072378921,140.11973619461,
北海道,上ノ国町,5-40,北村 旧ＪＲ線路踏切敷地,旧ＪＲ線路踏切敷地,41.811955277058,140.12192487717,
北海道,上ノ国町,5-41,北村 町営北村団地バス停小屋横,町営北村団地バス停小屋横,41.81367452244,140.12396335602,
北海道,上ノ国町,5-42,masked,masked,41.818815990229,140.12251496315,
北海道,上ノ国町,5-43,向浜 向浜生活改善センタ-前,向浜生活改善センター前,41.808716573211,140.1142001152,
北海道,上ノ国町,6-44,上ノ国 かささぎロ-ドポケットパ-ク(歩道側),かささぎロードポケットパーク（歩道側）,41.799551353657,140.11329889297,
北海道,上ノ国町,6-45,上ノ国 上ノ国診療所前,上ノ国診療所前,41.802094713543,140.10972619057,
北海道,上ノ国町,6-46,masked,masked,41.803102431989,140.11055231094,
北海道,上ノ国町,6-47,上ノ国 清浄寺前,清浄寺前,41.80335835796,140.10781645775,
北海道,上ノ国町,6-48,上ノ国 上ノ國八幡宮社務所前,上ノ國八幡宮社務所前,41.803574294703,140.10395407677,
北海道,上ノ国町,6-49,原歌  原歌生活改善センタ-前,原歌生活改善センター前,41.806677305302,140.08910536766,
