prefecture,city,number,address,name,lat,long,note
北海道,上川町,1,,南町公園前(大通側) ,43.849152022554,142.77096033096,
北海道,上川町,2,,上川医療センター前,43.850993465316,142.76757001877,
北海道,上川町,3,,西町会館前,43.853066954658,142.76201248169,
北海道,上川町,4,,共進会館横,43.850242968197,142.75546789169,
北海道,上川町,5,,旧山岡商店横,43.848548512136,142.76038169861,
北海道,上川町,6,,上川小学校東側横,43.847681922395,142.77668952942,
北海道,上川町,7,,旧市橋商店向,43.84811521884,142.78128147125,
北海道,上川町,8,,旭町会館横,43.84398329965,142.77879238129,
北海道,上川町,9,,旧越路小学校前,43.86733184475,142.74137020111,
北海道,上川町,10,,清川会館前,43.793804859095,142.89633750916,
北海道,上川町,11,,陸万公営住宅入口,43.773185577177,142.90502786636,
北海道,上川町,12,,高規格道路上川層雲峡インター入口向,43.838551015392,142.76673316956,
北海道,上川町,13,,旧菊水小学校記念館(旧菊水小学校)前,43.829759262556,142.78960704803,
北海道,上川町,14,,旧白川小学校跡地向,43.813720265027,142.84406661987,
北海道,上川町,15,,東雲会館横,43.839108195515,142.70926952362,
北海道,上川町,16,,愛山渓ドライブイン横,43.84164639468,142.70493507385,
北海道,上川町,17,,東雲丸山籾乾施設横,43.844246389178,142.72038459778,
北海道,上川町,18,,層雲峡インフォメーションセンター(旧層雲峡観光ビル)前,43.726669276999,142.94931650162,
北海道,上川町,19,,観光総合コミュニティセンター向,43.726018009284,142.94656991959,
北海道,上川町,20,,層雲峡公住入口(ホテル層雲跡地向),43.730731787174,142.94260025024,
