prefecture,city,number,address,name,lat,long,note
北海道,中頓別町,1-1,旭台266番3,旭台団地　町有地,44.978763839816,142.29372024536,緯度経度は怪しい
北海道,中頓別町,1-2,中頓別951番8,メモリアルハイツ平屋側　町有地,44.9728785,142.292614,緯度経度は怪しい
北海道,中頓別町,1-3,中頓別149番36,旧開発跡地　町有地,44.9714428,142.2877492,緯度経度は怪しい
北海道,中頓別町,1-4,中頓別62番1,平田榮子（旧平田商店）私有地,44.9727002,142.2898571,緯度経度は怪しい
北海道,中頓別町,1-5,中頓別159番10,あかね会館敷地横旧公住跡　町有地,44.9731197,142.2853372,緯度経度は怪しい
北海道,中頓別町,1-6,中頓別160番9,長寿園敷地内　町有地,44.9712098,142.285019,緯度経度は怪しい
北海道,中頓別町,1-7,中頓別182番4,こども園駐車場脇　町有地,44.9684542,142.2902928,緯度経度は怪しい
北海道,中頓別町,1-8,中頓別217番1,菊地重夫　私有地,44.9725372,142.2926301,緯度経度は怪しい
北海道,中頓別町,1-9,上駒36番3,上駒会館敷地　町有地,44.9638291,142.2778644,緯度経度は怪しい
北海道,中頓別町,1-10,松音知258番6,川向線　町有地,44.939346945535,142.22093582153,緯度経度は怪しい
北海道,中頓別町,1-11,松音知120番12,松音知ポンプ場　町有地,44.927376829971,142.21424102783,緯度経度は怪しい
北海道,中頓別町,1-12,兵安184番1,旧天北厚生園　長田武志　私有地,44.9125908,142.3108627,緯度経度は怪しい
北海道,中頓別町,1-13,神崎59番6,旧神崎会館　町有地,44.8855332,142.3119178,緯度経度は怪しい
北海道,中頓別町,1-14,旭台383番4,旭台バス停　町有地,44.978891,142.2904238,緯度経度は怪しい
北海道,中頓別町,1-15,寿67番3、153番2,自動車学校職員住宅　町有地,44.9896131,142.2926596,緯度経度は怪しい
北海道,中頓別町,1-16,中頓別46番1,町民グランド旧サブグラウンド　町有地,44.97601239999999,142.2847573,緯度経度は怪しい
北海道,中頓別町,2-17,敏音知549番1,姉歯義宣　私有地,44.89661981973,142.19922065735,緯度経度は怪しい
北海道,中頓別町,2-18,敏音知145番,温泉正面敷地内　町有地,44.878255025303,142.20973491669,緯度経度は怪しい
北海道,中頓別町,2-19,豊平186番4,豊平入口道路用地　町有地,44.873328371319,142.21913337708,緯度経度は怪しい
北海道,中頓別町,2-20,上頓別36番4,村上智啓私有地の取付左側　町有地,44.860796955838,142.2517490387,緯度経度は怪しい
北海道,中頓別町,2-21,上頓別432番,宗像宏史　私有地,44.85255069999999,142.2689389,緯度経度は怪しい
北海道,中頓別町,2-22,上頓別414番1,上頓別バス待合室敷地　町有地,44.851792118889,142.27543830872,緯度経度は怪しい
北海道,中頓別町,3-23,小頓別68番1,防火水槽敷地　町有地,44.829030377186,142.30809688568,緯度経度は怪しい
北海道,中頓別町,3-24,小頓別100番6,旧消防番屋　町有地,44.829273865847,142.30324745178,緯度経度は怪しい
北海道,中頓別町,3-25,小頓別600番1,旧教員住宅敷地　町有地,44.828665142267,142.29972839355,緯度経度は怪しい
