prefecture,city,number,address,name,lat,long,note
北海道,南幌町,1-1,,,43.06895048,141.6504622,
北海道,南幌町,1-2,,,43.06490606,141.653595,
北海道,南幌町,1-3,,,43.06296213,141.6568565,
北海道,南幌町,1-4,,,43.06214692,141.6619635,
北海道,南幌町,1-5,,,43.06340109,141.6415787,
北海道,南幌町,1-6,,,43.06214692,141.6476727,
北海道,南幌町,1-7,,,43.06161389,141.6503763,
北海道,南幌町,1-8,,,43.088197,141.630249,
北海道,南幌町,1-9,,,43.03683859,141.6473293,
北海道,南幌町,2-10,,,43.10442959,141.6835499,
北海道,南幌町,2-11,,,43.09640784,141.6920471,
北海道,南幌町,2-12,,,43.08512548,141.6827774,
北海道,南幌町,2-13,,,43.07697582,141.6907597,
北海道,南幌町,2-14,,,43.07177201,141.6826916,
北海道,南幌町,2-15,,,43.0809881,141.6624355,
北海道,南幌町,2-16,,,43.07415453,141.6609764,
北海道,南幌町,2-17,,,43.07139581,141.6554832,
北海道,南幌町,3-18,,,43.0292472,141.5990067,
北海道,南幌町,3-19,,,43.0257335,141.5986633,
北海道,南幌町,3-20,,,43.03953614,141.5859604,
北海道,南幌町,3-21,,,43.02974913,141.5766907,
北海道,南幌町,3-22,,,43.0208391,141.5839005,
北海道,南幌町,3-23,,,43.01983507,141.6027832,
北海道,南幌町,3-24,,,43.01242985,141.6115379,
北海道,南幌町,3-25,,,43.00665567,141.6017532,
北海道,南幌町,4-26,,,43.07427992,141.6265583,
北海道,南幌町,4-27,,,43.06123763,141.6349697,
北海道,南幌町,4-28,,,43.06061053,141.6328239,
北海道,南幌町,4-29,,,43.06807264,141.6082764,
北海道,南幌町,4-30,,,43.06449847,141.6103363,
北海道,南幌町,4-31,,,43.05471545,141.6113663,
北海道,南幌町,4-32,,,43.04292358,141.6237259,
北海道,南幌町,4-33,,,43.04003799,141.6095638,
