prefecture,city,number,address,name,lat,long,note
北海道,平取町,1,本町17番地3,平取かつら園前,42.5841315,142.1263266,
北海道,平取町,2,本町116番地18,分譲団地入口,42.58619, 142.12361,目視で確認済み
北海道,平取町,3,本町116番地18,第11町内町営住宅団地三叉路,42.58756, 142.12893,目視で確認済み
北海道,平取町,4,本町28番地,平取町役場前,42.5850341,142.1286044,
北海道,平取町,5,本町35番地1,ふれあいセンターびらとり前フェンス,42.5857041,142.1343805,
北海道,平取町,6,本町101番地1,masked,42.58441, 142.12203,目視で確認済み
北海道,平取町,7,本町88番地1,平取町中央公民館前,42.58922, 142.1378,目視で確認済み
北海道,平取町,8,本町117番地13,病院の沢入口,42.5882, 142.13577,目視で確認済み
北海道,平取町,9,字川向61番地3,川向生活館前,42.5419968,142.109157,
北海道,平取町,10,字紫雲古津34番地1,紫雲古津生活館入口,42.5511969,142.0707902,
北海道,平取町,11,字紫雲古津227番地4,紫雲古津へき地保育所前フェンス,42.55582, 142.07707,目視で確認済み
北海道,平取町,12,字去場11番地24,町営住宅前三叉路,42.56099, 142.09006,目視で確認済み
北海道,平取町,13,字去場106番地1,去場生活館前,42.5602423,142.0952316,
北海道,平取町,14,字荷菜73番地9,荷菜地区研修センター前,42.5748512,142.1121954,
北海道,平取町,15,字荷菜89番地6,バス停荷菜横,42.57788, 142.1168,目視で確認済み
北海道,平取町,16,字荷菜18番地8,びらとり農協車庫裏,42.5833051,142.1179922,
北海道,平取町,17,字荷菜54番地2,町営住宅旭団地入口,42.5822764,142.1220478,
北海道,平取町,18,字小平3番地6,小平生活館前,42.5983202,142.1488577,
北海道,平取町,19,字二風谷78番地12,二風谷生活館前,42.6363511,142.1614484,
北海道,平取町,20,字二風谷92番地6,びらとり温泉ゆから前,42.6459489,142.1653811,
北海道,平取町,21,字荷負54番地2,荷負生活館前,42.6795469,142.1972536,
北海道,平取町,22,字荷負73番地1,荷負郵便局前,42.6780641,142.1974666,
北海道,平取町,23,字貫気別20番地2,本村生活館前,42.6652397,142.236186,
北海道,平取町,24,字貫気別120番地3,バス停住宅前横,42.6724355,142.2598921,
北海道,平取町,25,字貫気別134番地12,旧貫気別診療所前,42.6732912,142.2631561,
北海道,平取町,26,字貫気別129番地6,平取町役場貫気別支所前,42.67098, 142.26179,目視で確認済み
北海道,平取町,27,字貫気別232番地3,丹野商店横,42.6685086,142.2651238,
北海道,平取町,28,字旭67番地3,旭生活館前,42.6452237,142.372844,
北海道,平取町,29,字芽生39番地1,芽生生活改善センター前,42.6722457,142.3560027,
北海道,平取町,30,字豊糠24番地3,豊糠生活改善センター入口,42.70543, 142.40459,目視で確認済み
北海道,平取町,31,字長知内38番地5,長知内ふれあいセンター前,42.70313, 142.23004,目視で確認済み
北海道,平取町,32,字幌毛志49番地1,幌毛志生活改善センター入口,42.7180162,142.2623233,
北海道,平取町,33,振内町90番地3,町営住宅池売団地入口,42.7235926,142.2961985,
北海道,平取町,34,振内町21番地3,びらとり農協振内支所横空地,42.7267341,142.297586,
北海道,平取町,35,振内町49番地8,町営住宅山手団地入口,42.7321117,142.2972837,
北海道,平取町,36,振内町28番地11,平取町役場振内支所前,42.72633, 142.30187,目視で確認済み
北海道,平取町,37,振内町40番地1,旧安孫子商店前,42.72742, 142.30709,目視で確認済み
北海道,平取町,38,字岩知志10番地1,瑞穂会館前,42.7275162,142.3321207,
北海道,平取町,39,字岩知志55番地9,岩知志ふれあい館前フェンス,42.733842,142.3480604,
