prefecture,city,number,address,name,lat,long,note
北海道,新篠津村,1,第47線北45番地 (上篠津自治会館前),第47線北45番地 (上篠津自治会館前),43.251829641134,141.64518356323,手動補正
北海道,新篠津村,2,第47線北10号 (川上自治会館前),第47線北10号 (川上自治会館前),43.2678313026,141.64604187012,手動補正
北海道,新篠津村,3,第47線北13号 (北新自治会館横),第47線北13号 (北新自治会館横),43.279704816806,141.64140701294,手動補正
北海道,新篠津村,4,第44線北12号,第44線北12号,43.273080931415,141.6201210022,手動補正
北海道,新篠津村,5,第44線北8号,第44線北8号,43.253329975544,141.62338256836,手動補正
北海道,新篠津村,6,役場庁舎前,役場庁舎前,43.225442722529,141.64810180664,手動補正
北海道,新篠津村,7,自治センター前,自治センター前,43.223066088477,141.646900177,手動補正
北海道,新篠津村,8,福祉園前,福祉園前,43.222940999907,141.64003372192,手動補正
北海道,新篠津村,9,第44線北2号,第44線北2号,43.221940282113,141.63162231445,手動補正
北海道,新篠津村,10,第46線北4号,第46線北4号,43.23557364927,141.64415359497,手動補正
北海道,新篠津村,11,第42線北2号,第42線北2号,43.221940282113,141.61428451538,手動補正
北海道,新篠津村,12,第42線基線,第42線基線,43.213058191894,141.61926269531,手動補正
北海道,新篠津村,13,袋達布自治会館前,袋達布自治会館前,43.210180617619,141.64295196533,手動補正
北海道,新篠津村,14,第42線南3号,第42線南3号,43.196358,141.621536,手動補正
北海道,新篠津村,15,第38線南1号 (西篠津自治会館前),第38線南1号 (西篠津自治会館前),43.204800440655,141.58973693848,手動補正
北海道,新篠津村,16,第40線南6号 (南6号橋付近),第40線南6号 (南6号橋付近),43.185658,141.609131,手動補正
北海道,新篠津村,17,旧第4農協支所物置壁,旧第4農協支所物置壁,43.171382674128,141.61222457886,手動補正
北海道,新篠津村,18,第38線南8号,第38線南8号,43.167877129344,141.59557342529,手動補正
北海道,新篠津村,19,第36線南6号 (中原自治会館前),第36線南6号 (中原自治会館前),43.179269414261,141.58252716064,手動補正
北海道,新篠津村,20,第36線南4号 (西原自治会館前),第36線南4号 (西原自治会館前),43.187530620954,141.58149719238,手動補正
北海道,新篠津村,21,第42線北8号,第42線北8号,43.251079460068,141.61325454712,手動補正
北海道,新篠津村,22,第40線北8号 (西高倉自治会館前),第40線北8号 (西高倉自治会館前),43.249704104115,141.59952163696,手動補正
北海道,新篠津村,23,第5地区体育館前,第5地区体育館前,43.24045090229,141.59162521362,手動補正
北海道,新篠津村,24,武田自治会館前,武田自治会館前,43.228819885216,141.57737731934,手動補正
北海道,新篠津村,25,第36線北2号 (新樺自治会館前),第36線北2号 (新樺自治会館前),43.219688607018,141.57531738281,手動補正
