prefecture,city,number,address,name,lat,long
北海道,石狩市,1,本町9番地1弁天会館,弁天会館,43.2476745,141.3540057
北海道,石狩市,2,masked,masked,43.2437817,141.3500713
北海道,石狩市,3,親船町75番地526旧柏木会館跡,旧柏木会館跡,43.2373613,141.3444058
北海道,石狩市,4,八幡2丁目八幡コミセン,八幡コミセン,43.2451618,141.3711171
北海道,石狩市,5,北生振11線・美登住北3号交差点北生振11線美登住北3号交差点,北生振11線美登住北3号交差点,43.2264557,141.3927431
北海道,石狩市,6,八幡町高岡高岡ふれあい研修センター,高岡ふれあい研修センター,43.2542617,141.4213185
北海道,石狩市,7,八幡町高岡高岡ふれあい研修センター,高岡ふれあい研修センター,43.2542617,141.4213185
北海道,石狩市,8,八幡町高岡五の沢高岡ふれあい研修センター,高岡ふれあい研修センター,43.2542617,141.4213185
北海道,石狩市,9,石狩市生振3線春光寺,春光寺,43.1935624,141.3491503
北海道,石狩市,10,生振793-5生振ふれあい研修センター,生振ふれあい研修センター,43.1918144,141.3629676
北海道,石狩市,11,生振8線南通道路白鳥札幌線・生振第2号線交差点,通道路白鳥札幌線・生振第2号線交差点,43.1804712,141.3514821
北海道,石狩市,12,親船町60-7親船会館,親船会館,43.226571,141.340198
北海道,石狩市,13,親船町セイコーマート親船店,セイコーマート親船店,43.2228499,141.3441625
北海道,石狩市,14,新港東1丁目丹野商店,丹野商店,43.2129962,141.3344677
北海道,石狩市,15,花川338はまなすクラブ,はまなすクラブ,43.1375344,141.285726
北海道,石狩市,16,花川北6条1丁目石狩商工会議所,石狩商工会議所,43.170657,141.314328
北海道,石狩市,17,花川北7条1丁目石狩市役所前空地,石狩市役所前空地,43.1716354,141.31731
北海道,石狩市,18,新港南1丁目YKKAP工場前,YKKAP工場前,43.1888139,141.3273882
北海道,石狩市,19,緑苑台中央3丁目緑苑台小学校,緑苑台小学校,43.15917719999999,141.3395714
北海道,石狩市,20,緑苑台東2条1丁目130緑苑台グリーン会館,緑苑台グリーン会館,43.1637156,141.3424669
北海道,石狩市,21,花川東1-142緑苑台東3-4管理所,緑苑台東3-4管理所,43.1652952,141.3499144
北海道,石狩市,22,花川東2条1丁目三信粟栄簿,三信粟栄簿,43.1666974,141.3338778
北海道,石狩市,23,花川北4条3丁目双葉小学校,双葉小学校,43.1640339,141.3132551
北海道,石狩市,24,花川北4条1丁目花川中学校,花川中学校,43.1684036,141.3118862
北海道,石狩市,25,花川北4条3丁目花川北4-4停留所,花川北4-4停留所,43.1642474,141.3161832
北海道,石狩市,26,花川北5条1丁目立花工務店,立花工務店,43.1701211,141.313066
北海道,石狩市,27,花川北2条1丁目5-57花川北2-15びっこ公園,花川北2-15びっこ公園,43.1619738,141.3033427
北海道,石狩市,28,花川北3条3丁目花川中央団地7号棟,花川中央団地7号棟,43.1617476,141.3111574
北海道,石狩市,29,花川北3条2丁目花川北コミセン,花川北コミセン,43.1643659,141.3088638
北海道,石狩市,30,花川北2条2丁目石狩市公民館（旧母子交通センター）,石狩市公民館（旧母子交通センター）,43.1607827,141.3051688
北海道,石狩市,31,花川北1条3丁目1旧北海道信用金庫,旧北海道信用金庫,43.1554428,141.3029526
北海道,石狩市,32,花川北3条4丁目花川北中学校,花川北中学校,43.1611736,141.3135662
北海道,石狩市,33,花川北2条5丁目8-4シルバー人材センター連絡所,シルバー人材センター連絡所,43.1538876,141.3104169
北海道,石狩市,34,花川北2条6丁目石狩市花川北配水場,石狩市花川北配水場,43.1553063,141.3164483
北海道,石狩市,35,花川北3条6丁目花川北3-6 南花野通沿,花川北3-6 南花野通沿,43.1546709,141.317036
北海道,石狩市,36,花川南1条4丁目酒のかまだ向い,酒のかまだ向い,43.1516674,141.305248
北海道,石狩市,37,花川南2条5丁目了恵寺,了恵寺,43.1474654,141.3043211
北海道,石狩市,38,花川南1条6丁目ニューあかしや会館,ニューあかしや会館,43.1477051,141.3092503
北海道,石狩市,39,花川北1条6丁目紅南小学校,紅南小学校,43.1505133,141.3130143
北海道,石狩市,40,樽川4条1丁目ふれあいの杜公園,ふれあいの杜公園,43.1531451,141.288096
北海道,石狩市,41,樽川6条1丁目パストラル花川,パストラル花川,43.1488204,141.2823946
北海道,石狩市,42,樽川6条3丁目樽川まきば公園,樽川まきば公園,43.1505543,141.280523
北海道,石狩市,43,樽川8条2丁目樽川東第1会館,樽川東第1会館,43.1471318,141.2767497
北海道,石狩市,44,花川南6条1丁目道営住宅グリーンコート花川,道営住宅グリーンコート花川,43.1475576,141.2851644
北海道,石狩市,45,花川南5条2丁目1-1花川南5-2停留所,花川南5-2停留所,43.14950899999999,141.2901247
北海道,石狩市,46,花川南3条1丁目南線小学校,南線小学校,43.1542153,141.2918393
北海道,石狩市,47,花川北1条1丁目石狩消防署,石狩消防署,43.15850469999999,141.299021
北海道,石狩市,48,花川南1条2丁目花川南みどり公園,花川南みどり公園,43.1551884,141.3000183
北海道,石狩市,49,花川南4条3丁目花川南5条通・防風林道の交差点,花川南5条通・防風林道の交差点,43.1475336,141.2949067
北海道,石狩市,50,花川南4条5丁目川上牧場,川上牧場,43.1447361,141.3042494
北海道,石狩市,51,花川南4条3丁目旧花川南浄水場,旧花川南浄水場,43.1475336,141.2949067
北海道,石狩市,52,花川南6条5丁目花川南小学校,花川南小学校,43.142153,141.2955308
