prefecture,city,number,address,name,lat,long,note
北海道,神恵内村,1,古宇郡神恵内村大字珊内村字川白８８番地,消防格納庫横,43.2202713,140.3270851,緯度経度は怪しい
北海道,神恵内村,2,古宇郡神恵内村大字珊内村字オネナイ１６８番地の３,オネナイバス停前,43.2157752,140.331911,緯度経度は怪しい
北海道,神恵内村,3,古宇郡神恵内村大字珊内村番外地,珊内漁港前,43.2248336,140.3656729,緯度経度は怪しい
北海道,神恵内村,4,古宇郡神恵内村大字珊内村８番６,珊内バス停横,43.1969225,140.3487582,緯度経度は怪しい
北海道,神恵内村,5,古宇郡神恵内村大字赤石村３０番地９,赤石バス停前,43.1609297,140.3960027,緯度経度は怪しい
北海道,神恵内村,6,古宇郡神恵内村大字赤石村２３番地の１,赤石集会所横,43.1584729,140.4017856,緯度経度は怪しい
北海道,神恵内村,7,古宇郡神恵内村大字赤石村５番地,赤石入口バス停横,43.1516855,140.4131204,緯度経度は怪しい
北海道,神恵内村,8,古宇郡神恵内村大字神恵内村９３番地の１２,nan,43.1459939,140.4221903,緯度経度は怪しい
北海道,神恵内村,9,古宇郡神恵内村大字神恵内村７番外地,（竜神温泉前）,43.1438043,140.4307981,
北海道,神恵内村,10,古宇郡神恵内村大字神恵内村字横澗２８番地,（神恵内中学校前）,43.1468846,140.4243871,緯度経度は怪しい
北海道,神恵内村,11,古宇郡神恵内村大字神恵内村８１番地２０,（神恵内村役場駐車場）,43.1433628,140.4307548,
北海道,神恵内村,12,古宇郡神恵内村大字神恵内村２１８５番地の１,（駐在所向）,43.143334,140.4303328,
北海道,神恵内村,13,古宇郡神恵内村大字神恵内村番外地,（神恵内入口バス停横）,43.1843961,140.4722619,緯度経度は怪しい
北海道,神恵内村,14,古宇郡神恵内村大字神恵内村字ツボ石５番地,（村有車庫横）,43.15058579999999,140.4406149,緯度経度は怪しい
北海道,神恵内村,15,古宇郡神恵内村大字神恵内村字大川１２１４番地１,（ハイツ９９８駐車場）,43.1574251,140.4563493,緯度経度は怪しい
