prefecture,city,number,address,name,lat,long,note
千葉県,一宮町,1-1,東浪見5322-1,創作の里前,35.3692717,140.3634625,
千葉県,一宮町,1-2,一宮2956-1,千葉銀行前,35.3739889,140.3623579,
千葉県,一宮町,1-3,一宮3002-1,商工会館前,35.3755099,140.362499,
千葉県,一宮町,1-4,宮原698-3,金沢輪業前,35.380564,140.36189,
千葉県,一宮町,1-5,田町18-6,旧一宮保育所前,35.37707, 140.36377,
千葉県,一宮町,1-6,一宮2640-2,神門踏切北側,35.37305, 140.36463,
千葉県,一宮町,1-7,宮原60-1,スーパーせんどう裏,35.3818444,140.3634266,
千葉県,一宮町,2-1,綱田1127,masked,35.3353778,140.3797391,
千葉県,一宮町,2-2,東浪見7357-5,旧県立一宮キャンプ場駐車場,35.3319348,140.3947822,
千葉県,一宮町,2-3,東浪見7792,綱田ライスセンター,35.346649,140.3824532,
千葉県,一宮町,2-4,東浪見2769-6,東浪見駅前,35.34717, 140.37694,
千葉県,一宮町,2-5,東浪見1516-2,東浪見小学校前,35.34821, 140.37902,
千葉県,一宮町,2-6,東浪見5013,矢畑信号南側,35.35954, 140.36988,
千葉県,一宮町,2-7,東浪見4842-1,原集会所前,35.3592146,140.3755876,
千葉県,一宮町,2-8,東浪見4738-1,新熊消防機庫前,35.356194,140.3768025,
千葉県,一宮町,2-9,東浪見7484-5,船橋少年自然の家横,35.3609989,140.3874987,
千葉県,一宮町,3-1,一宮2561-12,一宮駅東側ロータリー,35.3733662,140.366875,
千葉県,一宮町,3-2,一宮2457,一宮町役場前,35.3729519,140.3684077,
千葉県,一宮町,3-3,一宮2225-2,片岡鈑金横,35.3694216,140.3679358,
千葉県,一宮町,3-4,一宮1752-19,原地区三角広場前,35.36751, 140.37288,
千葉県,一宮町,3-5,一宮10755,東部土地区良区石碑前,35.373257, 140.378695,
千葉県,一宮町,3-6,一宮350-98,愛国学園前,35.3804172,140.3839927,
千葉県,一宮町,3-7,船頭給150-2,船頭給交差点,35.38357, 140.3725,
千葉県,一宮町,3-8,新地甲2055,諏訪神社前,35.38651, 140.37411,
千葉県,一宮町,3-9,船頭給2512-81,一宮海岸広場前,35.381, 140.38889,
千葉県,一宮町,4-1,一宮8699-2,masked,35.373511,140.3478897,
千葉県,一宮町,4-2,一宮8551-3,細田堤北側,35.371666,140.3501492,
千葉県,一宮町,4-3,一宮8164-1,旧9区の2集合所前,35.3668682,140.3500025,
千葉県,一宮町,4-4,一宮5166,柚木集会所前,35.366461,140.3559961,
千葉県,一宮町,4-5,一宮4095-1,内荷貯水槽前,35.3708652,140.3582048,
千葉県,一宮町,4-6,一宮5962-3,本給自治センター前,35.36401, 140.36284,
千葉県,一宮町,4-7,一宮4236-1,一宮中学校手前,35.37332, 140.35611,
千葉県,一宮町,4-8,一宮4525-2,masked,35.37824, 140.35583,
