prefecture,city,number,address,name,lat,long,note
千葉県,四街道市,1-1,亀崎1番地,亀崎熊野神社前駐車場,35.6985909,140.1969057,
千葉県,四街道市,1-2,もねの里二丁目20番30号,千石公民館駐車場,35.6871339,140.1909729,
千葉県,四街道市,1-3,もねの里二丁目9番6号,まちあわせ公園,35.6886155,140.1859796,
千葉県,四街道市,1-4,もねの里四丁目1番9号,物井せどくらし公園,35.6877352,140.1932251,
千葉県,四街道市,1-5,物井1536番地9号,南小学校前,35.6921222,140.1899272,
千葉県,四街道市,1-6,長岡298番地,長岡地区掲示板付近,35.6816944,140.1903294,
千葉県,四街道市,1-7,物井787番地2号,物井消防分団詰所横,35.6869915,140.1953306,
千葉県,四街道市,1-8,もねの里五丁目24番,物井駅付近,35.6847558,140.1991777,
千葉県,四街道市,1-9,もねの里六丁目10番,もねの里モール前,35.6849904,140.1906511,
千葉県,四街道市,2-1,鹿渡463番地,鹿渡太明神前,35.666563,140.176818,緯度経度は怪しい
千葉県,四街道市,2-2,みのり町7番地2,みのり町公園,35.6652561,140.1723521,
千葉県,四街道市,2-3,鹿渡809番地2,すみれ合入口付近,35.6668828,140.1707392,緯度経度は怪しい
千葉県,四街道市,2-4,鹿渡1098番地5,鹿渡太明神社前,35.6631014,140.1720435,
千葉県,四街道市,2-5,鹿渡無番地,四街道中央公園,35.666563,140.176818,緯度経度は怪しい
千葉県,四街道市,2-6,鹿渡934番地24,市営北口第一自転車駐車場前,35.6644943,140.1664154,
千葉県,四街道市,2-7,鹿渡1014番地2,四街道駅南口広場,35.6623267,140.1661664,
千葉県,四街道市,3-1,大日340番地7,緑ヶ丘公園,35.674401,140.1590723,
千葉県,四街道市,3-2,大日313-44,緑ヶ丘第5幼児公園,35.67153589999999,140.1598474,
千葉県,四街道市,3-3,中央3番,都市広場駐マンション裏西出入口前,35.6684899,140.1667899,
千葉県,四街道市,3-4,鹿渡番番地,市役所前,35.666563,140.176818,緯度経度は怪しい
千葉県,四街道市,3-5,中央2番1,大土手山向い,35.6694077,140.166447,
千葉県,四街道市,3-6,大日423番地1,m2プラザ立体駐車場横,35.67205200000001,140.1635508,
千葉県,四街道市,3-7,大日357番地11,大日郵便局付近,35.6752749,140.1618824,
千葉県,四街道市,3-8,大日481番地51,緑ヶ丘第11幼児公園,35.6774133,140.1661182,
千葉県,四街道市,4-1,四街道一丁目2番,四街道駅北口広場,35.6630944,140.1647568,
千葉県,四街道市,4-2,鹿渡2001番地10,市役所第二庁舎前,35.6647463,140.165048,緯度経度は怪しい
千葉県,四街道市,4-3,四街道一丁目7番16号,四街道1丁目児童公園,35.6639926,140.1641136,
千葉県,四街道市,4-4,四街道1532番地14,新生公園,35.6673736,140.1592295,
千葉県,四街道市,4-5,四街道1532番地17,四街道公民館前,35.6652703,140.1602098,緯度経度は怪しい
千葉県,四街道市,4-6,四街道1522番地10,津之守児童遊園,35.6653087,140.1619951,緯度経度は怪しい
千葉県,四街道市,4-7,四街道1474番地,四街道第2幼児公園,35.6677705,140.1619414,
千葉県,四街道市,5-1,さつきケ丘12番1号,さつきケ丘自治会館前,35.6636573,140.1518518,
千葉県,四街道市,5-2,下志津野田2531番号,さつき幼稚園前,35.6697744,140.167948,緯度経度は怪しい
