prefecture,city,number,address,name,lat,long,note
千葉県,大網白里市,1-1,みずほ台一丁目21番地,そよ風公園（4号公園）,35.515968,140.306458,
千葉県,大網白里市,1-2,みずほ台二丁目3番地1,せせらぎ公園（3号公園）,35.514463,140.303926,
千葉県,大網白里市,1-3,みずほ台二丁目20番地1,みずほ台センター公園,35.511462,140.303349,
千葉県,大網白里市,1-4,永田1040番地2付近,瑞穂小学校,35.509382,140.305889,
千葉県,大網白里市,1-5,みずほ台二丁目10番地1,こもれび公園（2号公園）,35.513452,140.299647,
千葉県,大網白里市,1-6,小中822番地付近,片岡飯金付近,35.506245,140.297046,
千葉県,大網白里市,1-7,ながた野一丁目8番地付近,永田駅前ロータリー,35.502768,140.310842,
千葉県,大網白里市,1-8,ながた野二丁目24番地,ながた野3号公園,35.505759,140.314141,
千葉県,大網白里市,1-9,永田2499番地付近,中原青年館,35.502701,140.320924,
千葉県,大網白里市,2-1,池田128番地付近,大網白里スマートインターチェンジ入口付近,35.521012,140.301493,
千葉県,大網白里市,2-2,南玉288番地付近,南玉十字路先,35.524512,140.300309,
千葉県,大網白里市,2-3,大竹266番地1付近,大網駅前交番脇,35.522310,140.311986,
千葉県,大網白里市,2-4,金谷郷232番地1付近,大竹橋交差点脇,35.528431,140.312524,
千葉県,大網白里市,2-5,金谷郷562番地付近,金谷ライスセンター前,35.533453,140.306602,
千葉県,大網白里市,2-6,金谷郷1356番地2付近,農村ふれあいセンター,35.533046,140.300198,
千葉県,大網白里市,2-7,金谷郷2032番地付近,金谷5区公民館,35.533971,140.292591,
千葉県,大網白里市,2-8,餅木188番地付近,餅木公民館脇,35.541410,140.306067,
千葉県,大網白里市,3-1,みどりが丘二丁目40番地25付近,小西地区入口,35.545395,140.314410,
千葉県,大網白里市,3-2,小西470番地付近,masked,35.547174,140.314135,
千葉県,大網白里市,3-3,小西423番地付近,masked,35.548696,140.314977,
千葉県,大網白里市,3-4,養安寺276番地1付近,たんぼ自動車付近,35.548660,140.320863,
千葉県,大網白里市,3-5,養安寺420番地付近,養安寺公民館脇,35.550466,140.321618,
千葉県,大網白里市,3-6,みどりが丘二丁目4番地,ふじだな広場（２号公園）,35.541174,140.313738,
千葉県,大網白里市,3-7,みどりが丘三丁目16番地2付近,みどりが丘自治会館北側,35.543220,140.315378,
千葉県,大網白里市,4-1,大綱427番地8,大綱地区農村公園,35.528286,140.320003,
千葉県,大網白里市,4-2,大綱2907番地5付近,前島池横,35.533414,140.320323,
千葉県,大網白里市,4-3,大綱646番地付近,masked,35.527767,140.322913,
千葉県,大網白里市,4-4,大綱833番地3付近,ファミリーマート前,35.528813,140.325601,
千葉県,大網白里市,4-5,大綱346番地付近,masked,35.523459,140.318429,
千葉県,大網白里市,4-6,大竹21番地1付近,大綱駅入口,35.524854,140.314060,
千葉県,大網白里市,4-7,大綱121番地2,中央公民館前,35.522456,140.320575,
千葉県,大網白里市,4-8,仏島186番地付近,masked,35.520748,140.323380,
千葉県,大網白里市,5-1,南横川357番地付近,masked,35.498556,140.332096,
千葉県,大網白里市,5-2,南横川290番地1付近,masked,35.495382,140.329839,
千葉県,大網白里市,5-3,南横川3710番地2付近,南部維持管理組合前,35.498698,140.336181,
千葉県,大網白里市,5-4,南横川2542番地付近,佐久間医院前,35.497358,140.341258,
千葉県,大網白里市,5-5,南横川3252番地付近,民謡教室付近,35.491558,140.337897,
千葉県,大網白里市,5-6,南横川3491番地7付近,房総平和園入口,35.501345,140.326204,
千葉県,大網白里市,5-7,南横川2519番地1付近,南飯塚橋前,35.499376,140.344857,
千葉県,大網白里市,6-1,星谷182番地付近,星谷公民館,35.509295,140.336238,
千葉県,大網白里市,6-2,南飯塚217番地6付近,南飯塚公民館前,35.501378,140.342781,
千葉県,大網白里市,6-3,南飯塚207番地2付近,masked,35.500522,140.344678,
千葉県,大網白里市,6-4,南飯塚299番地1,増穂幼稚園,35.505283,140.347075,
千葉県,大網白里市,6-5,北飯塚281番地,増穂小学校,35.508353,140.348711,
千葉県,大網白里市,6-6,柿餅26番地1,中部コミュニティセンター前,35.508215,140.350994,
千葉県,大網白里市,6-7,北飯塚375番地付近,北飯塚公民館前,35.506257,140.352869,
千葉県,大網白里市,7-1,清名幸谷252番地1付近,清名幸谷ガス供給所前,35.530083,140.341642,
千葉県,大網白里市,7-2,清名幸谷533番地付近,大宮神社入口,35.529392,140.343986,
千葉県,大網白里市,7-3,清名幸谷2228番地付近,masked,35.528511,140.350596,
千葉県,大網白里市,7-4,上谷新田84番地付近,上谷新田青年館前,35.528363,140.356578,
千葉県,大網白里市,7-5,清名幸谷1341番地1付近,南清名幸谷青年館前,35.524276,140.347914,
千葉県,大網白里市,7-6,清名幸谷1562番地1付近,清名幸谷十字路,35.523676,140.349374,
千葉県,大網白里市,7-7,上谷新田440番地3付近,自治会公園前,35.520732,140.356092,
千葉県,大網白里市,8-1,北吉田794番地付近,北吉田公民館入口,35.498346,140.360634,
千葉県,大網白里市,8-2,桂山1248番地付近,masked,35.504485,140.368521,
千葉県,大網白里市,8-3,桂山473番地付近,桂山公民館入口,35.504932,140.370463,
千葉県,大網白里市,8-4,桂山2117番地付近,駒形神社駐車場,35.509638,140.372377,
千葉県,大網白里市,8-5,九十根280番地付近,九十根バス停前,35.502145,140.374740,
千葉県,大網白里市,8-6,長国742番地付近,長国農村協同館東側,35.497193,140.371964,
千葉県,大網白里市,8-7,九十根220番地付近,鵜沢工務店前,35.508386,140.377797,
千葉県,大網白里市,8-8,下ケ傍示25番地2付近,下ケ傍示バス停前,35.500032,140.380525,
千葉県,大網白里市,9-1,清水768番地付近,片岡商店前,35.479580,140.379383,
千葉県,大網白里市,9-2,細草1379番地付近,白里中学校入口,35.498337,140.389265,
千葉県,大網白里市,9-3,細草3058番地付近,薬王寺前,35.505735,140.393618,
千葉県,大網白里市,9-4,南今泉1088番地1,白里出張所,35.491361,140.401376,
千葉県,大網白里市,9-5,四天木甲3097番地付近,宮脇十字路,35.487550,140.402747,
千葉県,大網白里市,9-6,四天木甲2802番地付近,10区青年館脇,35.483788,140.400718,
