prefecture,city,number,address,name,lat,long,note
千葉県,富里市,1-1,七栄651-274,富里小学校表門前,35.73372330000001,140.33111,
千葉県,富里市,1-2,七栄646-61,富里小学校裏門前,35.7354193,140.3322516,
千葉県,富里市,1-3,七栄305-15,東内野公園裏門前,35.7349, 140.32676,
千葉県,富里市,1-4,七栄648-99,獅子穴公園,35.73822, 140.33323,
千葉県,富里市,1-5,七栄654-190,クリーンセンター,35.7279336,140.3282078,
千葉県,富里市,1-6,七栄647-387,獅子穴第18公園,35.74541, 140.33011,
千葉県,富里市,1-7,七栄651-595,獅子穴第2公園,35.73267, 140.33437,
千葉県,富里市,1-8,七栄649-55,ナリタヤ富里店前,35.74072, 140.33473,
千葉県,富里市,1-9,七栄650-1963,都市計画道路七栄栗山線,35.73516, 140.33652,
千葉県,富里市,2-1,久能552-3,久能集会所,35.7590191,140.3337225,
千葉県,富里市,2-2,七栄648-84,久能小作台,35.74706, 140.32794,
千葉県,富里市,2-3,久能269-2,久能新田バス停,35.74959, 140.33269,
千葉県,富里市,2-4,久能52-1,川栗入口バス停,35.7633836,140.3340549,
千葉県,富里市,2-5,久能238-58,旧根木名集会所跡地,35.74981, 140.33652,
千葉県,富里市,2-6,久能168-1,緑ヶ丘ニュータウン入口,35.75849, 140.34539,
千葉県,富里市,3-1,根木名1009-4,根木名公民館表門前,35.74479, 140.35032,
千葉県,富里市,3-2,大和685-2,大和ニュータウン入口公園,35.7468, 140.34489,
千葉県,富里市,3-3,根木名221-166,旭ヶ丘ニュータウン入口,35.73458, 140.35408,
千葉県,富里市,3-4,根木名1157,旧根木名青年館前,35.73415, 140.35173,
千葉県,富里市,3-5,根木名754,大天交差点先(根木名方向),35.7320219,140.3490523,
千葉県,富里市,3-6,根木名783-2,ファミリータウン根木名バス停付近,35.73447, 140.34904,
千葉県,富里市,3-7,根木名637-1,根木名入口バス停近く,35.74584, 140.35551,
千葉県,富里市,3-9,七栄650-1907,東七栄第4公園,35.74016, 140.34201,
千葉県,富里市,4-1,新橋704-8,富里南平台団地,35.72674, 140.30041,
千葉県,富里市,4-2,新橋561-2,新橋麻賀多神社付近,35.7239842,140.303297,
千葉県,富里市,4-3,新中沢1024-4,向こうども園,35.71737, 140.3156,
千葉県,富里市,4-4,新中沢486-219,新中沢会館,35.70711, 140.31159,
千葉県,富里市,4-5,中沢573,富里第一小学校,35.72596, 140.31533,
千葉県,富里市,4-6,中沢683,妙見神社付近,35.72289, 140.31626,
千葉県,富里市,4-7,七栄171-80,南七栄第2公園,35.73313, 140.31252,
千葉県,富里市,4-8,立沢745,立沢区公民館付近,35.7171, 140.33012,
千葉県,富里市,5-1,高松102,高松青年館,35.697727,140.3216682,
千葉県,富里市,5-2,十倉190-23,香取神社前,35.6936512,140.3257606,
千葉県,富里市,5-3,立沢386-14,二重堀集会所,35.70092, 140.32942,
千葉県,富里市,5-4,十倉185-875,吉川集会所,35.70753, 140.33862,
千葉県,富里市,5-5,十倉1016,金堀集会所,35.69781, 140.34094,
千葉県,富里市,5-6,十倉185-54,浩養小学校,35.693,140.3387895,
千葉県,富里市,5-7,十倉2346-3,四区集会所,35.686592,140.3387693,
千葉県,富里市,5-8,十倉203-3,実の口集会所入口,35.68942, 140.34795,
千葉県,富里市,6-1,十倉291-56,太陽の丘第3公園,35.71867, 140.35405,
千葉県,富里市,6-2,十倉371-1,旧平バス停,35.7210403,140.3578921,
千葉県,富里市,6-3,御料568-1,旭共用利用施設,35.7186019,140.3722542,
千葉県,富里市,6-4,御料488-1,南部共用利用施設,35.7136729,140.3727699,
千葉県,富里市,6-5,十倉500-2,両国共同利用施設,35.7143513,140.3648198,
千葉県,富里市,6-6,十倉296-1,武州集会所,35.7108462,140.3548973,
千葉県,富里市,6-7,御料4-7,富里南小学校,35.70563, 140.35877,
千葉県,富里市,6-8,高野547,高野集会所,35.7093125,140.3469537,
千葉県,富里市,6-9,十倉612-15,三区公民館,35.6889313,140.3667846,
千葉県,富里市,7-1,十倉49-221,バレールド成田入口,35.68826, 140.39925,
千葉県,富里市,7-2,十倉734-1,二区農村協同館,35.6834088,140.3880939,
千葉県,富里市,7-3,十倉732-18,旧洗心小学校,35.68362, 140.38626,
千葉県,富里市,7-4,十倉697,ハニワ台ニュータウン入口,35.69095, 140.38184,
