prefecture,city,number,address,name,lat,long,note
千葉県,習志野市,1-1,藤崎2丁目3番16号,第五中学校南側,35.688995,140.028514,
千葉県,習志野市,1-2,津田沼1丁目23番,さくら公園東側,35.6901262,140.0265348,
千葉県,習志野市,1-3,津田沼1丁目4番,津田沼1丁目公園北側,35.689265,140.023662,
千葉県,習志野市,1-4,津田沼1丁目4番,津田沼1丁目公園東側,35.689265,140.023662,
千葉県,習志野市,1-5,津田沼3丁目11番,旧菊田第二保育所前植樹帯,35.685674,140.025651,
千葉県,習志野市,1-6,津田沼3丁目13番,津田沼1号公園,35.6864227,140.0265585,
千葉県,習志野市,1-7,鷺沼台1丁目4番,鷺沼台（青葉幼稚園前）花壇,35.685043,140.0295942,
千葉県,習志野市,1-8,藤崎1丁目11番13号,masked,35.6871202,140.0309397,
千葉県,習志野市,2-1,津田沼4丁目5番2号,津田沼小学校東側,35.683242,140.0190862,
千葉県,習志野市,2-2,津田沼5丁目13番,津田沼5丁目公園,35.6823278,140.0253319,
千葉県,習志野市,2-3,津田沼2丁目6番,津田沼2丁目児童遊園,35.6857613,140.0212822,
千葉県,習志野市,2-4,津田沼7丁目9番,菊田公園西側,35.6811631,140.0211203,
千葉県,習志野市,2-5,津田沼5丁目12番,京成津田沼駅前ロータリー水花壇,35.68284,140.0238,
千葉県,習志野市,2-6,津田沼5丁目14番,旧千葉信用金庫東側,35.6820385,140.0261277,
千葉県,習志野市,2-7,津田沼3丁目4番,京成津田沼駅第二自転車等駐車場,35.683571,140.027245,
千葉県,習志野市,2-8,津田沼6丁目8番,津田沼6丁目8番植え込み,35.6777078,140.0232571,
千葉県,習志野市,3-1,鷺沼3丁目1番1号,鷺沼小学校正門脇,35.6772369,140.0297446,
千葉県,習志野市,3-2,鷺沼3丁目6番44番,養護老人ホーム白鷺園西側,35.676889,140.028637,
千葉県,習志野市,3-3,鷺沼3丁目9番,鷺沼3丁目児童公園,35.675108,140.0277157,
千葉県,習志野市,3-4,鷺沼1丁目11番,鷺沼1丁目しらさぎ橋下緑地,35.6768411,140.0261448,
千葉県,習志野市,3-5,鷺沼1丁目10番,鷺沼城址公園下広場,35.6783333,140.0258333,
千葉県,習志野市,3-6,鷺沼2丁目1番1号,習志野市役所西側,35.6816356,140.0272602,
千葉県,習志野市,3-7,鷺沼1丁目1番1号,保険会館北側,35.680325,140.0271805,
千葉県,習志野市,3-8,鷺沼1丁目9番,鷺沼城址公園南川入口,35.6783333,140.0258333,
千葉県,習志野市,4-1,谷津5丁目1-32,谷津小学校（南東側交差点角）,35.6867672,140.0121192,
千葉県,習志野市,4-2,谷津5丁目36番,谷津5丁目第4広場,35.6911948,140.0070258,
千葉県,習志野市,4-3,谷津5丁目16番,谷津5丁目公園駐輪場,35.687823,140.0105131,
千葉県,習志野市,4-4,谷津5丁目40番,谷津5丁目児童遊園,35.6890329,140.0050747,
千葉県,習志野市,4-5,谷津5丁目7番30号,いこいの家5丁目第1町会集会所東側,35.6852811,140.0100351,
千葉県,習志野市,4-6,谷津5丁目1番17番,谷津幼稚園東側,35.686484,140.011408,
千葉県,習志野市,4-7,谷津5丁目16番,谷津5丁目公園駐車場,35.687823,140.0105131,
千葉県,習志野市,4-8,谷津5丁目5番,京成谷津駅北口自転車等駐車場脇,35.6857956,140.0070563,
千葉県,習志野市,5-1,谷津4丁目7番10番,谷津公民館北側,35.6848003,140.0050787,
千葉県,習志野市,5-2,谷津4丁目8番,谷津4丁目公園,35.68622060000000,140.0041389,
千葉県,習志野市,5-3,谷津3丁目29番11号,谷津遊園ハイツK棟東側,35.6838433,140.0029108,
千葉県,習志野市,5-4,谷津3丁目29-1,谷津遊園ハイツA棟東側,35.6826822,140.0021598,
千葉県,習志野市,5-5,谷津3丁目1番13号,谷津5号緑地（市立谷津南保育所西側歩道）,35.6826088,140.0061558,
千葉県,習志野市,5-6,谷津4丁目7番,向山1号公園,35.6846611,140.0060166,
千葉県,習志野市,5-7,谷津4丁目8番,西之葦公園,35.6853391,140.003579,
