prefecture,city,number,address,name,lat,long,note
千葉県,芝山町,1-1,小池2986-3,芝山クリーンセンター下,35.685509,140.4142,緯度経度は怪しい
千葉県,芝山町,1-2,小池2601,パルールド第1公園,35.69101,140.402542,緯度経度は怪しい
千葉県,芝山町,1-3,小池2497-2,芝山小学校入口,35.696926,140.410553,緯度経度は怪しい
千葉県,芝山町,1-4,小池992,芝山町役場,35.693462,140.41452,緯度経度は怪しい
千葉県,芝山町,1-5,小池1754,竜ヶ塚三叉路,35.70335,140.430008,緯度経度は怪しい
千葉県,芝山町,1-6,大台1323,大台宿集会所,35.706795,140.423584,緯度経度は怪しい
千葉県,芝山町,1-7,大台603,大台北部集会所,35.71114,140.412704,緯度経度は怪しい
千葉県,芝山町,1-8,大台2686,大台南芝山ｺﾝﾌﾟﾚ倶楽部入口,35.703777,140.410355,緯度経度は怪しい
千葉県,芝山町,1-9,新井田48-8,小池9新井田入口交差点,35.69891,140.407578,緯度経度は怪しい
千葉県,芝山町,2-1,山中837,山中西三叉路,35.698757,140.435211,緯度経度は怪しい
千葉県,芝山町,2-2,高谷19-1,高谷三叉路,35.704472,140.442368,緯度経度は怪しい
千葉県,芝山町,2-3,高谷731,高谷共同利用施設,35.704472,140.442368,緯度経度は怪しい
千葉県,芝山町,2-4,境571,境宮崎集会所前十字路,35.712551,140.43837,緯度経度は怪しい
千葉県,芝山町,2-5,下吹入273,下吹入集会所,35.710819,140.433792,緯度経度は怪しい
千葉県,芝山町,2-6,上吹入488,上吹入三叉路,35.717937,140.429886,緯度経度は怪しい
千葉県,芝山町,2-7,殿部田369,殿部田郷土館,35.701469,140.446976,緯度経度は怪しい
千葉県,芝山町,3-1,高田6,高田共同利用施設,35.704723,140.403595,緯度経度は怪しい
千葉県,芝山町,3-2,新井田368,新井田秋本商店前,35.698277,140.396057,緯度経度は怪しい
千葉県,芝山町,3-3,高田1221-33,高田西 新井田入口三叉路,35.703506,140.385345,緯度経度は怪しい
千葉県,芝山町,3-4,牧野366,牧野西集会所前 十字路,35.717819,140.379944,緯度経度は怪しい
千葉県,芝山町,3-5,牧野131,牧野青年館前,35.719555,140.386841,緯度経度は怪しい
千葉県,芝山町,3-6,宝馬113,牧野入口,35.723923,140.390701,緯度経度は怪しい
千葉県,芝山町,3-7,宝馬93-271,芝山中学校入口交差点,35.720379,140.393005,緯度経度は怪しい
千葉県,芝山町,4-1,小原子97-1,小原子十字路,35.726196,140.429688,緯度経度は怪しい
千葉県,芝山町,4-2,山田207,山田三叉路,35.724316,140.42395,緯度経度は怪しい
千葉県,芝山町,4-3,飯板126-1,芝山町福祉センター,35.729382,140.421585,緯度経度は怪しい
千葉県,芝山町,4-4,大里2560,白樺集会所,35.735237,140.421326,緯度経度は怪しい
千葉県,芝山町,4-5,大里2642,旧東小学校入口,35.745998,140.415405,緯度経度は怪しい
千葉県,芝山町,4-6,大里1368,加茂集会所,35.743988,140.421997,緯度経度は怪しい
千葉県,芝山町,4-7,大里2984,加茂台三叉路,35.747967,140.428711,緯度経度は怪しい
千葉県,芝山町,5-1,岩山2308,高根病院前,35.72633,140.370941,緯度経度は怪しい
千葉県,芝山町,5-2,岩山2339,川津場三和公民館入口,35.730972,140.372528,緯度経度は怪しい
千葉県,芝山町,5-3,岩山735,平野三叉路,35.729031,140.409653,緯度経度は怪しい
千葉県,芝山町,5-4,朝倉394-15,空の駅風和里しばやま前交差点,35.730293,140.392227,緯度経度は怪しい
千葉県,芝山町,5-5,朝倉394-16,岩山共同利用施設,35.730293,140.392227,緯度経度は怪しい
千葉県,芝山町,5-6,岩山1387,谷、空南工業団地三叉路,35.734444,140.407089,緯度経度は怪しい
千葉県,芝山町,5-7,岩山2258,あけぼの団地入口,35.735695,140.373978,緯度経度は怪しい
千葉県,芝山町,6-1,菱田1237-15,辺田公会堂,35.75742,140.401367,緯度経度は怪しい
千葉県,芝山町,6-2,菱田758,中谷津集会所,35.771255,140.41333,緯度経度は怪しい
千葉県,芝山町,6-3,菱田190,菱田東入口,35.755714,140.418381,緯度経度は怪しい
千葉県,芝山町,6-4,大里327-1,住母家入口,35.74786,140.41214,緯度経度は怪しい
千葉県,芝山町,6-5,菱田1041,旧菱田小学校入口,35.752674,140.409698,緯度経度は怪しい
千葉県,芝山町,6-6,大里18-52,中央公民館 千代田分館,35.748997,140.400757,緯度経度は怪しい
千葉県,芝山町,6-7,香山新田148-1,芝山千代田駅入口,35.769325,140.402283,緯度経度は怪しい
千葉県,芝山町,7-1,新井田170,はにわ台ニュータウン入口,35.694836,140.395294,緯度経度は怪しい
千葉県,芝山町,7-2,新井田508-1,はにわ台団地入口,35.695892,140.38623,緯度経度は怪しい
千葉県,芝山町,7-3,新井田445-141,はにわ台県営住宅,35.690739,140.385727,緯度経度は怪しい
千葉県,芝山町,7-4,新井田445-489,日本オーチスエレベータ㈱研修棟前,35.690739,140.385727,緯度経度は怪しい
千葉県,芝山町,7-5,新井田445-169,はにわ台公園,35.690739,140.385727,緯度経度は怪しい
千葉県,芝山町,7-6,新井田新田203,新井田集会所入口三叉路,35.701618,140.382507,緯度経度は怪しい
千葉県,芝山町,7-7,新井田新田143,新田池田製作所下三叉路,35.701893,140.379761,緯度経度は怪しい
