prefecture,city,number,address,name,lat,long,note
埼玉県,北本市,1-1,中丸10丁目419番地1,中丸公民館入口左側,36.02814,139.55353,
埼玉県,北本市,1-2,中丸10丁目55番地,北本市健康増進センター北側入口右側,36.03101,139.55271,
埼玉県,北本市,1-3,山中2丁目128番地,東中学校正門左側,36.03381,139.54843,
埼玉県,北本市,1-4,中丸9丁目25番地,中丸スポーツ広場正門入口左側,36.02622,139.55238,
埼玉県,北本市,1-5,中丸8丁目123番地,カインズ北本店北西側植栽,36.02058,139.55505,
埼玉県,北本市,1-6,北中丸2丁目117番地,鈴木商店南東40m先向側畑地,36.0338,139.55327,
埼玉県,北本市,2-1,朝日1丁目72番地3,ウチダ自動車南西140m先畑地,36.03958,139.55242,
埼玉県,北本市,2-2,朝日2丁目238番地1,ワコーレ・シャトルバス発着所ロータリー内西側,36.04,139.55783,
埼玉県,北本市,2-3,朝日2丁目238番地1,ワコーレA棟南側植栽,36.04013,139.55708,
埼玉県,北本市,2-4,朝日2丁目238番地1,ワコーレA棟北西側植栽(入口左側),36.04097,139.55608,
埼玉県,北本市,2-5,朝日2丁目389番地,ワコーレE棟南向側植栽(水路左岸),36.03895,139.55692,
埼玉県,北本市,2-6,朝日2丁目157番地,白山神社県道312号線側,36.03743,139.55615,
埼玉県,北本市,3-1,宮内7丁目145番地1,中丸小学校正門右側,36.03621,139.54406,
埼玉県,北本市,3-2,宮内6丁目277番地3,宮内スポーツ広場南東側(洗車場北東側),36.03896,139.54491,
埼玉県,北本市,3-3,宮内4丁目136番地,宮内氷川神社南側(参道入口右側),36.04348,139.53916,
埼玉県,北本市,3-4,宮内4丁目345番地,民具収蔵庫(旧学校給食センター)南側,36.04621,139.54213,
埼玉県,北本市,3-5,宮内7丁目147番地,北本リサイクル事業協同組合入口右側,36.03548,139.54523,
埼玉県,北本市,3-6,宮内5丁目115番地2,宮内5丁目公園県道311号線側,36.04116,139.53867,
埼玉県,北本市,3-7,古市場1丁目169番地,北本総合公園正門左側植栽(体育センター入口向側),36.04418,139.54983,
埼玉県,北本市,4-1,深井4丁目45番地1,北小学校正門右側,36.04703,139.52949,
埼玉県,北本市,4-2,深井8丁目226番地1,深井田代バス停北西100m先十字路南側畑地東側,36.04747,139.53425,
埼玉県,北本市,4-3,深井3丁目3番地4,深井3丁目公園,36.04834,139.52272,
埼玉県,北本市,4-4,深井2丁目102番地5,深井2丁目公園南側,36.04577,139.5258,
埼玉県,北本市,4-5,深井3丁目137番地1,仕出し弁当ポパイ食向側畑地,36.04687,139.52628,
埼玉県,北本市,4-6,深井7丁目228番地,桜国屋駐車場北側入口右側,36.05212,139.52934,
埼玉県,北本市,4-7,深井4丁目155番地1,北部公民館南側入口右側,36.04366,139.53386,
埼玉県,北本市,5-1,宮内3丁目12番地1,岡田ハイツ西側畑地,36.04183,139.53277,
埼玉県,北本市,5-2,東間8丁目59番地1,美容室すくすく南東50m先右側駐車場,36.04497,139.53036,
埼玉県,北本市,5-3,宮内1丁目354番地,島田燃料店東向側路肩,36.03676,139.53627,
埼玉県,北本市,5-4,東間8丁目168番地,旧あづまストアー交差点東側花壇北側,36.04283,139.53053,
埼玉県,北本市,5-5,東間8丁目229番地1,東間公園北側,36.04388,139.53198,
埼玉県,北本市,5-6,宮内3丁目167番地2,宮内緑地公園東側,36.04069,139.53515,
埼玉県,北本市,5-7,東間8丁目230番地79,東間ニュータウン公園北西側,36.04262,139.5324,
埼玉県,北本市,6-1,東間5丁目90番地1,サンマンション北本管理棟北向側,36.04202,139.52722,
埼玉県,北本市,6-2,東間6丁目67番地2,東間6丁目わくわく公園東側,36.04274,139.52853,
埼玉県,北本市,6-3,東間4丁目23番地8,斉藤自動車板金塗装南西100m先右側ごみ集積所奥,36.03884,139.53207,
