prefecture,city,number,address,name,lat,long,note
埼玉県,川口市,1-1,青木2-1-1,川口市役所西側附近,35.807274,139.72377,緯度経度は怪しい
埼玉県,川口市,1-2,栄町2-7-14,masked,35.802456,139.72319,緯度経度は怪しい
埼玉県,川口市,1-3,幸町1-2,幸一ミレニアム公園附近,35.805725,139.721313,緯度経度は怪しい
埼玉県,川口市,1-4,栄町1-6,栄町1丁目公園附近,35.803291,139.727844,緯度経度は怪しい
埼玉県,川口市,1-5,栄町1-12,アロッジオウチダ附近,35.802231,139.727798,緯度経度は怪しい
埼玉県,川口市,1-6,栄町1-19-15,川口栄町第2市街地住宅附近,35.803566,139.729706,緯度経度は怪しい
埼玉県,川口市,1-7,栄町1-2-19,栄町保育所附近,35.804527,139.727097,緯度経度は怪しい
埼玉県,川口市,1-8,栄町2-1,栄町サン緑地附近,35.803223,139.721725,緯度経度は怪しい
埼玉県,川口市,2-1,幸町3-8-33,幸栄公民館入口附近,35.805706,139.718384,緯度経度は怪しい
埼玉県,川口市,2-2,幸町2-8-13,民家附近,35.807774,139.718597,緯度経度は怪しい
埼玉県,川口市,2-3,幸町2-5,幸町第1公園附近,35.806324,139.719406,緯度経度は怪しい
埼玉県,川口市,2-4,栄町3-11-24,コミュニティプラザ東側附近,35.803963,139.719757,緯度経度は怪しい
埼玉県,川口市,2-5,幸町3-6,幸町3丁目あかつき公園附近,35.805672,139.716415,緯度経度は怪しい
埼玉県,川口市,2-6,幸町3-1,幸町自転車駐輪場附近,35.804832,139.715454,緯度経度は怪しい
埼玉県,川口市,2-7,栄町3-6,川口駅東口バス停④番のりば附近,35.802383,139.717957,緯度経度は怪しい
埼玉県,川口市,2-8,幸町2-10,幸町2丁目公園西側附近,35.808685,139.718399,緯度経度は怪しい
埼玉県,川口市,3-1,本町3-9,本町公園東側附近,35.801331,139.722885,緯度経度は怪しい
埼玉県,川口市,3-2,本町3-5,本町緑地附近,35.799213,139.722626,緯度経度は怪しい
埼玉県,川口市,3-3,本町3-10,本三公園西側附近,35.802109,139.723053,緯度経度は怪しい
埼玉県,川口市,3-4,本町4-1-11,㈱カト-薬院前附近,35.800991,139.720398,緯度経度は怪しい
埼玉県,川口市,3-5,本町3-4-3,ソフィア川口ブラン附近,35.799774,139.722427,緯度経度は怪しい
埼玉県,川口市,3-6,本町3-11,本町3丁目月極臨時駐車場附近,35.801872,139.724411,緯度経度は怪しい
埼玉県,川口市,3-7,本町4-7,本町四丁目公園附近,35.800339,139.719757,緯度経度は怪しい
埼玉県,川口市,3-8,本町4-2-12,シティプレイスビル附近,35.801918,139.71936,緯度経度は怪しい
埼玉県,川口市,4-1,川口1-1,キュポ・ラ本館棟附近,35.800743,139.718475,緯度経度は怪しい
埼玉県,川口市,4-2,川口1-2,リビオタワ-川口ミドリノ附近,35.79858,139.718842,緯度経度は怪しい
埼玉県,川口市,4-3,金山町3,金山町公園附近,35.798119,139.721298,緯度経度は怪しい
埼玉県,川口市,4-4,川口1-5-14,スカイフロントタワ-川口附近,35.796169,139.720291,緯度経度は怪しい
埼玉県,川口市,4-5,金山町14,金山町緑地附近,35.796116,139.722641,緯度経度は怪しい
埼玉県,川口市,4-6,川口1-3,南寿町公園附近,35.797062,139.718582,緯度経度は怪しい
埼玉県,川口市,4-7,金山町6,川口神社公園附近,35.798103,139.722672,緯度経度は怪しい
埼玉県,川口市,4-8,川口1-1,キュポ・ラ分譲住宅棟附近,35.800743,139.718475,緯度経度は怪しい
埼玉県,川口市,5-1,本町2-5,本町二丁目公園附近,35.800877,139.725708,緯度経度は怪しい
埼玉県,川口市,5-2,本町1-5,本一公園附近,35.796268,139.724487,緯度経度は怪しい
埼玉県,川口市,5-3,本町2-1-8,民家附近,35.797894,139.725235,緯度経度は怪しい
埼玉県,川口市,5-4,本町2-4-6,本町小学校南側附近,35.799686,139.724716,緯度経度は怪しい
埼玉県,川口市,5-5,本町2-4-6,本町小学校西側附近,35.799686,139.724716,緯度経度は怪しい
埼玉県,川口市,5-6,本町1-8,本町1丁目広場遊園附近,35.794701,139.723816,緯度経度は怪しい
埼玉県,川口市,5-7,本町2-12-45,佐々木ビル附近,35.80167,139.72905,緯度経度は怪しい
埼玉県,川口市,6-1,元郷2-15-20,元郷南小学校グラウンド北側附近,35.798161,139.731033,緯度経度は怪しい
埼玉県,川口市,6-2,元郷2-11,元郷第7公園附近,35.794865,139.731735,緯度経度は怪しい
埼玉県,川口市,6-3,元郷3-15-23,元郷3丁目公園附近,35.794094,139.735931,緯度経度は怪しい
埼玉県,川口市,6-4,元郷3-22-23,伊藤鉄工㈱附近,35.792389,139.736008,緯度経度は怪しい
埼玉県,川口市,6-5,元郷2-15-20,元郷南小学校南側附近,35.798161,139.731033,緯度経度は怪しい
埼玉県,川口市,6-6,元郷4-11,元郷避難広場西側附近,35.796753,139.735336,緯度経度は怪しい
埼玉県,川口市,6-7,元郷2-15-3,サミットストア-川口エルザタワ-店前植込附近,35.796741,139.729401,緯度経度は怪しい
埼玉県,川口市,6-8,元郷2-15-3,川口第1クリニック前植込附近,35.796741,139.729401,緯度経度は怪しい
