prefecture,city,number,address,name,lat,long,note
埼玉県,新座市,1-1,野火止五丁目2番,新座駅南口公園,35.8027377,139.5578039,
埼玉県,新座市,1-2,野火止五丁目3番31号,民家ブロック塀,35.806152,139.5575919,
埼玉県,新座市,1-3,野火止五丁目4番34号,新座駅北口土地区画整理事務所ガードレール,35.8040658,139.5584222,
埼玉県,新座市,1-4,野火止五丁目11番,新座マレットゴルフ場北寄り,35.8081371,139.5585874,
埼玉県,新座市,1-5,野火止五丁目15番,野火止五丁目第4ポケットパーク南側植え込み,35.8071602,139.5617695,
埼玉県,新座市,1-6,野火止五丁目3番,(株)髙藤園駐車場フェンス,35.8044796,139.5556331,
埼玉県,新座市,1-7,野火止五丁目33番,野火止上北ふれあい公園植え込み,35.8089682,139.5597329,
埼玉県,新座市,2-1,野火止三丁目4番12号,民家隣畑,35.7930054,139.5554647,
埼玉県,新座市,2-2,野火止三丁目6番,新座野火止宿舎前畑,35.7967627,139.5590559,
埼玉県,新座市,2-3,野火止三丁目13番3号,民家ブロック塀,35.7927093,139.5515897,
埼玉県,新座市,2-4,野火止四丁目9番1号,野火止小学校正門横フェンス,35.801011,139.5575608,
埼玉県,新座市,2-5,野火止四丁目19番6号,野火止四丁目集会所フェンス,35.8026881,139.5550969,
埼玉県,新座市,2-6,菅沢一丁目1番2号,民家前フェンス,35.7969797,139.5551287,
埼玉県,新座市,2-7,菅沢二丁目1番28号,十文字学園女子大学駐車場側フェンス,35.7986505,139.5515091,
埼玉県,新座市,2-8,野火止四丁目9番1号,野火止小学校志木街道側フェンス,35.8002931,139.5577808,
埼玉県,新座市,3-1,堀ノ内二丁目9番,セブンイレブン横畑,35.7707133,139.5578344,
埼玉県,新座市,3-2,堀ノ内三丁目4番,殿山運動場フェンス,35.7754338,139.5586304,
埼玉県,新座市,3-3,堀ノ内三丁目13番,新座病院横畑,35.7729652,139.5551036,
埼玉県,新座市,3-4,堀ノ内三丁目11番1号,第六中学校北側フェンス,35.776946,139.5558374,
埼玉県,新座市,3-5,石神一丁目10番20号,石神小学校馬喰橋通り側フェンス,35.7746504,139.5522089,
埼玉県,新座市,3-6,石神五丁目2番,北原第三児童遊園フェンス,35.7734684,139.5501195,
埼玉県,新座市,3-7,石神五丁目2番,民家の駐車場,35.7728634,139.5488159,
埼玉県,新座市,4-1,馬場一丁目6番18号,民家裏側ブロック塀,35.7832696,139.5712151,
埼玉県,新座市,4-2,畑中二丁目14番,千代田橋前畑,35.7851019,139.5783893,
埼玉県,新座市,4-3,馬場二丁目12番,馬場第一公園フェンス,35.7835826,139.5755395,
埼玉県,新座市,4-4,畑中一丁目14番,畑中ふれあい遊園フェンス,35.7882443,139.5745732,
埼玉県,新座市,4-5,畑中一丁目15番58号,畑中公民館前植え込み,35.7850584,139.5728878,
埼玉県,新座市,4-6,馬場二丁目9番,調整池西側フェンス(第1),35.7830275,139.5765433,
埼玉県,新座市,4-7,馬場二丁目5番,馬場第二公園植え込み,35.7814605,139.5767455,
埼玉県,新座市,5-1,片山一丁目8番31号,片山小学校東側フェンス,35.7706653,139.5674259,
埼玉県,新座市,5-2,片山一丁目20番,紳士服コナカ駐車場隣植え込み,35.7698234,139.5649957,
埼玉県,新座市,5-3,野寺二丁目3番,大蔵児童遊園フェンス,35.7675303,139.5627932,
埼玉県,新座市,5-4,道場一丁目4番,道場一丁目児童遊園フェンス,35.7733184,139.5671039,
埼玉県,新座市,5-5,堀ノ内一丁目5番,民家前畑マンション寄り,35.7754213,139.5654468,
埼玉県,新座市,5-6,堀ノ内一丁目9番20号,(有)吉田ピー・オー・サプライフェンス,35.7771636,139.5612338,
埼玉県,新座市,5-7,道場二丁目14番12号,中央公民館フェンス,35.7696409,139.5620528,
埼玉県,新座市,6-1,栗原六丁目5番14号,栗原公園東側,35.7581511,139.5486074,
埼玉県,新座市,6-2,栗原五丁目11番,栗原五丁目自転車駐車場フェンス,35.7542369,139.5476768,
埼玉県,新座市,6-3,栗原五丁目9番,一本松児童遊園フェンス,35.7567329,139.5466736,
埼玉県,新座市,6-4,栗原六丁目2番,栗原緑地公園南側植え込み,35.7586657,139.5479129,
埼玉県,新座市,6-5,栗原六丁目5番3号,民家フェンス,35.7582664,139.5477763,
埼玉県,新座市,6-6,栗原六丁目5番22号,栗原六丁目集会所前植え込み,35.7577054,139.5483493,
埼玉県,新座市,6-7,栗原六丁目11番,ウエストヒルズ隣畑,35.7577639,139.5455829,
埼玉県,新座市,7-1,東北一丁目6番6号,民家横畑ブロックフェンス,35.8187503,139.570685,
埼玉県,新座市,7-2,東北二丁目28番,三軒屋公園・公園前自転車駐車場側フェンス,35.8202462,139.572423,
埼玉県,新座市,7-3,東北二丁目2番31号,ウイステリア前畑,35.8160464,139.5706372,
埼玉県,新座市,7-4,東北二丁目11番,民家前畑,35.816837,139.5731943,
埼玉県,新座市,7-5,東北二丁目25番,富士塚公園フェンス,35.8194976,139.573976,
埼玉県,新座市,7-6,東北二丁目28番,三軒屋公園フェンス,35.820555,139.5721601,
埼玉県,新座市,7-7,東北二丁目4番,東北公園フェンス,35.8171214,139.5715294,
埼玉県,新座市,7-8,東北二丁目38番15号,東武鉄道(株)所有地フェンス,35.8221387,139.5759783,
埼玉県,新座市,8-1,栄三丁目3番,栄公民館前畑,35.7781361,139.5822693,
埼玉県,新座市,8-2,新塚一丁目4番5号,福祉の里駐車場植え込み,35.7781211,139.5828593,
埼玉県,新座市,8-3,栄三丁目8番,栄三丁目第二児童遊園フェンス,35.7754287,139.5800174,
埼玉県,新座市,8-4,栄四丁目2番,栄四丁目商店会駐輪駐車場フェンス,35.7755397,139.5864162,
埼玉県,新座市,8-5,栄四丁目6番17号,四条児童遊園フェンス,35.7752814,139.5841208,
埼玉県,新座市,8-6,栄四丁目8番19号,民家ブロック塀,35.7766483,139.5834923,
埼玉県,新座市,8-7,新塚一丁目1番1号,栄小学校入口フェンス,35.7781581,139.5884476,
埼玉県,新座市,9-1,西堀二丁目10番3号,民家東側ブロック塀,35.7730434,139.5391368,
埼玉県,新座市,9-2,西堀二丁目10番12号,(有)新清前,35.7719193,139.5381484,
埼玉県,新座市,9-3,西堀二丁目10番,西堀二丁目児童遊園フェンス,35.7738305,139.5366465,
埼玉県,新座市,9-4,新堀一丁目5番,新堀一丁目緑地公園,35.7724714,139.5351723,
埼玉県,新座市,9-5,新堀一丁目5番9号,西堀・新堀コミュニティセンターフェンス,35.7720217,139.5360355,
埼玉県,新座市,9-6,新堀一丁目11番,新座市緑地保護区内林,35.772816,139.5325809,
埼玉県,新座市,9-7,新堀一丁目14番41号,民家ブロック塀,35.7719626,139.52982,
埼玉県,新座市,10-1,野寺一丁目1番11号,バス停『貝沼』前フェンス,35.7672283,139.5585074,
埼玉県,新座市,10-2,野寺一丁目8番,野寺公園北側フェンス,35.7658024,139.5546376,
埼玉県,新座市,10-3,野寺二丁目5番25号,野寺集会所フェンス,35.7657443,139.559388,
埼玉県,新座市,10-4,野寺二丁目8番45号,八石小学校正門横フェンス,35.7657579,139.5568409,
埼玉県,新座市,10-5,野寺二丁目8番45号,八石小学校体育館側入口フェンス,35.76534,139.5580747,
埼玉県,新座市,10-6,野寺二丁目16番,民家斜め向い畑,35.764304,139.5561766,
埼玉県,新座市,10-7,野寺二丁目17番,民家前畑,35.762842,139.5552591,
埼玉県,新座市,11-1,北野二丁目9番,北野第二公園フェンス,35.8154335,139.5618249,
埼玉県,新座市,11-2,北野二丁目15番32号,北野ふれあいの家駐車場植え込み,35.8172501,139.5637106,
埼玉県,新座市,11-3,北野二丁目17番2号,民家フェンス,35.8158975,139.5642064,
埼玉県,新座市,11-4,北野三丁目1番1号,東北小学校正門横フェンス,35.8164766,139.5683139,
埼玉県,新座市,11-5,北野三丁目8番,北野三丁目憩いの森植え込み,35.8203112,139.5685236,
埼玉県,新座市,11-6,北野三丁目18番24号,ミアヘルサオアシス新座フェンス,35.8189159,139.5651859,
埼玉県,新座市,11-7,北野二丁目12番,北野中央公園フェンス,35.8172913,139.5620588,
埼玉県,新座市,11-8,北野二丁目9番15号,北野保育園フェンス,35.8161651,139.5627427,
埼玉県,新座市,12-1,野火止一丁目1番1号,新座市役所バス停留所脇植樹帯,35.793845,139.5649935,
埼玉県,新座市,12-2,野火止一丁目1番2号,市民会館駐車場植え込み,35.7925288,139.5664849,
埼玉県,新座市,12-3,野火止一丁目14番,野火止ふれあい公園植え込み,35.7924421,139.5685122,
埼玉県,新座市,12-4,野火止一丁目20番,ひるねの森駐車場フェンス,35.7884213,139.56163,
埼玉県,新座市,12-5,野火止二丁目1番13号,民家隣畑,35.7871034,139.5669092,
埼玉県,新座市,12-6,野火止二丁目7番11号,中原・本多集会所入口フェンス,35.7881787,139.5592257,
埼玉県,新座市,12-7,畑中一丁目7番32号,民家斜め前畑,35.793448,139.5731702,
