prefecture,city,number,address,name,lat,long,note
埼玉県,杉戸町,1-1,大字下野897番地地先,下野集会所際,36.0571944,139.7030552,
埼玉県,杉戸町,1-2,高野台西5丁目16番地,高野台小学校,36.0540281,139.705473,
埼玉県,杉戸町,1-3,高野台西5丁目8番地,天神児童公園内,36.0558149,139.7080051,
埼玉県,杉戸町,1-4,高野台西2丁目7番地13,上新田(かみしんでん)集会所際,36.054024,139.708939,緯度経度は怪しい
埼玉県,杉戸町,1-5,高野台西1丁目1番地,杉戸高野台駅西口前,36.0513536,139.7142705,
埼玉県,杉戸町,1-6,高野台西4丁目1番地3,西近隣公園内入口前,36.0508674,139.7069852,
埼玉県,杉戸町,1-7,高野台西2丁目1番地13,高野台ビルPART1T字路,36.0523404,139.7108561,
埼玉県,杉戸町,2-1,大字下高野329番地,日光御成街道一里塚,36.0506304,139.700964,
埼玉県,杉戸町,2-2,高野台南5丁目1番地2,西小学校校庭南側,36.047943,139.7107246,
埼玉県,杉戸町,2-3,高野台南1丁目13番地1,西幼稚園,36.0495349,139.7102703,
埼玉県,杉戸町,2-4,高野台南3丁目4番地2,幸手都市ガス倉庫前,36.0462783,139.715912,
埼玉県,杉戸町,2-5,高野台南4丁目3番地,凸版印刷(株)総合研究所前,36.0437788,139.7118591,
埼玉県,杉戸町,2-6,大字下高野530番地,後宿児童公園内,36.0429794,139.7046091,
埼玉県,杉戸町,2-7,大字高野台西4丁目1番地1,西近隣公園際,36.0489051,139.7080185,
埼玉県,杉戸町,3-1,高野台東1丁目8番地1,杉戸高野台駅東口前,36.051501,139.714987,
埼玉県,杉戸町,3-2,高野台東1丁目18番地,東丁張児童公園内,36.0489106,139.7155044,
埼玉県,杉戸町,3-3,大字茨島731番地1付近,特別養護老人ホ-ムはなみずき裏,36.0502914,139.7184742,
埼玉県,杉戸町,3-4,大字大島29番地1,高野農村センタ-入口際,36.0473341,139.7203943,
埼玉県,杉戸町,3-5,大字大島197番地2,水路フェンス,36.0506436,139.7239971,
埼玉県,杉戸町,3-6,大字大島477番地8,カルスタすぎと際,36.0464504,139.7257898,
埼玉県,杉戸町,3-7,大字下高野2756番地,小谷堀(こやぼり)集会所際,36.0434218,139.7198629,
