prefecture,city,number,address,name,lat,long
埼玉県,神川町,1-1,神川町植竹４７９－５,神川町電話交換センター,36.2137501,139.096431
埼玉県,神川町,1-2,神川町植竹９０９,神川町役場,36.2134359,139.1011016
埼玉県,神川町,1-3,神川町植竹１２９９－３,植竹第４集会所,36.2171839,139.1046951
埼玉県,神川町,1-4,神川町肥土１０４－２,肥土中集会所（火の見下）,36.2213207,139.0919156
埼玉県,神川町,1-5,神川町肥土３２７－３,元郷集会所前,36.2273245,139.0952884
埼玉県,神川町,1-6,神川町関口１１０,丹荘小学校,36.2188814,139.1012521
埼玉県,神川町,1-7,神川町関口１８７－３,関口東集荷所跡地（花壇）,36.2229679,139.1009656
埼玉県,神川町,1-8,神川町植竹３１１－１,ライフピア神川前,36.2165034,139.0969209
埼玉県,神川町,2-1,神川町元阿保５８６－１,元阿保旧公会堂,36.2234841,139.1046377
埼玉県,神川町,2-2,神川町元阿保５９０－１,元阿保十字路（民家前）,36.222539,139.1051651
埼玉県,神川町,2-3,神川町元阿保５３８,稲中集荷所前（稲荷塚）,36.2240303,139.1061494
埼玉県,神川町,2-4,神川町元阿保１９４－１,元阿保十字路（福島屋穀店西）,36.2248268,139.1035305
埼玉県,神川町,2-5,神川町四軒在家２２５,民家前,36.2296062,139.1044693
埼玉県,神川町,2-6,神川町四軒在家２３７,四軒在家集荷所跡地（空地）,36.2308945,139.1044379
埼玉県,神川町,3-1,神川町八日市２２－３,瑞巌寺西,36.2155299,139.1127723
埼玉県,神川町,3-2,神川町八日市４４４－１,八日市集会所,36.21283,139.1165734
埼玉県,神川町,3-3,神川町八日市２５７０－７,丹荘公園入口,36.2068382,139.1245781
埼玉県,神川町,3-4,神川町八日市５２７－１,熊野神社,36.2108826,139.1141518
埼玉県,神川町,3-5,神川町原新田１０９１－３,原新田集会所,36.2180043,139.1152269
埼玉県,神川町,3-6,神川町熊野堂２００－１,三原集会所,36.2166391,139.1212746
埼玉県,神川町,3-7,神川町元原３４－１,元原集会所,36.2203944,139.1261544
埼玉県,神川町,4-1,神川町小浜５６６－１,民家西,36.2073491,139.0817802
埼玉県,神川町,4-2,神川町小浜５９７,小浜自衛消防小屋東,36.2066749,139.0810104
埼玉県,神川町,4-3,神川町小浜２８７－１,小浜向集会所,36.2037861,139.0803584
埼玉県,神川町,4-4,神川町貫井９４－１,貫井集会所,36.2071337,139.0877047
埼玉県,神川町,4-5,神川町貫井１５７－１,貫井観音堂,36.2097877,139.087922
埼玉県,神川町,5-1,神川町新宿２８－１,本郷公民館,36.1856977,139.0644023
埼玉県,神川町,5-2,神川町新宿４８－１,新宿交差点,36.1864812,139.0651825
埼玉県,神川町,5-3,神川町新宿１１２４－３,峰岸公民館,36.1912345,139.0710941
埼玉県,神川町,5-4,神川町新宿１１０８－１,民家東,36.192299,139.0733543
埼玉県,神川町,5-5,神川町新宿１８１－１,寄島公民館,36.1918459,139.0681569
埼玉県,神川町,6-1,神川町池田２８－３,泉徳寺南,36.192202,139.0770874
埼玉県,神川町,6-2,神川町池田４１－１,井上精米所前,36.1926478,139.0751861
埼玉県,神川町,6-3,神川町池田５９９－１,消防第２分団車庫前,36.1965406,139.0825401
埼玉県,神川町,6-4,神川町池田１７７－１,池田バス停付近,36.1952613,139.079558
埼玉県,神川町,6-5,神川町二ノ宮７９－３,青柳駐在所東,36.1980566,139.0836611
埼玉県,神川町,6-6,神川町二ノ宮６５８－１,金鑽公民館,36.1844748,139.0773484
埼玉県,神川町,6-7,神川町二ノ宮４６－１,萩平公民館,36.1960169,139.0850172
埼玉県,神川町,7-1,神川町新里１８２８－２,光明寺東,36.2031111,139.096125
埼玉県,神川町,7-2,神川町新里１１１６－２,旧新里下集乳所,36.2024369,139.101989
埼玉県,神川町,7-3,神川町新里１７３６,民家前,36.2026369,139.0984805
埼玉県,神川町,7-4,神川町新里２２４１－１,ミカミ建設東公園前,36.1948324,139.099933
埼玉県,神川町,7-5,神川町新里２７９０－１,青柳保育所南（保育所駐車場）,36.1952956,139.092852
埼玉県,神川町,7-6,神川町中新里７４－３,中新里集落センター,36.2084299,139.0920478
埼玉県,神川町,7-7,神川町中新里５８９－１,民家前,36.2075648,139.1044173
埼玉県,神川町,7-8,神川町新里３８４－１,消防署県道反対,36.2051594,139.0901788
埼玉県,神川町,7-9,神川町新里１２２５－１,赤羽二本松,36.2000661,139.1075505
埼玉県,神川町,8-1,神川町渡瀬２２２,朝日工業バス停留所前,36.1786039,139.0605986
埼玉県,神川町,8-2,神川町渡瀬５１６,渡瀬本宿バス停横,36.1754896,139.0597608
埼玉県,神川町,8-3,神川町渡瀬５４０－１,旧消防第１分団車庫横（渡瀬小）,36.1739107,139.0596056
埼玉県,神川町,8-4,神川町渡瀬４６３－１５,消防第１分団車庫前,36.175658,139.0611936
埼玉県,神川町,8-5,神川町渡瀬６０６,民家前,36.1720016,139.0596628
埼玉県,神川町,8-6,神川町渡瀬６３７,日本マイカ第二工場,36.1719027,139.0617746
埼玉県,神川町,8-7,神川町渡瀬８１３,民家南,36.1691673,139.060013
埼玉県,神川町,9-1,神川町下阿久原７０－１,道のオアシス神泉,36.1547106,139.0624291
埼玉県,神川町,9-2,神川町下阿久原３００－１,民家,36.1489649,139.0622206
埼玉県,神川町,9-3,神川町下阿久原５９１－６,旧埼玉ひびきの農協神泉支店横,36.1503975,139.0577971
埼玉県,神川町,9-4,神川町下阿久原２１８－５５,桜城団地入り口,36.1500034,139.0647866
埼玉県,神川町,9-5,神川町下阿久原１０４０－２,中居ポケット広場内,36.1497655,139.0520965
埼玉県,神川町,9-6,神川町上阿久原１４１－１,寺内バス停前,36.147114,139.0440927
埼玉県,神川町,9-7,神川町上阿久原３４８－８,民家裏,36.1449854,139.0486447
埼玉県,神川町,9-8,神川町上阿久原６０７－１,特養いずみ東交差点,36.1462628,139.0548182
埼玉県,神川町,9-9,神川町上阿久原１３７７－１,住居野掲示板横,36.1267046,139.0481462
埼玉県,神川町,10-1,神川町矢納４７－３,手津久入り口,36.1237092,139.034348
埼玉県,神川町,10-2,神川町矢納２９３－４,鳥羽バス待合所横,36.1206223,139.0284568
埼玉県,神川町,10-3,神川町矢納６２５－３,高牛農道入り口,36.1161741,139.0318284
埼玉県,神川町,10-4,神川町矢納７２３－２,浜の谷バス停横,36.1145035,139.0340734
埼玉県,神川町,10-5,神川町矢納１０７２－４,満所農道入り口,36.1170647,139.0215501
埼玉県,神川町,10-6,神川町矢納１１４９,宮本バス停横,36.1175543,139.0207455
