prefecture,city,number,address,name,lat,long,note
埼玉県,草加市,1-1,瀬崎6-16,瀬崎氷川公園南側[野立て],35.8109807664216,139.81476915696,
埼玉県,草加市,1-2,瀬崎5-35,旧・瀬崎児童遊園西側(駐車場フェンス)[フェンス],35.8138407087578,139.812229534837,
埼玉県,草加市,1-3,瀬崎6-2-3,㈱カナイグル-プ駐車場西側[フェンス],35.8110724163007,139.809892073027,
埼玉県,草加市,1-4,瀬崎6-4,瀬崎山王公園西側[野立て],35.810997236871,139.811068339459,
埼玉県,草加市,1-5,瀬崎7-9,瀬崎新田公園北側[野立て],35.8091515362626,139.813178305227,
埼玉県,草加市,1-6,瀬崎6-31-1,草加市スポ-ツ健康都市記念体育館南側(河川課)[フェンス],35.8121813340584,139.81976419318,
埼玉県,草加市,1-7,瀬崎6-26-1,東京ガス㈱供給ｾﾝﾀｰ草加西側[フェンス],35.8123395795008,139.816380546913,
埼玉県,草加市,2-1,瀬崎2-37-3,谷塚幼稚園(善福寺)駐車場[フェンス],35.8132091997167,139.803275133875,
埼玉県,草加市,2-2,瀬崎3-3,浅間神社東南側[フェンス],35.8125034210429,139.804451767358,
埼玉県,草加市,2-3,瀬崎3-29,瀬崎浅間公園北側[野立て],35.8116639158835,139.80478925138,
埼玉県,草加市,2-4,谷塚1-1-20,谷塚駅東口交番横[フェンス],35.8143978795883,139.801761016371,
埼玉県,草加市,2-5,瀬崎4-13,瀬崎角田公園北西側[野立て],35.8099318265657,139.807084010507,
埼玉県,草加市,2-6,瀬崎3-45-6,㈲サンセットガァ-ド南側[フェンス],35.8101696293247,139.808571091404,
埼玉県,草加市,2-7,瀬崎4-15-19,アトムリビングテック㈱北側[フェンス],35.8100284339365,139.809820969213,
埼玉県,草加市,3-1,谷塚町573,谷塚駅西口入口際[フェンス],35.814546466707,139.801063245352,
埼玉県,草加市,3-2,谷塚町705-6,谷塚園グリ-ンゴルフ場第2駐車場東側[フェンス],35.8164260394306,139.799485279519,
埼玉県,草加市,3-3,谷塚町752,市民交流活動センタ-駐車場際[フェンス],35.8158985704054,139.797232345642,
埼玉県,草加市,3-4,谷塚町880,谷塚第2児童遊園西側[フェンス],35.8088185988416,139.796407241882,
埼玉県,草加市,3-5,谷塚町1058,やつか保育園北側[フェンス],35.8122805786409,139.796748922583,
埼玉県,草加市,3-6,谷塚町1239,masked,35.8148733489198,139.79689486162,
埼玉県,草加市,3-7,谷塚仲町440,谷塚小学校北東側[フェンス],35.816069440653,139.795170956751,
埼玉県,草加市,3-8,谷塚仲町440,谷塚小学校南側[フェンス],35.8150145026026,139.79477874559,
埼玉県,草加市,4-1,谷塚仲町字蜻蛉162-1ほか,谷塚仲桃の木公園東側[フェンス],35.8093980430378,139.791477848914,
埼玉県,草加市,4-2,谷塚上町70-4,masked,35.8065675674848,139.791186005659,
埼玉県,草加市,4-3,谷塚上町124-5,横手堀ポンプ場北西道路際(水路フェンス)[フェンス],35.8069320954345,139.788294645256,
埼玉県,草加市,4-4,谷塚上町199,やつかかみ保育園北側[フェンス],35.8113888608657,139.788477024415,
埼玉県,草加市,4-5,谷塚上町234,谷塚上町会館東側[フェンス],35.8107956069593,139.789010959733,
埼玉県,草加市,4-6,谷塚上町499,谷塚浄水場際[フェンス],35.8131122118863,139.789092942316,
埼玉県,草加市,4-7,谷塚上町96-1,谷塚上町みなみ公園北側[野立て],35.8062412967927,139.789288611669,
埼玉県,草加市,5-1,氷川町448,氷川小学校正門際[フェンス],35.8214036615818,139.794988355956,
埼玉県,草加市,5-2,氷川町448,氷川小学校南側[フェンス],35.8204230006877,139.795699851208,
埼玉県,草加市,5-3,谷塚町1674-4付近,谷塚みどりポケットパ-ク東側[フェンス],35.8198112834912,139.798591908357,
埼玉県,草加市,5-4,谷塚町1330,masked,35.8172988197802,139.799094345893,
埼玉県,草加市,5-5,谷塚町1364-2,谷塚高架下公園西側(高架下フェンス)[フェンス],35.8186562053173,139.802325662474,
埼玉県,草加市,5-6,氷川町1800-1,氷川第2児童遊園南側(ひかわ保育園東側フェンス)[フェンス],35.8208241801444,139.799485370816,
埼玉県,草加市,5-7,谷塚町1874,masked,35.818595405385,139.79458699966,
埼玉県,草加市,6-1,柳島町743-1,柳島コミュニティセンタ-入口際[野立て],35.8182167715817,139.784562337522,
埼玉県,草加市,6-2,遊馬町813-1,唐沢製作所入口右側[フェンス],35.8218913849829,139.783121800786,
埼玉県,草加市,6-3,柳島町743-1,柳島コミュニティセンタ-駐車場側,35.8180692446734,139.784078246645,
埼玉県,草加市,6-4,新里町759,新里小学校南側[フェンス],35.8177019844839,139.783169598564,
埼玉県,草加市,6-5,新里町759,新里小学校北側[フェンス],35.8189422981246,139.782722734826,
埼玉県,草加市,6-6,新里町759,新里小学校正門際[フェンス],35.817701984599,139.782430989094,
埼玉県,草加市,6-7,遊馬町1018,石井貿易第一配送センタ-北側(水路フェンス)[フェンス],35.8200718325937,139.77849057585,
埼玉県,草加市,7-1,新里町983,新里文化センタ-[野立て],35.8165210874199,139.776905014291,
埼玉県,草加市,7-2,遊馬町2-9ほか,遊馬第7公園南東側[フェンス],35.8180954256833,139.770722771058,
埼玉県,草加市,7-3,新里町字河内通611-1ほか,新里町ふれあい公園東側[フェンス],35.8152510659255,139.781728843781,
埼玉県,草加市,7-4,新里町1316,masked,35.8148004473514,139.779433741985,
埼玉県,草加市,7-5,新里町1355,㈱菊池襖紙工場南側[ブロック],35.8136701335735,139.777888666993,
埼玉県,草加市,7-6,遊馬町421,日理(株)東京流通センタ-入口[フェンス],35.8189914506517,139.775588801596,
埼玉県,草加市,7-7,遊馬町1110-2,遊馬第5公園内[野立て],35.8185938701949,139.777947216761,
埼玉県,草加市,8-1,吉町2-7-28,masked,35.8231805849105,139.812581411854,
埼玉県,草加市,8-2,吉町3-2-47,masked,35.8199715494298,139.806404289596,
埼玉県,草加市,8-3,吉町3-2-52,masked,35.8206775250834,139.805683458404,
埼玉県,草加市,8-4,吉町3-7-25,吉町どんぐり児童遊園東側[野立て],35.8219259927175,139.811299047121,
埼玉県,草加市,8-5,吉町3-9-24,吉町集会所北側[フェンス],35.8211457037898,139.811563654831,
埼玉県,草加市,8-6,吉町4-10-45,草加市吉町浄水場西側［フェンス］,35.8195185760972,139.811551556882,
埼玉県,草加市,8-7,吉町3-9,草加吉町公園南側[野立て],35.8209717841432,139.812603290236,
埼玉県,草加市,9-1,吉町5-3-12,masked,35.8206849564061,139.804333040476,
埼玉県,草加市,9-2,吉町5-4-5,masked,35.8198452169444,139.805090369449,
埼玉県,草加市,9-3,吉町5-6,草加市防災備蓄倉庫東側(高架下フェンス)[フェンス],35.8182103259571,139.802654142511,
埼玉県,草加市,9-4,吉町5-7,草加南ﾐﾆｺﾐｭﾆﾃｨｾﾝﾀｰ東側(高架下フェンス)[フェンス],35.8197709037178,139.802854880311,
