prefecture,city,number,address,name,lat,long,note
大阪府,枚方市,1-1,大垣内町２丁目1,市役所別館西側入口,34.8145392,135.6510705,
大阪府,枚方市,1-2,大垣内町２丁目5,市役所本館南側駐車場,34.8140865,135.6511444,
大阪府,枚方市,1-3,岡東町14,市営岡東町自動車駐車場,34.8136699,135.6482631,
大阪府,枚方市,1-4,岡東町8,第３分館駐車場前,34.8153733,135.6510705,
大阪府,枚方市,1-5,岡東町8,公用車駐車場,34.8153733,135.6510705,
大阪府,枚方市,1-6,岡東町7,ニッペパーク岡東中央西側,34.814689,135.6501839,
大阪府,枚方市,1-7,大垣内町２丁目12,商工会議所前,34.8124432,135.651957,
大阪府,枚方市,2-1,東田宮１丁目7,大阪体操クラブ前,34.808529,135.6537302,
大阪府,枚方市,2-2,東田宮１丁目2,枚方保育所,34.8103544,135.6522526,
大阪府,枚方市,2-3,朝日丘町2,枚方市役所分室,34.8104306,135.6511767,
大阪府,枚方市,2-4,朝日丘町17,サンメゾン枚方ヒルズアイ南端,34.8102696,135.6478198,
大阪府,枚方市,2-5,田宮本町11,枚方第二小学校正門,34.8071823,135.6501839,
大阪府,枚方市,2-6,田宮本町11,枚方第二小学校裏門,34.8071823,135.6501839,
大阪府,枚方市,2-7,西田宮町12,枚方中学校正門,34.80593530000001,135.6470072,
大阪府,枚方市,3-1,枚方上之町12,枚方上之町小規模公園354,34.8086875,135.6436091,
大阪府,枚方市,3-2,伊加賀北町7,プラネ枚方公園前,34.8090227,135.6417625,
大阪府,枚方市,3-3,岡山手町11,坊主池公園,34.8086944,135.6458991,
大阪府,枚方市,3-4,高塚町25,高塚町中央公園,34.8054791,135.6436437,
大阪府,枚方市,3-5,枚方上之町11,府営枚方上之町住宅,34.8089227,135.644274,
大阪府,枚方市,3-6,枚方元町4,枚方元町小規模公園243,34.8120736,135.6423534,
大阪府,枚方市,3-7,高塚町16,鷹塚山配水場前,34.806235,135.6452343,
大阪府,枚方市,3-8,枚方上之町11,枚方幼稚園,34.8089227,135.644274,
大阪府,枚方市,4-1,伊加賀本町1,伊原接骨鍼灸院(伊加賀本町1-2)前,34.8093509,135.6376262,
大阪府,枚方市,4-2,桜町4,小桜橋,34.8108406,135.635115,
大阪府,枚方市,4-3,伊加賀本町12,恩地食品(株)北東駐車場,34.809335,135.6342756,
大阪府,枚方市,4-4,堤町7,伊加賀公園入口（枚方公園青少年ｾﾝﾀー近辺）,34.8114001,135.6377,
大阪府,枚方市,4-5,新町１丁目13,枚方壱番館前,34.8158728,135.644274,
大阪府,枚方市,4-6,三矢町6,三矢公園,34.8147894,135.6419102,
大阪府,枚方市,4-7,堤町3,枚方公園駅前（京都方面）ロータリー,34.8116603,135.6391772,
大阪府,枚方市,5-1,伊加賀南町10,菊丘公園向かい,34.8061785,135.6413193,
大阪府,枚方市,5-2,伊加賀寿町17,よつ葉ホームクリニック横,34.8083245,135.6362967,
大阪府,枚方市,5-3,伊加賀緑町3,(株)大気社（ｻﾝｴｽ工業）枚方工場東側,34.8071841,135.6328994,
大阪府,枚方市,5-4,伊加賀東町3,枚方公園駅前（大阪方面）ロータリー,34.8111007,135.6394727,
大阪府,枚方市,5-5,伊加賀南町2,青島歯科クリニック前,34.8097365,135.6386693,
大阪府,枚方市,5-6,菊丘町9,国道１号線高架下,34.8032413,135.6427966,
大阪府,枚方市,5-7,伊加賀南町10,おおさかパルコープ枚方公園店向かい,34.8061785,135.6413193,
大阪府,枚方市,6-1,伊加賀西町47,大寿会病院西側水路,34.8041688,135.6235949,
大阪府,枚方市,6-2,伊加賀栄町9,伊加賀栄公園,34.80594019999999,135.6351889,
大阪府,枚方市,6-3,伊加賀西町53,伊加賀小学校正門,34.8050456,135.6258101,
大阪府,枚方市,6-4,伊加賀西町53,伊加賀小学校裏門,34.8050456,135.6258101,
大阪府,枚方市,6-5,出口１丁目3,出口ふれあい公園,34.8030143,135.6271393,
大阪府,枚方市,6-6,伊加賀西町65,読売新聞販売店南側向い,34.8060079,135.6281362,
大阪府,枚方市,6-7,伊加賀西町1,伊加賀西郵便局南側向い（歩道橋ﾌｪﾝｽ）,34.8071729,135.6237057,緯度経度は怪しい
大阪府,枚方市,6-8,出口２丁目10,理髪店前,34.8023584,135.6238903,
大阪府,枚方市,7-1,出口３丁目6,ローソン（友田ビル）前,34.7992579,135.6274346,
大阪府,枚方市,7-2,出口３丁目1,出口３丁目第２小規模公園106(光善寺ｽｶｲﾊｲﾂ前),34.8008403,135.6287639,
大阪府,枚方市,7-3,出口３丁目22,出口３丁目22-1向い,34.7999957,135.6267701,
大阪府,枚方市,7-4,出口３丁目43,シャーメゾンパルＡ,34.80041260000001,135.6238903,
大阪府,枚方市,7-5,出口５丁目40,さだ中学校裏門,34.7956227,135.6234473,
大阪府,枚方市,7-6,出口６丁目1,出口西公園東側川沿い,34.8014958,135.6204939,
大阪府,枚方市,7-7,出口６丁目8,シティアーク枚方前,34.79889780000001,135.6198294,
大阪府,枚方市,7-8,出口４丁目5,枚方淀川公園スカイハイツ向い,34.8018665,135.6214537,
大阪府,枚方市,8-1,北中振３丁目19,枚方警察さだ交番前,34.7989941,135.6291331,
大阪府,枚方市,8-2,北中振３丁目27,蹉?生涯学習市民センター前,34.7973244,135.6286131,
大阪府,枚方市,8-3,北中振３丁目28,レジデンス藤前,34.7971122,135.6295762,
大阪府,枚方市,8-4,北中振３丁目39,南中振2丁目76-10近辺,34.7954635,135.6290098,
大阪府,枚方市,8-5,北中振３丁目43,ハイブリッジビル南約100m,34.7959504,135.6279516,
大阪府,枚方市,8-6,走谷２丁目8,伊加賀栄町19ー9近辺,34.8041635,135.634118,
大阪府,枚方市,8-7,走谷２丁目25,走谷公園,34.8013818,135.6328255,
大阪府,枚方市,9-1,北中振１丁目37,ファミールハイツ近辺,34.7983521,135.6347827,
大阪府,枚方市,9-2,北中振１丁目7,マサミ薬局東入る約100ｍ駐車場向い,34.7998849,135.6330471,
