prefecture,city,number,address,name,lat,long,note
大阪府,熊取町,1-1,高田四丁目,,34.3760055,135.3772425,
大阪府,熊取町,1-2,高田二丁目,,34.3820048,135.3767263,
大阪府,熊取町,1-3,小谷南四丁目,,34.3904923,135.3735155,
大阪府,熊取町,1-4,小谷南三丁目,,34.3941898,135.3761226,
大阪府,熊取町,1-5,小谷枚方富田林泉佐野線,,34.395323,135.3770668,
大阪府,熊取町,1-6,小谷北一丁目,,34.3950131,135.3735102,
大阪府,熊取町,1-7,久保一丁目,,34.394843,135.3690619,
大阪府,熊取町,1-8,つばさが丘北一丁目,,34.3844584,135.371005,
大阪府,熊取町,2-1,大宮一丁目枚方富田林泉佐野線,,34.3985607,135.3600584,
大阪府,熊取町,2-2,小垣内二丁目,,34.3979858,135.3629256,
大阪府,熊取町,2-3,小垣内三丁目,,34.3996009,135.3656004,
大阪府,熊取町,2-4,七山東,,34.4087568,135.363476,
大阪府,熊取町,2-5,大宮一丁目枚方富田林泉佐野線,,34.3981722,135.3685471,
大阪府,熊取町,2-6,大宮二丁目,,34.3965212,135.3666619,
大阪府,熊取町,2-7,大宮三丁目,,34.3953921,135.3626194,
大阪府,熊取町,2-8,五月ヶ丘一丁目,,34.3991371,135.3704407,
大阪府,熊取町,3-1,七山東,,34.4134243,135.361881,
大阪府,熊取町,3-2,七山二丁目,,34.4143271,135.3610764,
大阪府,熊取町,3-3,七山三丁目,,34.4161687,135.3583558,
大阪府,熊取町,3-4,七山二丁目,,34.4153367,135.3573687,
大阪府,熊取町,3-5,七山南,,34.4138763,135.356725,
大阪府,熊取町,3-6,七山南,,34.411274,135.3568537,
大阪府,熊取町,4-1,朝代東二丁目泉佐野打田線,,34.3828223,135.3543796,
大阪府,熊取町,4-2,大久保東二丁目泉佐野打田線,,34.3879183,135.3503,
大阪府,熊取町,4-3,朝代東二丁目,,34.3854462,135.3533979,
大阪府,熊取町,4-4,和田五丁目,,34.3865441,135.3598746,
大阪府,熊取町,4-5,和田五丁目,,34.3857207,135.3617628,
大阪府,熊取町,4-6,五門,,34.3776948,135.3593224,
大阪府,熊取町,4-7,朝代西四丁目,,34.38033,135.3527594,
大阪府,熊取町,5-1,五門東三丁目,,34.3954678,135.3541343,
大阪府,熊取町,5-2,五門東三丁目,,34.3961141,135.3532438,
大阪府,熊取町,5-3,五門東四丁目,,34.3964551,135.3506026,
大阪府,熊取町,5-4,五門西二丁目枚方富田林泉佐野線,,34.4004418,135.3483608,
大阪府,熊取町,5-5,五門西三丁目,,34.3975194,135.3492919,
大阪府,熊取町,5-6,五門西二丁目枚方富田林泉佐野線,,34.3998862,135.3473265,
大阪府,熊取町,5-7,五門東四丁目,,34.3935179,135.348219,
大阪府,熊取町,6-1,大久保北二丁目,,34.4098071,135.3473869,
大阪府,熊取町,6-2,大久保北三丁目,,34.4076158,135.3461293,
大阪府,熊取町,6-3,大久保中二丁目泉佐野熊取線,,34.404254,135.3447717,
大阪府,熊取町,6-5,大久保中一丁目熊取停車場線,,34.4061129,135.3416603,
大阪府,熊取町,6-6,大久保西泉佐野打田線,,34.4037703,135.3407657,
大阪府,熊取町,6-7,大久保中三丁目泉佐野打田線,,34.401991,135.3428847,
大阪府,熊取町,6-8,大久保西,,34.4040093,135.3386253,
大阪府,熊取町,7-1,五門東二丁目,,34.397792,135.3560136,
大阪府,熊取町,7-2,野田一丁目枚方富田林泉佐野線,,34.3994563,135.3560457,
大阪府,熊取町,7-3,野田二丁目,,34.4009581,135.3557242,
大阪府,熊取町,7-4,野田二丁目,,34.4012945,135.3527845,
大阪府,熊取町,7-5,野田三丁目,,34.4021548,135.3568987,
大阪府,熊取町,7-6,野田三丁目,,34.4023656,135.3538252,
大阪府,熊取町,7-7,桜が丘一丁目,,34.4057263,135.3506352,
大阪府,熊取町,7-8,紺屋一丁目,,34.4016132,135.3487934,
大阪府,熊取町,8-1,五門西二丁目枚方富田林泉佐野線,,34.4014407,135.3461662,
大阪府,熊取町,8-2,大久保中四丁目,,34.4004821,135.3429905,
大阪府,熊取町,8-3,大久保東二丁目（旧）泉佐野打田線,,34.3977747,135.3453615,
大阪府,熊取町,8-4,大久保南四丁目,,34.3943991,135.3421768,
