prefecture,city,number,address,name,lat,long
宮城県,利府町,第１投票区（１－１）,利府町中央三丁目６－１,八幡神社境内　東側　（フェンス）,38.329795,140.9792231
宮城県,利府町,第１投票区（１－２）,利府町加瀬字台城７６－１０,masked,38.3164141,140.9839522
宮城県,利府町,第１投票区（１－３）,利府町中央２丁目４,利府駅前２号公園（公民館側フェンス）,38.3296746,140.9814431
宮城県,利府町,第１投票区（１－４）,利府町森郷字町頭１７,森郷児童遊園　　（フェンス）,38.33316,140.9884671
宮城県,利府町,第１投票区（１－５）,利府町加瀬字新町頭１３他,新中道２号公園　北側（フェンス）,38.322966,140.9767871
宮城県,利府町,第１投票区（１－６）,利府町中央三丁目１８－１,利府駅前一号公園　南側　（フェンス）,38.327758,140.9774814
宮城県,利府町,第１投票区（１－７）,利府町中央一丁目５－２,利府駅前りふレ横丁　西側（フェンス）,38.3296676,140.9847506
宮城県,利府町,第１投票区（１－８）,利府町森郷字新椎の木前３１－１,リフノス　北側　（野立て）,38.3340625,140.9851379
宮城県,利府町,第１投票区（１－９）,利府町森郷字藤田９－５,masked,38.336602,140.9961099
宮城県,利府町,第２投票区（２－１）,利府町赤沼字大日向１１３－１,コンビニエンスストア駐車場内　北側土手（野立て）,38.3574286,141.017678
宮城県,利府町,第２投票区（２－２）,利府町赤沼字明ケ沢３５－１,行屋下バス停　付近　（野立て）,38.3648754,141.0336784
宮城県,利府町,第２投票区（２－３）,利府町赤沼字砂押１８－１,赤沼児童遊園　前　（フェンス）,38.3638508,141.0298152
宮城県,利府町,第２投票区（２－４）,利府町赤沼字中倉３２－４４,須賀避難施設　南側　（野立て）,38.3414827,141.0360352
宮城県,利府町,第２投票区（２－５）,利府町赤沼字須賀１２７,須賀漁港内公園（ちびっこ広場12）　北側（野立て）,38.3420966,141.0268031
宮城県,利府町,第３投票所（３－１）,利府町菅谷字産野原３６－２,事業所事務所（塗装店）前　（フェンス）,38.3198594,140.9618577
宮城県,利府町,第３投票所（３－２）,利府町菅谷字西天神１－１,ちびっこ広場１５　正門　（フェンス）,38.3198349,140.9560285
宮城県,利府町,第３投票所（３－３）,利府町菅谷字東浦３０－１,利府街道アパート　北東側畑（野立て）,38.3193482,140.962889
宮城県,利府町,第３投票所（３－４）,利府町菅谷字赤坂地内,菅谷元ゲートボール場　（フェンス）,38.3195416,140.9601096
宮城県,利府町,第３投票所（３－５）,利府町菅谷字新洞風１７,利府西中学校　（フェンス）,38.3228174,140.9597169
宮城県,利府町,第３投票所（３－６）,利府町菅谷字西天神１０２,西天神公園（ちびっこ広場11）　西側（フェンス）,38.3183523,140.9575336
宮城県,利府町,第４投票区（４－１）,利府町赤沼字浜田４３－１,masked,38.3498502,141.0391469
宮城県,利府町,第４投票区（４－２）,利府町赤沼字浜田地内,浜田駅　前ロータリー　（野立て）,38.3485871,141.0389247
宮城県,利府町,第５投票区（５－１）,利府町加瀬字郷楽３６－１,masked,38.3270803,140.9966791
宮城県,利府町,第５投票区（５－２）,利府町加瀬字十三塚６０－４,十三塚バス停付近　（フェンス）,38.3233687,140.993699
宮城県,利府町,第５投票区（５－３）,利府町加瀬字十三本塚１６３,四季の丘１号公園　南側　（フェンス）,38.31931549999999,140.9967898
宮城県,利府町,第５投票区（５－４）,利府町加瀬字野中沢７４－４,ちびっこ広場１０　（フェンス）,38.3241436,140.9990487
宮城県,利府町,第５投票区（５－５）,利府町加瀬字十三本塚153-2,十三塚遺跡付近　（野立て）,38.3208988,140.9955288
宮城県,利府町,第５投票区（５－６）,利府町加瀬字郷楽２３－２,事業所事務所　東側（野立て）,38.3258663,140.9957691
宮城県,利府町,第５投票区（５－７）,利府町加瀬字南野中沢１－４,牛乳販売店　北側畑　（野立て）,38.3231933,140.9965599
宮城県,利府町,第６投票区（６－１）,利府町神谷沢字塚元５８－１他,ちびっこ広場２８　西側　（フェンス）,38.3145664,140.9543805
宮城県,利府町,第６投票区（６－２）,利府町神谷沢字後沢３１－１,利府第二小学校　校門付近（フェンス）,38.3178893,140.9528015
宮城県,利府町,第６投票区（６－３）,利府町神谷沢字南沢３６－２,南沢児童遊園　（フェンス）,38.311105,140.945854
宮城県,利府町,第６投票区（６－４）,利府町神谷沢字後沢４７－１６,事業所事務所　北側　（フェンス）,38.3172142,140.9559338
宮城県,利府町,第６投票区（６－５）,利府町神谷沢字館ノ内６９－１,理容店向い空地　西側　（野立て）,38.3116604,140.9547529
宮城県,利府町,第６投票区（６－６）,利府町神谷沢字化粧坂１０－７,化粧坂児童遊園　（フェンス）,38.3112909,140.9559266
宮城県,利府町,第６投票区（６－７）,利府町神谷沢字長田２９－１,神谷沢団地入口付近　（フェンス）,38.3143027,140.9519166
宮城県,利府町,第７投票区（７－１）,利府町春日字金生１０,masked,38.346477,141.000191
宮城県,利府町,第７投票区（７－２）,利府町春日字新堀１４－１,資材置き場　西側　（野立て）,38.3446898,140.9974217
宮城県,利府町,第７投票区（７－３）,利府町春日字小橋元３４,masked,38.3520757,141.0136258
宮城県,利府町,第８投票区（８－１）,利府町沢乙字深山５,沢乙公民館　前　（野立て）,38.3296913,140.963871
宮城県,利府町,第８投票区（８－２）,利府町沢乙字欠下北２－１,榎川砂防公園　北側　（フェンス）,38.3422172,140.955082
