prefecture,city,number,address,name,lat,long
愛媛県,東温市,1-1,山之内2092番地,藤之内バス停横,33.86277201,132.9187882
愛媛県,東温市,1-2,山之内1778番地,神子野バス停前,33.86159602,132.9092717
愛媛県,東温市,1-3,山之内581番地,旧荒木谷ポンプ蔵置所前,33.84396314,132.8982961
愛媛県,東温市,1-4,山之内2番地7,井口集会所前道路沿,33.82072032,132.90034
愛媛県,東温市,1-5,樋口500番地,石丸商店西側道路沿,33.80639093,132.8886455
愛媛県,東温市,1-6,樋口764番地,樋口集会所東側,33.80944421,132.8878891
愛媛県,東温市,1-7,横河原185番地1,伊予鉄道横河原駅舎東側,33.80338658,132.8844291
愛媛県,東温市,1-8,横河原181番地,双葉保育所入口東側,33.804287,132.8824818
愛媛県,東温市,1-9,志津川695番地4,志津川集会所西側,33.80331526,132.8739578
愛媛県,東温市,1-10,志津川170番地,masked,33.80418894,132.8795528
愛媛県,東温市,2-11,西岡131番地,西岡バス停東側,33.80340887,132.8659219
愛媛県,東温市,2-12,西岡880番地,ハリマ塚バス停東側,33.80274469,132.8578913
愛媛県,東温市,2-13,西岡102番地,JAえひめ中央北吉井経済センター集荷場前,33.80494672,132.8702778
愛媛県,東温市,3-14,見奈良997番地,見奈良公民館東側,33.79109617,132.8749663
愛媛県,東温市,3-15,見奈良530番地1,市役所前,33.79126558,132.871694
愛媛県,東温市,3-16,田窪2277番地,田窪団地公園南側,33.79565234,132.8656805
愛媛県,東温市,3-17,志津川1659番地1,八反地集会所南側,33.79763612,132.8673917
愛媛県,東温市,3-18,志津川972番地,旧重信町役場跡地東側,33.79640574,132.8748322
愛媛県,東温市,3-19,志津川991番地,重信中学校北門前,33.7961338,132.8721178
愛媛県,東温市,3-20,志津川454番地,重信歯科医院東側,33.80302997,132.8771013
愛媛県,東温市,4-21,田窪1347番地,田窪集荷場南側,33.79024911,132.8603911
愛媛県,東温市,4-22,田窪1410番地,宇氣洲神社南側,33.79154645,132.8608364
愛媛県,東温市,4-23,田窪3007番地1,田窪水木公園南側,33.79399396,132.8641999
愛媛県,東温市,4-24,牛渕1395番地,JAえひめ中央重信支所農業倉庫南側,33.79429711,132.8547102
愛媛県,東温市,4-25,牛渕718番地,浮嶋神社前交差点北側,33.79056564,132.8507245
愛媛県,東温市,4-26,牛渕630番地,牛渕集会所東側,33.79259858,132.8500807
愛媛県,東温市,5-27,西岡599番地22,播磨台団地公民館西側,33.79955298,132.8495979
愛媛県,東温市,5-28,牛渕1957番地1,県営牛渕団地第3棟南側,33.79692286,132.8453761
愛媛県,東温市,5-29,牛渕1855番地2,上樋集会所北側道路,33.79790359,132.8491259
愛媛県,東温市,5-30,野田1丁目988番地14,県営牛渕団地第13棟西側,33.79619176,132.8431499
愛媛県,東温市,5-31,野田1丁目19番地,ゆるぎ公園北側,33.79413216,132.8400815
愛媛県,東温市,6-32,北野田72番地5,御旅所前,33.79136366,132.8397489
愛媛県,東温市,6-33,南野田234番地2,南野田中組集会所北側,33.7893842,132.8395933
愛媛県,東温市,6-34,南野田375番地15,カトーレック株式会社松山支店西側道路,33.78653084,132.8359991
愛媛県,東温市,6-35,北野田825番地1,アヴァンセY東側,33.79771636,132.8302646
愛媛県,東温市,6-36,野田3丁目3番地,てんじん公園南側,33.79487219,132.8343791
愛媛県,東温市,7-37,下林甲2809番地3,宮ノ段バス停東側,33.77541967,132.8574085
愛媛県,東温市,7-38,下林甲2755番地,西ノ谷公民館北側,33.77558465,132.8536963
愛媛県,東温市,7-39,上村甲298番地,上村バス停横,33.7748935,132.8482944
愛媛県,東温市,7-40,上村甲537番地,上村集会所北側,33.7745011,132.8465402
愛媛県,東温市,8-41,下林甲243番地,masked,33.77220465,132.8839463
愛媛県,東温市,8-42,下林甲553番地,横根集会所北側,33.77893777,132.8818542
愛媛県,東温市,8-43,下林甲1066番地,旧助兼集会所前,33.78263853,132.8783083
愛媛県,東温市,8-44,下林甲1345番地,拝志農協前バス停横,33.78202769,132.8756529
愛媛県,東温市,8-45,下林甲1585番地,拝志小学校南側県道沿,33.77868807,132.8710395
