prefecture,city,number,address,name,lat,long,note
愛知県,阿久比町,1,阿久比町大字横松字東側1,個人所有地,34.914028,136.935074,
愛知県,阿久比町,2,阿久比町大字横松字西側20-3,横松遊園地西フェンス,34.915291,136.930984,
愛知県,阿久比町,3,阿久比町大字萩字曽根17,masked,34.921963,136.928513,
愛知県,阿久比町,4,阿久比町大字萩字曽根7-18,萩老人憩の家,34.923058,136.92804,
愛知県,阿久比町,5,阿久比町大字宮津字宮平柴15-2,東部小学校西フェンス,34.924316,136.927185,
愛知県,阿久比町,6,阿久比町大字宮津1丁目44,いたちだ公園西フェンス,34.929798,136.926773,
愛知県,阿久比町,7,阿久比町大字宮津4丁目90,さるこ公園西フェンス,34.933212,136.925644,
愛知県,阿久比町,8,阿久比町大字卯坂字小谷117,調整池西フェンス,34.935997,136.922653,
愛知県,阿久比町,9,阿久比町大字宮津字新海山1-15,宮津団地20号棟東斜面,34.934761,136.92421,
愛知県,阿久比町,10,阿久比町大字宮津字小廻間1-48,宮津団地老人憩の家東斜面,34.937195,136.925644,
愛知県,阿久比町,11,阿久比町陽なたの丘1-9,宮津保育園南フェンス,34.937019,136.929092,
愛知県,阿久比町,12,阿久比町大字宮津字小廻間1-133,小廻間池南フェンス,34.937195,136.925644,
愛知県,阿久比町,13,阿久比町大字宮津字山田256,宮津山田中央公園北フェンス,34.93494,136.929398,
愛知県,阿久比町,14,阿久比町大字宮津字山田1-29,宮津山田中央公園南フェンス,34.933617,136.927856,
愛知県,阿久比町,15,阿久比町陽なたの丘三丁目4,陽なたの丘南公園北フェンス,34.935959,136.931732,
愛知県,阿久比町,16,阿久比町陽なたの丘二丁目104,陽なたの丘集会所南フェンス,34.937454,136.931229,
愛知県,阿久比町,17,阿久比町陽なたの丘三丁目42,陽なたの丘三丁目調整池東フェンス,34.935959,136.931732,
愛知県,阿久比町,18,阿久比町陽なたの丘九丁目5-8,ゴミステーション横,34.933292,136.935913,
愛知県,阿久比町,19,阿久比町陽なたの丘三丁目127,陽なたの丘3丁目ガードパイプ,34.935959,136.931732,
愛知県,阿久比町,20,阿久比町陽なたの丘七丁目13,陽なたの丘東公園南フェンス,34.935833,136.937256,
愛知県,阿久比町,21,阿久比町陽なたの丘六丁目3,陽なたの丘6丁目ガードパイプ,34.934616,136.934845,
愛知県,阿久比町,22,阿久比町大字卯坂字猿田55-14,南風公園西斜面,34.939774,136.923721,
愛知県,阿久比町,23,阿久比町大字卯坂字大平20-1,英比保育園南フェンス,34.932529,136.923416,
