prefecture,city,number,address,name,lat,long
東京都,足立区,01-01,足立区千住関屋町16-1,千寿第八小学校(東側),35.742351,139.8057944
東京都,足立区,01-02,足立区千住関屋町17,関屋公園(西側),35.7417158,139.8070732
東京都,足立区,01-03,足立区千住東1-1,千住東一丁目児童遊園,35.7435176,139.803157
東京都,足立区,01-04,足立区千住東1-25-3,東武鉄道(株)浅草電気信号区北千住分区,35.7443795,139.8063174
東京都,足立区,01-05,足立区千住関屋町17,関屋公園(東側),35.7417158,139.8070732
東京都,足立区,01-06,足立区千住曙町42-4,日本郵便株式会社　足立郵便局(墨堤通り側),35.7434152,139.8114476
東京都,足立区,01-07,足立区千住関屋町16-1,千寿第八小学校(西側),35.742351,139.8057944
東京都,足立区,01-08,足立区千住曙町35,千住曙町公園(西側),35.7424808,139.8165049
東京都,足立区,02-01,足立区柳原2-49-1,千寿桜堤中学校(西側),35.7492856,139.8128519
東京都,足立区,02-02,足立区柳原2-38-1,masked,35.7479698,139.8127054
東京都,足立区,02-03,足立区柳原1-1,柳原南児童遊園(南東側),35.7463043,139.8108297
東京都,足立区,02-04,足立区柳原1-21,柳原千草園(北北東側),35.7454421,139.8145865
東京都,足立区,02-05,足立区柳原1-25,柳原一丁目児童遊園(北側),35.746212,139.812748
東京都,足立区,02-06,足立区柳原2-38-1,masked,35.7479698,139.8127054
東京都,足立区,02-07,足立区柳原2-49-1,千寿桜堤中学校(北側),35.7492856,139.8128519
東京都,足立区,03-01,足立区日ノ出町26-1,公社コーシャハイム北千住(南西側),35.7512477,139.8069684
東京都,足立区,03-02,足立区日ノ出町27,UR日の出町団地1号棟(西側),35.752142,139.8086314
東京都,足立区,03-03,足立区日ノ出町27,UR日の出町団地3号棟(東側),35.752142,139.8086314
東京都,足立区,03-04,足立区日ノ出町19-3,masked,35.751382,139.8114928
東京都,足立区,03-05,足立区千住旭町45,東武線フェンス北千住~小菅間,35.7521219,139.8069133
東京都,足立区,03-06,足立区千住旭町30,千住旭公園(東側),35.7505405,139.8092311
東京都,足立区,03-07,足立区千住旭町35-17,masked,35.7493131,139.8081764
東京都,足立区,04-01,足立区千住旭町10-31,千寿常東小学校(北西側),35.7483141,139.8079024
東京都,足立区,04-02,足立区千住旭町5,北千住駅東口ロータリー(西側),35.7485983,139.8063061
東京都,足立区,04-03,足立区千住東2-21,公社千住東町住宅2号棟,35.745331,139.810255
東京都,足立区,04-04,足立区千住東2-14,東京電機大学千住東グラウンド(南側),35.7458292,139.8080323
東京都,足立区,04-05,足立区千住旭町10-31,千寿常東小学校(南東側),35.7483141,139.8079024
東京都,足立区,04-06,足立区千住東2-21,公社千住東町住宅1号棟(北側),35.745331,139.810255
東京都,足立区,04-07,足立区千住旭町10-31,千寿常東小学校(南西側),35.7483141,139.8079024
東京都,足立区,05-01,足立区千住3-30,千寿本町小学校(東側),35.7513968,139.8025976
東京都,足立区,05-02,足立区千住3-30,千寿本町小学校(北側),35.7513968,139.8025976
東京都,足立区,05-03,足立区千住5-13-5,トミンタワー千住五丁目(西側),35.7564477,139.8023373
東京都,足立区,05-04,足立区千住5-6-2,千住本町住区センター(北側),35.7547211,139.803714
東京都,足立区,05-05,足立区千住5-24,千住めぐみプチテラス,35.7546123,139.8050751
東京都,足立区,05-06,足立区千住4-31-1,masked,35.7539508,139.8055772
東京都,足立区,05-07,足立区千住4-22,千住ほんちょう公園(南側),35.7527146,139.8042759
東京都,足立区,05-08,足立区千住5-13-5,学びピア21,35.7564477,139.8023373
東京都,足立区,06-01,足立区千住1-25-1,東京藝術大学千住校地(南側),35.7474006,139.802266
東京都,足立区,06-02,足立区千住仲町48-2,masked,35.744198,139.8020559
東京都,足立区,06-03,足立区千住仲町19-3,足立区千住庁舎,35.746451,139.8013558
東京都,足立区,06-04,足立区千住2-11,潤徳女子高等学校(西側),35.7493508,139.8004763
東京都,足立区,06-05,足立区千住仲町28,千住仲町公園(墨堤通り方面),35.7438172,139.8013989
東京都,足立区,06-06,足立区千住1-2-2,masked,35.7477034,139.8001185
東京都,足立区,06-07,足立区千住2-11,潤徳女子高等学校(東側),35.7493508,139.8004763
東京都,足立区,06-08,足立区千住1-25-1,東京藝術大学千住校地(東側),35.7474006,139.802266
東京都,足立区,07-01,足立区千住河原町4-7,第一中学校(北側),35.7436073,139.7955183
東京都,足立区,07-02,足立区千住河原町4-7,第一中学校(南側),35.7436073,139.7955183
東京都,足立区,07-03,足立区千住河原町10-13,masked,35.743626,139.7980485
東京都,足立区,07-04,足立区千住河原町37-4,masked,35.7433197,139.801249
東京都,足立区,07-05,足立区千住橋戸町33,masked,35.7404733,139.7968525
東京都,足立区,07-06,足立区千住橋戸町50,足立市場(北側),35.7401066,139.8002263
東京都,足立区,07-07,足立区千住河原町4-7,第一中学校(西側),35.7436073,139.7955183
東京都,足立区,07-08,足立区千住橋戸町千住大橋々台敷,大橋公園(園内),35.7393668,139.7975506
東京都,足立区,08-01,足立区千住緑町1-1,千住大橋さくら公園(南側),35.7434286,139.7938073
東京都,足立区,08-02,足立区千住緑町2-1,千住スポーツ公園(南側),35.7445146,139.7950858
東京都,足立区,08-03,足立区千住緑町2-1,千住スポーツ公園(北側),35.7445146,139.7950858
東京都,足立区,08-04,足立区千住宮元町6-1,千寿小学校(南側),35.7455002,139.7968035
東京都,足立区,08-05,足立区千住緑町2-17-11,緑町保育園(西側),35.7454412,139.7924097
東京都,足立区,08-06,足立区千住緑町2-1,千住スポーツ公園(西側),35.7445146,139.7950858
東京都,足立区,08-07,足立区千住宮元町24-1,masked,35.7471399,139.7962753
東京都,足立区,08-08,足立区千住緑町3-30,帝京科学大学千住キャンパスグラウンド(墨堤通り側),35.7485914,139.7938073
東京都,足立区,09-01,足立区千住中居町15-1,NTT千住ビル,35.7494424,139.7987512
東京都,足立区,09-02,足立区千住中居町24,千住中居町公園(西側),35.7498479,139.7967639
東京都,足立区,09-03,足立区千住桜木1-5,帝京科学大学テニスコート(西側),35.7488113,139.7922093
東京都,足立区,09-04,足立区千住桜木2-3-1,帝京科学大学千住キャンパス8号館(東側),35.7542358,139.7897937
東京都,足立区,09-05,足立区千住桜木1-8-15,千寿桜小学校(東側),35.7501231,139.793874
東京都,足立区,09-06,足立区千住桜木1-15,元宿堀跡緑道,35.7539005,139.7914901
東京都,足立区,09-07,足立区千住桜木2-15,都営千住桜木二丁目アパート1号棟(北側),35.7553652,139.7870956
東京都,足立区,09-08,足立区千住桜木2-16,尾竹橋公園(北側),35.7541693,139.7866163
東京都,足立区,10-01,足立区千住大川町17-1,千寿双葉小学校(北側),35.755521,139.7995084
東京都,足立区,10-02,足立区千住大川町35,千住公園(西側),35.7560234,139.7973233
東京都,足立区,10-03,足立区千住大川町44,大川町土手下通公園(北側),35.7567193,139.7947662
東京都,足立区,10-04,足立区千住元町18-17,元宿さくら公園(西側),35.7553133,139.7931032
東京都,足立区,10-05,足立区千住大川町17-1,千寿双葉小学校(東側),35.755521,139.7995084
東京都,足立区,10-06,足立区千住柳町26,千住柳町児童遊園(北側),35.754472,139.7964043
東京都,足立区,10-07,足立区千住元町5,千住元町児童遊園(東側),35.753458,139.793248
東京都,足立区,10-08,足立区千住元町16-9,masked,35.7547125,139.793595
東京都,足立区,10-09,足立区千住元町34-1,帝京科学大学2号館(西側),35.7558514,139.7915446
東京都,足立区,11-01,足立区東保木間2-2-9,masked,35.7922563,139.8107697
