prefecture,city,number,address,name,lat,long
福岡県,大川市,1,小保４７０−１２,小保団地公共賃貸住宅フェンス,33.2034557,130.365086
福岡県,大川市,2,小保７１９−１２,住吉児童公園石油スタンド側フェンス,33.20970894,130.3637661
福岡県,大川市,3,向島２３０３,善隆寺正面右側の塀,33.21402921,130.36585
福岡県,大川市,4,向島１５１６,大明神玉垣,33.21408725,130.3752359
福岡県,大川市,5,向島１５５４−１,向島（旧フタタ）ミニストップ東側ガードレール,33.21187096,130.3741139
福岡県,大川市,6,向島１８５０,大川小学校正面左側フェンス,33.21000473,130.3714935
福岡県,大川市,7,向島１８５５−２,大川コミュニティーセンター正面左側フェンス,33.21087312,130.3714803
福岡県,大川市,8,向島２１３６−１,西鉄バス久留米(株) 大川支社　西側入口正面右側フェンス,33.21733884,130.3705512
福岡県,大川市,9,榎津６６９,明治橋東側フェンス,33.20772953,130.3726672
福岡県,大川市,10,小保６１４−６,ワークピア大川駐車場,33.20520486,130.3670406
福岡県,大川市,11,榎津４７３−７,榎津水入町天満神社玉垣,33.20458243,130.3736615
福岡県,大川市,12,榎津１３７−１,旧大川高校前市道ガードレール,33.20501336,130.3769274
福岡県,大川市,13,榎津１３７−１,国際医療福祉正門植込み,33.20361966,130.3806398
福岡県,大川市,14,酒見１４１−１１,高木病院駐車場西側角寄りフェンス,33.20742953,130.3794743
福岡県,大川市,15,酒見４４,中原天満宮左側玉垣,33.20900058,130.3808122
福岡県,大川市,16,酒見２５６−１,大川市役所正面左側,33.20643618,130.3836097
福岡県,大川市,17,酒見３４４−１２,酒見団地公園,33.21015757,130.3825123
福岡県,大川市,18,向島８４５,宮前小学校正面左側フェンス,33.21394283,130.3851235
福岡県,大川市,19,酒見１１６,花宗大橋南側フェンス,33.20856961,130.3779701
福岡県,大川市,20,向島７−８,宮前小から200m北の市道ガードレール,33.2151587,130.3858631
福岡県,大川市,21,鐘ケ江４１１,又七梱包フェンス（カーブミラー北側）,33.23693825,130.386357
福岡県,大川市,22,中古賀１１１０,リサイクルプラザ用地市道側フェンス,33.22231065,130.3842725
福岡県,大川市,23,鐘ケ江６５１−３,信用金庫三又支店向かい側ガードレール,33.23456414,130.3858009
福岡県,大川市,24,諸富８３−３,masked,33.22455628,130.3902953
福岡県,大川市,25,中古賀２０８−１,三又コミュニティーセンター西側植込み,33.23048039,130.3880347
