prefecture,city,number,address,name,lat,long
福岡県,福智町,1,,福智町役場本庁舎前,33.6827998,130.77979
福岡県,福智町,2,,平成筑豊鉄道人見駅前,33.6871041,130.7715221
福岡県,福智町,3,,宝見保育園前,33.6853807,130.7749223
福岡県,福智町,4,,平成筑豊鉄道金田駅前,33.6829789,130.7768174
福岡県,福智町,5,,金田体育館前,33.6824059,130.7749216
福岡県,福智町,6,,金田稲荷神社前,33.6753857,130.7825678
福岡県,福智町,7,,上金田大踏切付近,33.6726899,130.7871647
福岡県,福智町,8,,平原二重ヶ池付近,33.6693579,130.7895924
福岡県,福智町,9,,福丸公民館前,33.6769271,130.7757903
福岡県,福智町,10,,神崎保育園前,33.6808139,130.769198
福岡県,福智町,11,,神崎大橋付近,33.6759985,130.7723957
福岡県,福智町,12,,南木親水公園・田中橋付近,33.67037,130.7707224
福岡県,福智町,13,,福吉公民館前,33.6809718,130.7594317
福岡県,福智町,14,,ふるさと交流館日王の湯前,33.6748603,130.7567905
福岡県,福智町,15,,方城伊方大橋付近,33.6794624,130.7884264
福岡県,福智町,16,,農協ストア方城前,33.684482,130.7940395
福岡県,福智町,17,,後谷集会所前,33.6820829,130.7938958
福岡県,福智町,18,,方城中学校前,33.6799659,130.793599
福岡県,福智町,19,,伊方地区営農組合農機具倉庫前,33.6773849,130.7965641
福岡県,福智町,20,,やすらぎ館前,33.6734051,130.800515
福岡県,福智町,21,,東長浦町営住宅前,33.6824962,130.8044739
福岡県,福智町,22,,ほうじょう温泉ふじ湯の里前,33.7026385,130.7898376
福岡県,福智町,23,,弁城小学校前,33.7000054,130.7888922
福岡県,福智町,24,,久六集会所前,33.6936671,130.7946406
福岡県,福智町,25,,春田集会所前,33.6914918,130.7889498
福岡県,福智町,26,,宝見橋北側付近,33.6872471,130.7793992
福岡県,福智町,27,,見六橋付近,33.6924589,130.8030712
福岡県,福智町,28,,福智町役場方城庁舎前,33.6905735,130.795552
福岡県,福智町,29,,赤池３区集会所前,33.7039467,130.7764037
福岡県,福智町,30,,上野焼城之窯前,33.7140766,130.7795119
福岡県,福智町,31,,堀田橋付近,33.7170093,130.7848492
福岡県,福智町,32,,上野焼八幡窯前,33.7202364,130.7838187
福岡県,福智町,33,,上野小学校前,33.7130011,130.7743384
福岡県,福智町,34,,大久保・大久保交差点付近,33.7135277,130.764956
福岡県,福智町,35,,大浦池付近,33.7193989,130.7688375
福岡県,福智町,36,,中央公民館前,33.6959738,130.7661787
福岡県,福智町,37,,赤池駅駐輪場付近,33.6929382,130.7682402
福岡県,福智町,38,,消防団13分団格納庫前,33.6968992,130.7695493
福岡県,福智町,39,,赤池７区集会所前,33.7058653,130.7611734
福岡県,福智町,40,,草場公民館前,33.7125166,130.7524133
福岡県,福智町,41,,赤池中央公園付近,33.6953915,130.7621543
福岡県,福智町,42,,高尾・船津酒店前,33.6886484,130.7629418
福岡県,福智町,43,,伏原・高園酒店前,33.6896446,130.760163
