prefecture,city,number,address,name,lat,long
福岡県,芦屋町,1,芦屋町字幸町8-A,望海団地フェンス,33.895504,130.658936
福岡県,芦屋町,2,芦屋町白浜町6-60,青陵小学校前交差点花壇,33.893166,130.660904
福岡県,芦屋町,3,芦屋町西浜町8-4,かなや公園フェンス,33.895451,130.665039
福岡県,芦屋町,4,芦屋町字町2-20,芦屋町役場玄関前,33.893929,130.663757
福岡県,芦屋町,5,芦屋町中ノ浜4-4,中央公民館前,33.893353,130.665588
福岡県,芦屋町,6,芦屋町中ノ浜10-74,芦屋中学校バス停,33.893101,130.665512
福岡県,芦屋町,7,芦屋町和銅町7-9,中央公園,33.893929,130.663757
福岡県,芦屋町,8,芦屋町緑ヶ丘1,正門町交差点付近,33.888165,130.66684
福岡県,芦屋町,9,芦屋町高浜町19,町営高浜団地フェンス,33.887283,130.669098
福岡県,芦屋町,10,芦屋町高浜町23-31,働松浜フェンス,33.886845,130.671814
福岡県,芦屋町,11,芦屋町緑ヶ丘4-22,芦屋東公民館前,33.884937,130.668854
福岡県,芦屋町,12,芦屋町浜口町3-30,浜口公民館フェンス,33.882576,130.669296
福岡県,芦屋町,13,芦屋町祇園町4,祇園崎センタリ芦屋前法面,33.887104,130.67366
福岡県,芦屋町,14,芦屋町大城505,大城バス停横,33.893929,130.663757
福岡県,芦屋町,15,芦屋町1188-1,栗原公民館フェンス,33.893929,130.663757
福岡県,芦屋町,16,芦屋町山鹿1415,正津ヶ浜公民館フェンス,33.905807,130.667374
福岡県,芦屋町,17,芦屋町山鹿1200,芦屋歴史の里入口付近,33.905807,130.667374
福岡県,芦屋町,18,芦屋町山鹿5,唐戸交差点駐輪場フェンス,33.897457,130.670059
福岡県,芦屋町,19,芦屋町山鹿2853,山鹿小学校東門前,33.90163,130.667343
福岡県,芦屋町,20,芦屋町山鹿3,山鹿バス停花壇,33.897408,130.668335
福岡県,芦屋町,21,芦屋町花美坂11-1,花美坂1号公園,33.902809,130.674469
福岡県,芦屋町,22,芦屋町山鹿239,総合運動公園自転車置場下,33.898193,130.680344
福岡県,芦屋町,23,芦屋町江川台1,江川台入口交差点,33.892982,130.680313
