prefecture,city,number,address,name,lat,long,note
福岡県,香春町,1,,呉 七曲入口左側空地,33.678148,130.875844,地図からおよその緯度経度、番地不明
福岡県,香春町,2,,鏡山三叉路付近高架下,33.67958,130.85918,地図確認済み
福岡県,香春町,3,,岩原公民館横畑,33.67952,130.85092,地図確認済み
福岡県,香春町,4,,鏡山教育集会所前,33.67835,130.85291,地図確認済み
福岡県,香春町,5,,下高野一 役場前児童公園,33.66868,130.84692,地図確認済み
福岡県,香春町,6,,下高野二 ＪＲ九州香春駅前,33.66619,130.84666,
福岡県,香春町,7,,下高野一 高野教育集会所公園,33.66202,130.84808,地図確認済み
福岡県,香春町,8,,下高野二公民館前,33.6645,130.84642,地図確認済み
福岡県,香春町,9,,宮尾バス停前,33.66257,130.84196,地図確認済み
福岡県,香春町,10,,紫竹原公民館前,33.65197,130.84461,地図確認済み
福岡県,香春町,11,,紫竹原 原鉱業駐車場外柵,33.65132,130.84201,地図確認済み
福岡県,香春町,12,,一本松公民館前,33.65608,130.83645,地図確認済み
福岡県,香春町,13,,一本松 一本松中央広場,33.65392,130.83981,地図確認済み
福岡県,香春町,14,,豊産公民館前,33.65604,130.8294,地図確認済み
福岡県,香春町,15,,田川高校前 県道田川犀川線,33.64964,130.83793,地図確認済み
福岡県,香春町,16,,平成区 百畝団地児童公園前,33.65744,130.83866,地図確認済み
福岡県,香春町,17,,殿町 旧香春中学校前,33.67617,130.84923,地図確認済み
福岡県,香春町,18,,本町 山王公園前,33.6742,130.84868,地図確認済み
福岡県,香春町,19,,山下町 香春保育所前,33.6688,130.84392,地図確認済み
福岡県,香春町,20,,新町 香春神社前,33.66769,130.84008,地図確認済み
福岡県,香春町,21,,長畑 香春教育集会所（児童遊園）前,33.66851,130.82964,地図確認済み
福岡県,香春町,22,,昭和区 香春鉱業トラックターミナル横,33.66401,130.83651,地図確認済み
福岡県,香春町,23,,新町 梅林衣料品店横（駐車場）,33.66697,130.83748,地図確認済み
福岡県,香春町,24,,中組 谷口ため池前ガードレール,33.6703,130.83443,地図確認済み
福岡県,香春町,25,,旧観音口バス停横,33.71513,130.85577,地図確認済み
福岡県,香春町,26,,旧JA田川採銅所支所前,33.70731,130.85479,地図確認済み
福岡県,香春町,27,,旧五反田バス停前,33.72344,130.85751,地図確認済み
福岡県,香春町,28,,ＪＲ九州採銅所駅前,33.70712,130.8535,地図確認済み
福岡県,香春町,29,,旧採銅所バス停前,33.70392,130.85625,地図確認済み
福岡県,香春町,30,,コミュニティセンター採ｄｏ所前,33.70225,130.85474,地図確認済み
福岡県,香春町,31,,採銅所教育集会所横フェンス,33.69842,130.85845,地図確認済み
福岡県,香春町,32,,採銅所６区（長光区）掲示板横,33.69965,130.85451,地図確認済み
福岡県,香春町,33,,採銅所８区（宮原区）掲示板横,33.68816,130.85671,地図確認済み
福岡県,香春町,34,,浦松 浦松入口,33.65553,130.85379,地図確認済み
福岡県,香春町,35,,中津原集学校前（グラウンド側）,33.65468,130.85069,地図確認済み
福岡県,香春町,36,,宮尾一 村上鮮魚店前,33.65705,130.84489,地図確認済み
福岡県,香春町,37,,東紫竹原団地児童公園前,33.64978,130.84657,地図確認済み
福岡県,香春町,38,,上清団地区公民館前,33.65017,130.84821,地図確認済み
福岡県,香春町,39,,三井団地前 フェンス,33.64827,130.84968,地図確認済み
福岡県,香春町,40,,柿下 加々見商店横（池のフェンス）,33.64937,130.86275,地図確認済み
福岡県,香春町,41,,柿下 柿下教育集会所前,33.64414,130.86614,地図確認済み
