prefecture,city,number,address,name,lat,long,note
長野県,信濃町,1,柏原434-1,丸山歯科医院向役場駐車場,36.8060781,138.2056527,
長野県,信濃町,2,柏原26-1,柏原諏訪神社境内地,36.8039954,138.2057526,
長野県,信濃町,3,柏原7-2,masked,36.8033404,138.2082705,
長野県,信濃町,4,柏原64-1,宅老所横信越病院医師住宅,36.8055557,138.2044082,
長野県,信濃町,5,柏原427-1,役場側空地,36.8064698,138.2066046,
長野県,信濃町,6,柏原80-1,masked,36.8067415,138.2048438,
長野県,信濃町,7,柏原112-1,masked,36.808571,138.203705,緯度経度は怪しい
長野県,信濃町,8,柏原131-1,masked,36.8090876,138.2022902,
長野県,信濃町,9,柏原300-2,masked,36.8125927,138.2031813,
長野県,信濃町,10,柏原2421-3,masked,36.8116733,138.1993978,
長野県,信濃町,11,柏原1167-1,鳥居川消防署信濃町分署,36.8159688,138.1969989,
長野県,信濃町,12,柏原2437-33,旧柏原小体育館前,36.8097028,138.1999195,
長野県,信濃町,13,柏原2437-3,masked,36.80972610000001,138.1992151,
長野県,信濃町,14,柏原2486-25,町12組信越病院医師住宅,36.8109248,138.1976843,
長野県,信濃町,15,柏原2437-62,小丸山公園前,36.8092428,138.2006945,
長野県,信濃町,16,柏原2568-6,柏原保育園駐車場,36.8065069,138.2008723,
長野県,信濃町,17,柏原2451-13・32,吉川嘉彦所有地,36.80749300000001,138.2017417,
長野県,信濃町,18,柏原2813-10,masked,36.8038236,138.1954215,
長野県,信濃町,19,柏原2711-69,黒姫駅前駐車場（中島）,36.8074,138.19693,緯度経度は怪しい
長野県,信濃町,20,柏原2692-38,黒姫駅前,36.806812,138.192734,緯度経度は怪しい
長野県,信濃町,21,柏原2692-1,黒姫駅西口,36.806812,138.192734,緯度経度は怪しい
長野県,信濃町,22,柏原2510-11,masked,36.8104174,138.1952062,
長野県,信濃町,23,柏原2526-1,町16-2組公会堂,36.8120276,138.1943475,
長野県,信濃町,24,柏原2838-5,masked,36.803818,138.194077,緯度経度は怪しい
長野県,信濃町,25,柏原2937-8,masked,36.80090149999999,138.1916087,
長野県,信濃町,26,柏原2884-2,masked,36.7987625,138.1922412,
長野県,信濃町,27,柏原4591-1,masked,36.7961806,138.1699411,
長野県,信濃町,28,柏原2923-1,masked,36.7998514,138.1896247,
長野県,信濃町,29,柏原3428-6,masked,36.7991835,138.1874329,
長野県,信濃町,30,柏原3604-8,中澤彰昭組,36.7964636,138.1828627,
長野県,信濃町,31,柏原2097,masked,36.809219,138.187622,緯度経度は怪しい
長野県,信濃町,32,柏原2107-1,熊倉公会堂,36.8103538,138.1887956,
長野県,信濃町,33,柏原4791,masked,36.8070238,138.1681317,
長野県,信濃町,34,柏原1937-9,第二分団西部班器具置場,36.812072,138.1859952,
長野県,信濃町,35,柏原1908-4,masked,36.8147238,138.1839439,
長野県,信濃町,36,柏原4980-2,瑞穂農業生活改善センター,36.801846,138.151123,緯度経度は怪しい
長野県,信濃町,37,大井2742-1718,北信農業生活改善センター,36.783726,138.165482,緯度経度は怪しい
長野県,信濃町,38,大井515-2,masked,36.771687,138.183167,緯度経度は怪しい
長野県,信濃町,39,大井2742-67,富が原公会堂前,36.783726,138.165482,緯度経度は怪しい
長野県,信濃町,40,大井2742-337,北信上ノ原集乳所,36.783726,138.165482,緯度経度は怪しい
長野県,信濃町,41,平岡631-2,masked,36.7867946,138.2008566,
長野県,信濃町,42,平岡615,中田福住住宅,36.78924689999999,138.2075672,
長野県,信濃町,43,平岡1166-1,masked,36.7899073,138.1966473,
長野県,信濃町,44,平岡1127,masked,36.789252,138.1943811,
長野県,信濃町,45,平岡1635-5,masked,36.7797198,138.2000587,
長野県,信濃町,46,平岡1680,masked,36.778538,138.1972866,
長野県,信濃町,47,平岡1843-1,masked,36.7787642,138.1891173,
長野県,信濃町,48,穂波1402-1,masked,36.776291,138.210403,緯度経度は怪しい
長野県,信濃町,49,穂波1510-1,木村嘉夫畑,36.776291,138.210403,緯度経度は怪しい
長野県,信濃町,50,穂波71,佐藤秀一畑,36.776291,138.210403,緯度経度は怪しい
長野県,信濃町,51,穂波327-3,masked,36.774607,138.2076248,
長野県,信濃町,52,穂波910-1,masked,36.776291,138.210403,緯度経度は怪しい
長野県,信濃町,53,穂波446,富士里保育園,36.7755954,138.2021392,
長野県,信濃町,54,大井933-1,大嶺社境内地,36.7695255,138.1658255,
長野県,信濃町,55,大井1240-5,丸山製材所,36.767113,138.195572,緯度経度は怪しい
長野県,信濃町,56,大井2512-4,高山大会堂,36.767918,138.16626,緯度経度は怪しい
長野県,信濃町,57,大井2057-1,masked,36.7647712,138.2070234,
長野県,信濃町,58,古間939-1,masked,36.7989557,138.2132005,
長野県,信濃町,59,古間573-2,masked,36.80168219999999,138.2097145,
長野県,信濃町,60,古間511-1,旧古間駐在所フェンス,36.797295,138.2103241,
長野県,信濃町,61,古間751-1,旧古間支館前,36.799374,138.218445,緯度経度は怪しい
