prefecture,city,number,address,name,lat,long,note
長野県,富士見町,2,富士見御射山神戸10802,(神戸)小林康平所有地,35.9302, 138.20754,
長野県,富士見町,3,富士見御射山神戸639,(神戸)細川理容所駐車場横ガードレール,35.92846, 138.20948,
長野県,富士見町,4,富士見1230,masked,35.92695, 138.21072,
長野県,富士見町,5,富士見1266-2,(神戸)小林平三所有地(神戸大橋北),35.92537, 138.21221,
長野県,富士見町,6,富士見御射山神戸2023,(神戸)洗坂第1分団火の見,35.92236, 138.21435,
長野県,富士見町,7,,(栗生)西山環状線よりパノラマ方面三叉路 横断地下道フェンス,35.91776, 138.21233,
長野県,富士見町,8,,masked,35.91846, 138.2087,
長野県,富士見町,9,,(栗生)栗生消防屯所貯水槽フェンス,35.92006, 138.20747,
長野県,富士見町,10,,(大平) 大平コミュニティーセンター庭,35.91249, 138.21708,
長野県,富士見町,11,,(松目)道祖神前 (松目バス停隣),35.9087, 138.2155,
長野県,富士見町,12,,(原の茶屋)御所島辻,35.9104, 138.2205,
長野県,富士見町,13,,(原の茶屋)原の茶屋公民館,35.91259, 138.22231,
長野県,富士見町,14,,(富士見ヶ丘)富士見ヶ丘公民館,35.9118, 138.22844,
長野県,富士見町,15,,(塚平)塚平入口(若宮・前島一男所有畑),35.90744, 138.23271,
長野県,富士見町,16,,(若宮)若宮入口三叉路,35.90542, 138.22312,
長野県,富士見町,17,,(若宮)若宮公民館,35.90281, 138.22384,
長野県,富士見町,18,,(木の間) 旧農協木の間事業所横,35.90077, 138.22494,
長野県,富士見町,19,,(木の間)木の間公民館前,35.89676, 138.22644,
長野県,富士見町,20,,(木の間)木の間下三叉路,35.89426, 138.23019,
長野県,富士見町,21,,(花場)花場屯所横,35.88553, 138.22609,
長野県,富士見町,22,,(横吹)横吹集荷所,35.89257, 138.2364,
長野県,富士見町,23,,(南原山)開拓供養塔・東組ゴミステーション前,35.92325, 138.23637,
長野県,富士見町,24,,(南原山)南原山公民館庭横,35.92824, 138.23494,
長野県,富士見町,25,,(南原山)富丘集荷所,35.92439, 138.23082,
長野県,富士見町,26,,(富原)富原公民館,35.93448, 138.23012,
長野県,富士見町,27,,masked,35.92796, 138.23211,
長野県,富士見町,28,,(富ヶ丘) 富ヶ丘公園内,35.92505, 138.23448,
長野県,富士見町,29,,masked,35.93174, 138.24312,
長野県,富士見町,30,,(立沢)南原集乳所,35.93362, 138.2444,
長野県,富士見町,31,,(立沢)上羽場組公会所横ガードパイプ(待合所北側),35.94042, 138.26538,
長野県,富士見町,32,,(立沢)五味精工上旧集乳所,35.93789, 138.26301,
長野県,富士見町,33,,(立沢)立沢羽場バス停横 ガードレール,35.93539, 138.26385,
長野県,富士見町,34,,(立沢)立沢集落センターグランド前,35.93712, 138.26785,
長野県,富士見町,35,,(立沢)JA立沢支所駐車場側フェンス,35.94084, 138.26958,
長野県,富士見町,36,,(立沢)農協東倉庫庭集乳所,35.94002, 138.27074,
長野県,富士見町,37,,(立沢)北原久光畑横(立沢工業下辻),35.93399, 138.26669,
長野県,富士見町,38,,(乙事)乙事入口バス停前,35.91318, 138.25915,
長野県,富士見町,39,,(乙事)乙事公民館入口,35.91547, 138.26425,
長野県,富士見町,40,,(乙事)公会堂裏道添乙事向組,35.91446, 138.26778,
長野県,富士見町,41,,masked,35.9133, 138.26621,
長野県,富士見町,42,,(乙事)農協乙事事業所道向,35.9141, 138.26449,
長野県,富士見町,43,,masked,35.91285, 138.26318,
長野県,富士見町,44,,(乙事)中下公会堂前,35.91151, 138.26094,
長野県,富士見町,45,,masked,35.91024, 138.2604,
長野県,富士見町,46,,(富里) 町民センター入口,35.91346, 138.23938,
長野県,富士見町,47,,(富里)富里区公民館前,35.91056, 138.24197,
長野県,富士見町,48,,(富里)丸山団地入口,35.90633, 138.24049,
長野県,富士見町,50,,(桜ケ丘) 桜ケ丘公民館,35.91776, 138.24111,
長野県,富士見町,51,,(桜ケ丘) (有 トーワ横県道沿い,35.91861, 138.24548,
長野県,富士見町,52,,(新田)原組公会所,35.92213, 138.2497,
長野県,富士見町,53,,(新田)新田集落センター,35.9181, 138.25269,
長野県,富士見町,54,,(新田)富士見高原病院前駐車場,35.91394, 138.24269,
長野県,富士見町,55,,(富士見台)富士見台公民館前,35.90505, 138.24387,
長野県,富士見町,56,,masked,35.90317, 138.24246,
長野県,富士見町,57,,(瀬沢)教員住宅,35.89493, 138.24487,
長野県,富士見町,58,,(瀬沢)瀬沢公民館向かい,35.89279, 138.24588,
長野県,富士見町,59,,(先能)ゴミステーション横,35.89014, 138.24541,
長野県,富士見町,60,,masked,35.88862, 138.24831,
長野県,富士見町,61,,(机)机集落センター,35.88763, 138.25124,
長野県,富士見町,62,,masked,35.88699, 138.2486,
長野県,富士見町,63,,masked,35.88654, 138.25104,
長野県,富士見町,64,,masked,35.88411, 138.25585,
長野県,富士見町,65,,(神代) 神代バス停横,35.87911, 138.26115,
長野県,富士見町,66,,(上蔦木)伊藤成八倉庫橫,35.87117, 138.2702,
長野県,富士見町,67,,masked,35.87054, 138.27188,
長野県,富士見町,68,,(上蔦木)上蔦木集落センター,35.86961, 138.27289,
長野県,富士見町,69,,masked,35.86864, 138.27406,
長野県,富士見町,70,,(下蔦木)国道出口区有地,35.86146, 138.2791,
長野県,富士見町,71,,(下蔦木)下蔦木集落センター土地,35.86275, 138.27887,
長野県,富士見町,72,,(小六)小六公民館,35.90846, 138.2742,
長野県,富士見町,73,,(小六)農協倉庫,35.90436, 138.27447,
長野県,富士見町,74,,(小六)小六農免道路入口,35.90074, 138.27489,
長野県,富士見町,75,,(小六)柏社入口 横倉庫前,35.90763, 138.27318,
長野県,富士見町,76,,(高森)小柳橋手前公園上(小林あや子所有森林),35.89452, 138.27899,
長野県,富士見町,77,,(高森)スワアスコン前,35.88827, 138.2832,
長野県,富士見町,78,,(高森)高森交差点,35.88985, 138.2802,
長野県,富士見町,79,,masked,35.88584, 138.27915,
長野県,富士見町,80,,(高森)NTT自動交換所前,35.88642, 138.27534,
長野県,富士見町,81,,(烏帽子)新道開通碑道向(旧南中入口辻),35.88687, 138.27255,
