prefecture,city,number,address,name,lat,long,note
長野県,小川村,1,大字高府1569,夏和集会所前,36.61447,137.99159,
長野県,小川村,2,大字高府2990-2,夏和生活改善センター,36.611582,137.995448,
長野県,小川村,3,大字高府3543-4,鴨之尾生活センター横,36.618958,137.981445,
長野県,小川村,4,大字高府4662-3,雲井橋,36.61725,137.98338,
長野県,小川村,5,大字高府274,長野森林組合西山工場,36.61895,137.98149,
長野県,小川村,6,大字高府6542-1,久木　中村下三叉路,36.61438,137.98861,
長野県,小川村,7,大字高府19500,花尾橋,36.61645,137.97003,
長野県,小川村,8,大字高府18493,masked,36.615,137.9701,
長野県,小川村,9,大字高府17051-2,masked,36.6153,137.97645,
長野県,小川村,10,大字高府19787-3,外石峯三叉路,36.61371,137.97757,
長野県,小川村,11,大字高府10837,masked,36.61895,137.98144,
長野県,小川村,12,大字高府9016,小川小学校前,36.61655,137.97542,
長野県,小川村,13,大字高府9247,島田　高府団地入口,36.618958,137.981445,
長野県,小川村,14,大字高府8472,中町　佐渡屋旅館前,36.61729,137.98091,
長野県,小川村,15,大字高府9742,西山中央店駐車場前,36.61733,137.97187,
長野県,小川村,16,大字高府9777-1,下市場バス停横,36.61399,137.977356,
長野県,小川村,17,大字高府130391,大久保　ごみ集積所横,36.61895,137.98144,
長野県,小川村,18,大字高府13837,鶴牧田バス停横,36.618959,137.981448,
長野県,小川村,19,大字高府14786-3,masked,36.618951,137.981442,
長野県,小川村,20,大字高府15999,梶尾生活センター前,36.61895,137.981447,
長野県,小川村,21,大字高府15103-3,柏土荷置場,36.618953,137.981448,
長野県,小川村,22,大字高府12585-3,美会三叉路,36.618958,137.981445,
長野県,小川村,23,大字小根山7269番地1,避難橋脇,36.617256,137.925934,
長野県,小川村,24,大字小根山596-2,小根山町バス停横,36.6129,137.95046,緯度経度は怪しい
長野県,小川村,25,大字小根山6872-3,稲荷上バス停下,36.6125,137.94776,緯度経度は怪しい
長野県,小川村,26,大字小根山3927,和手生活センター前,36.61189,137.94478,緯度経度は怪しい
長野県,小川村,27,大字小根山3598,日影バス停横,36.61116,137.94478,緯度経度は怪しい
長野県,小川村,28,大字小根山4938-5,塩沢生活センター前,36.61294,137.94716,緯度経度は怪しい
長野県,小川村,29,大字小根山7487,裏立屋元集乳所,36.61164,137.94437,緯度経度は怪しい
長野県,小川村,30,大字稲丘2688,味大豆入口上,36.64814,137.99151,緯度経度は怪しい
長野県,小川村,31,大字稲丘500,富吉公会堂前,36.65033,137.98739,緯度経度は怪しい
長野県,小川村,32,大字稲丘7096-1,高山寺バス停前,36.64127,137.98287,緯度経度は怪しい
長野県,小川村,33,大字稲丘5931,アルペンドーム前,36.65046,137.98751,緯度経度は怪しい
長野県,小川村,34,大字瀬戸川4016-1,上北尾消防器具置場,36.64232,137.95878,緯度経度は怪しい
長野県,小川村,35,大字瀬戸川605-1,成就公民館前,36.6423,137.95875,緯度経度は怪しい
長野県,小川村,36,大字瀬戸川9975-1,瀬戸川消防器具置場,36.64234,137.95877,緯度経度は怪しい
長野県,小川村,37,大字瀬戸川8581-1,廿越公民館前,36.64234,137.95874,緯度経度は怪しい
長野県,小川村,38,大字瀬戸川7664,埋牧三叉路,36.64231,137.95871,緯度経度は怪しい
長野県,小川村,39,大字瀬戸川5965-2,法地久保三叉路,36.64232,137.95878,緯度経度は怪しい
長野県,小川村,40,大字瀬戸川11753,土合三叉路,36.64234,137.95874,緯度経度は怪しい
長野県,小川村,41,大字瀬戸川10961,馬曲　皆明入口,36.64237,137.95873,緯度経度は怪しい
長野県,小川村,42,大字瀬戸川13551,芋之沢 待避所,36.64231,137.95874,緯度経度は怪しい
