prefecture,city,number,address,name,lat,long,note
長野県,東御市,1,加沢1409-34,masked,36.3531127,138.3508833,
長野県,東御市,2,加沢1440-35,masked,36.356134,138.3528606,
長野県,東御市,3,加沢1239-1,masked,36.351685,138.3501157,
長野県,東御市,4,加沢1141-1,masked,36.3527755,138.3473191,
長野県,東御市,5,加沢1011-1,masked,36.35313379999999,138.3460841,
長野県,東御市,6,加沢146-3,伊豆宮公園フェンス,36.3470839,138.3464426,緯度経度は怪しい
長野県,東御市,7,加沢1135-1,masked,36.3524497,138.3483708,
長野県,東御市,8,田中10-62,市道田中307号線下市有地(道祖神西),36.357503,138.325763,
長野県,東御市,9,常田360-6,市営住宅常田団地駐車場フェンス,36.3568247,138.3437267,
長野県,東御市,10,田中747-8,masked,36.3538026,138.3374679,
長野県,東御市,11,常田578-9,masked,36.3584487,138.3414571,
長野県,東御市,12,常田135-6,常田公民館花壇,36.3584487,138.3414571,
長野県,東御市,13,常田717-1,旧田中保育園,36.356383,138.3354605,緯度経度は怪しい
長野県,東御市,14,田中149,masked,36.355042,138.3331825,
長野県,東御市,15,常田34-5,masked,36.3584487,138.3414571,
長野県,東御市,16,田中590-85,城ノ前公民館フェンス,36.352668,138.3359146,
長野県,東御市,17,田中612-6,masked,36.3533228,138.3339066,
長野県,東御市,18,新屋168-1,masked,36.3659115,138.3352257,緯度経度は怪しい
長野県,東御市,19,新屋98-2,新屋公民館 フェンス,36.3656748,138.3389351,緯度経度は怪しい
長野県,東御市,20,常田222-56,伊勢原公民館東生け垣,36.3603685,138.3456052,
長野県,東御市,21,常田222-105,masked,36.359787,138.3473185,
長野県,東御市,22,田中285-1,田中駅前緑地,36.354991,138.3294137,
長野県,東御市,23,県137-7,セブンイレブン東部田中店 北国道フェンス,36.3579307,138.3306111,
長野県,東御市,24,田中208-1,県有地(田中駅前交差点),36.3548073,138.3302412,
長野県,東御市,25,田中35-4,田中公園南側緑色フェンス,36.3548073,138.3302412,
長野県,東御市,26,田中539-4,南町公園フェンス,36.3541185,138.3329066,
長野県,東御市,27,田中103-4,masked,36.35682,138.3312041,
長野県,東御市,28,県142-1,masked,36.3593005,138.3302412,緯度経度は怪しい
長野県,東御市,29,田中309-15,サンコーポラス南側,36.3540043,138.3290535,
長野県,東御市,30,羽毛山1267-2,masked,36.3468789,138.3327334,緯度経度は怪しい
長野県,東御市,31,県385,県公民館南側歩道フェンス,36.3614921,138.3299881,
長野県,東御市,32,県118-1,瓜田団地フェンス,36.358574,138.327788,
長野県,東御市,33,県288-4,中央公民館入口フェンス,36.3585769,138.3318316,
長野県,東御市,34,県291-1,市役所駐車場西側 駐車場フェンス,36.3597346,138.3300254,
長野県,東御市,35,本海野1227-1,masked,36.3608886,138.31791,
長野県,東御市,36,本海野1125-1,海野宿ふれあいセンター,36.3607808,138.3160104,緯度経度は怪しい
長野県,東御市,37,本海野866,masked,36.3617883,138.3127803,
長野県,東御市,38,和1593-1,masked,36.3658765,138.3123122,緯度経度は怪しい
長野県,東御市,39,本海野1647-2,不動公園入口フェンス,36.3608719,138.3127988,緯度経度は怪しい
長野県,東御市,40,本海野1496-66,白鳥台公民館 ブロック塀,36.3646558,138.3179789,
長野県,東御市,41,本海野1496-1,白鳥台バス停北,36.3646558,138.3179789,
長野県,東御市,42,本海野1496-146,長野都市ガス分岐所 北側法面市有地,36.3646558,138.3179789,
長野県,東御市,43,本海野236,masked,36.3645694,138.3080056,緯度経度は怪しい
長野県,東御市,44,本海野1397-1の北側,西海野バス停(上田方面)フェンス,36.3637215,138.3157412,
長野県,東御市,45,本海野33-1付近,masked,36.3682105,138.3000979,
長野県,東御市,46,和1022-11,masked,36.3694028,138.3012739,
長野県,東御市,47,本海野79-2,masked,36.3668365,138.3031075,
長野県,東御市,48,滋野甲2186-1,masked,36.3441434,138.3779733,
長野県,東御市,49,滋野甲2096,masked,36.3743965,138.397571,緯度経度は怪しい
長野県,東御市,50,滋野乙2964-2,滋野コミュニティセンター フェンス,36.3451505,138.3747581,緯度経度は怪しい
長野県,東御市,51,滋野乙63-35,片羽南団地 公園フェンス,36.3435476,138.3741942,緯度経度は怪しい
長野県,東御市,52,滋野乙2966-3,滋野小学校グランド 国道側法面フェンス,36.3464195,138.3737545,
長野県,東御市,53,滋野乙2808-1,中屋敷ぶどう選果場 擁壁,36.3492817,138.3780415,緯度経度は怪しい
長野県,東御市,54,滋野乙2923-1,中屋敷公民館 フェンス,36.3496394,138.3617776,緯度経度は怪しい
長野県,東御市,55,滋野乙2687-1,熊野神社東,36.352232,138.3734233,緯度経度は怪しい
長野県,東御市,56,滋野乙977,滋野駅前,36.3520516,138.3739239,緯度経度は怪しい
長野県,東御市,57,滋野乙1044-2,桜井神社横フェンス,36.3496394,138.3617776,緯度経度は怪しい
長野県,東御市,58,滋野乙928-3,masked,36.3437576,138.3611489,緯度経度は怪しい
長野県,東御市,59,滋野乙475-2,masked,36.3433349,138.3652011,緯度経度は怪しい
長野県,東御市,60,滋野乙2332-1,masked,36.3504065,138.3660583,緯度経度は怪しい
長野県,東御市,61,滋野乙1626-1,masked,36.3496394,138.3617776,緯度経度は怪しい
長野県,東御市,62,滋野乙1093-3,masked,36.3496394,138.3617776,緯度経度は怪しい
長野県,東御市,63,滋野乙1962-4,masked,36.3553564,138.3673215,
長野県,東御市,64,滋野乙3967-5,原口公民館,36.357186,138.3794223,緯度経度は怪しい
長野県,東御市,65,滋野乙4000-1,masked,36.3590772,138.3767024,緯度経度は怪しい
長野県,東御市,66,滋野乙3382-1,masked,36.3496394,138.3617776,緯度経度は怪しい
長野県,東御市,67,滋野乙3959,masked,36.3581008,138.3793704,緯度経度は怪しい
長野県,東御市,68,滋野甲4184-3,masked,36.3743965,138.397571,緯度経度は怪しい
長野県,東御市,69,滋野736-200,masked,36.3540986,138.3574633,緯度経度は怪しい
長野県,東御市,70,滋野736-243,乙女平公民館,36.3540191,138.3583291,緯度経度は怪しい
長野県,東御市,71,滋野736-2,旧菅平有料道路入口県営住宅前フェンス,36.3551962,138.3599716,緯度経度は怪しい
長野県,東御市,72,滋野乙1621,王子平公民館フェンス,36.3496394,138.3617776,緯度経度は怪しい
長野県,東御市,73,鞍掛579-1,masked,36.3597078,138.3555042,
長野県,東御市,74,鞍掛634,金井公民館敷地内 東側市有地,36.3573021,138.3559806,緯度経度は怪しい
長野県,東御市,75,鞍掛519-1,masked,36.3595907,138.3583084,
長野県,東御市,76,新張2544-2,奈良原公民館駐車場フェンス,36.3953439,138.3912316,
長野県,東御市,77,新張2471,masked,36.4053929,138.3938283,緯度経度は怪しい
長野県,東御市,78,新張710-3,masked,36.3828885,138.3838452,
長野県,東御市,79,新張688-1,masked,36.37975580000001,138.3802419,
長野県,東御市,80,滝の沢,masked,36.3795817,138.3813011,緯度経度は怪しい
長野県,東御市,81,滋野乙4643-7,masked,36.3593341,138.3683748,
長野県,東御市,82,新張1117,masked,36.36536,138.3701146,
長野県,東御市,83,新張1076,masked,36.4053929,138.3938283,緯度経度は怪しい
長野県,東御市,84,新張1125,新張公民館,36.3634814,138.369461,緯度経度は怪しい
長野県,東御市,85,新張298-1,masked,36.3666584,138.3717208,
長野県,東御市,86,新張979-7,masked,36.3669121,138.3698942,
長野県,東御市,87,鞍掛931-1,masked,36.3620894,138.3526753,緯度経度は怪しい
長野県,東御市,88,祢津220-1,masked,36.39692489999999,138.3738715,緯度経度は怪しい
長野県,東御市,89,鞍掛1182-1,消防庁前,36.3653233,138.3633773,緯度経度は怪しい
長野県,東御市,90,新張1220-15,masked,36.3638647,138.365328,
長野県,東御市,91,祢津339-5,祢津診療所南側道路 フェンス,36.39692489999999,138.3738715,緯度経度は怪しい
長野県,東御市,92,祢津1249-3の南西側,祢津小下信号機の北東上手,36.36655289999999,138.3531443,緯度経度は怪しい
長野県,東御市,93,祢津901-1,東町公民館ガードレール,36.37219,138.3540929,
長野県,東御市,94,祢津1316,masked,36.3728856,138.3543309,
長野県,東御市,95,祢津874-1,masked,36.372795,138.3551158,緯度経度は怪しい
長野県,東御市,96,祢津2144−1,西宮公民館フェンス,36.3744062,138.3504812,緯度経度は怪しい
長野県,東御市,97,祢津1792-1,masked,36.39692489999999,138.3738715,緯度経度は怪しい
長野県,東御市,98,祢津2253,祢津健軍神社フェンス,36.3768269,138.3526588,緯度経度は怪しい
長野県,東御市,99,祢津1761,masked,36.374208,138.3515787,
長野県,東御市,100,祢津1824-6,祢津郵便局フェンス,36.3716058,138.3507178,
長野県,東御市,101,祢津300-70,公園フェンス,36.3671879,138.3552169,
長野県,東御市,102,祢津2937-1,姫子沢公民館,36.3813953,138.3447175,緯度経度は怪しい
長野県,東御市,103,和6999,農村コミュニティ促進施設,36.3817149,138.3439851,緯度経度は怪しい
長野県,東御市,104,和7821-1,masked,36.3797455,138.3313755,緯度経度は怪しい
長野県,東御市,105,和7563-6,東上田研修センター北側遊び場フェンス,36.3774853,138.3345452,
長野県,東御市,106,和8265-4,masked,36.377482,138.3319351,
長野県,東御市,107,和7590-6,masked,36.375687,138.3336894,
長野県,東御市,108,和7143-1,masked,36.376257,138.3154639,緯度経度は怪しい
長野県,東御市,109,和8333-119,寺坂東入口公園,36.3739325,138.3291648,
長野県,東御市,100,和8087-3,長峰集会所,36.3779483,138.3272722,緯度経度は怪しい
長野県,東御市,111,和2970,masked,36.3867419,138.3242058,緯度経度は怪しい
長野県,東御市,112,和2628-1,和コミュニティーセンター南法面,36.380137,138.3234855,緯度経度は怪しい
長野県,東御市,113,和2478-1,masked,36.3779726,138.3182295,
長野県,東御市,114,和2712,masked,36.3802137,138.3214945,緯度経度は怪しい
長野県,東御市,115,和,栗林第2集会所,36.381774,138.316739,
長野県,東御市,116,栗林3419-1,栗林公民館,36.35952100000001,138.3305851,
長野県,東御市,117,和3393-1,masked,36.378477,138.3148903,緯度経度は怪しい
長野県,東御市,118,和5211,masked,36.3911386,138.3382104,緯度経度は怪しい
長野県,東御市,119,田中97,田中公民館,36.356264,138.3316041,
長野県,東御市,120,和5467-2,masked,36.3928641,138.3385795,緯度経度は怪しい
長野県,東御市,121,和4777,masked,36.3915645,138.3332396,緯度経度は怪しい
長野県,東御市,122,和4606-2,masked,36.3903024,138.3298971,緯度経度は怪しい
長野県,東御市,123,和6595,西田沢上水道配水池 フェンス,36.4196422,138.3638958,緯度経度は怪しい
長野県,東御市,124,海善寺459-1,海善寺振興センター 東側公園フェンス,36.3696012,138.3227652,
長野県,東御市,125,海善寺282-1,masked,36.3696012,138.3227652,
長野県,東御市,126,海善寺494-1,masked,36.369629,138.3227068,
長野県,東御市,127,海善寺270-2,masked,36.36747190000001,138.3248774,緯度経度は怪しい
長野県,東御市,128,海善寺854-90,市住A2棟西側フェンス,36.367558,138.317166,
長野県,東御市,129,海善寺854-90,日向が丘公民館敷地 東側,36.3672012,138.3181516,
長野県,東御市,130,海善寺1006-1,masked,36.3696012,138.3227652,
長野県,東御市,131,海善寺834−2,海善寺北公民館フェンス,36.3679127,138.3218892,
長野県,東御市,132,海善寺719-1,masked,36.3717487,138.3217577,
長野県,東御市,133,和,masked,36.376257,138.3154639,緯度経度は怪しい
長野県,東御市,134,和1846,曽根集落農事集会所フェンス,36.372068,138.3115849,緯度経度は怪しい
長野県,東御市,135,和1810-1,masked,36.3701793,138.3100143,
長野県,東御市,136,和1788-3,masked,36.3710449,138.3119465,緯度経度は怪しい
長野県,東御市,137,和688,masked,36.376257,138.3154639,緯度経度は怪しい
長野県,東御市,138,和715−3,東深井公民館,36.3763146,138.3062375,緯度経度は怪しい
長野県,東御市,139,和909-1,masked,36.376257,138.3154639,緯度経度は怪しい
長野県,東御市,140,和397,西深井公民館,36.3765646,138.3000684,
長野県,東御市,141,和6710-2,西入公民館,36.3980557,138.3476285,
長野県,東御市,142,和6559-3,西入バス停付近ガードレール,36.376257,138.3154639,緯度経度は怪しい
長野県,東御市,143,和6739-6,東入集会所,36.4033084,138.3577848,緯度経度は怪しい
長野県,東御市,144,八重原620-1,masked,36.3175903,138.3140445,緯度経度は怪しい
長野県,東御市,145,八重原325-11,上八重原公民館前 防火水槽西,36.3183109,138.3088338,
長野県,東御市,146,八重原603,上八重原日向集会所入口,36.321552,138.3124487,緯度経度は怪しい
長野県,東御市,147,八重原2-576,田楽平公民館,36.31192970000001,138.2974159,緯度経度は怪しい
長野県,東御市,148,八重原1082,masked,36.31185809999999,138.3192431,
長野県,東御市,149,八重原1595-2,masked,36.3161489,138.3228797,緯度経度は怪しい
長野県,東御市,150,八重原1575-1,masked,36.3175903,138.3140445,緯度経度は怪しい
長野県,東御市,151,八重原,masked,36.3175903,138.3140445,緯度経度は怪しい
長野県,東御市,152,八重原,山崎バス停横,36.32577,138.33142,
長野県,東御市,153,八重原2581,masked,36.33290030000001,138.329995,
長野県,東御市,154,八重原2418-12,浦久保作業所前,36.3246153,138.3396,緯度経度は怪しい
長野県,東御市,155,八重原2907,masked,36.3175903,138.3140445,緯度経度は怪しい
長野県,東御市,156,八重原2758-1,masked,36.3322384,138.337073,緯度経度は怪しい
長野県,東御市,157,八重原2965-1,masked,36.3175903,138.3140445,緯度経度は怪しい
長野県,東御市,158,八重原1806−1,郷土資料館入口,36.3224556,138.3223953,緯度経度は怪しい
長野県,東御市,159,八重原3533−1050,白樺住宅団地入口公園,36.3333896,138.3208747,緯度経度は怪しい
長野県,東御市,160,下之城,切久保集落センター,36.3117155,138.3451962,
長野県,東御市,161,下之城,masked,36.3117155,138.3451962,
長野県,東御市,162,下之城727,masked,36.3195553,138.3456236,
長野県,東御市,163,下之城682-2,masked,36.319269,138.3439247,
長野県,東御市,164,大日向646-1,北御牧小学校前バス停ガードレール,36.3335994,138.3464426,
長野県,東御市,165,大日向337,北御牧庁舎入口,36.3320995,138.3460531,緯度経度は怪しい
長野県,東御市,166,大日向461,masked,36.3335994,138.3464426,
長野県,東御市,167,下之城541-3,masked,36.3150527,138.3461688,
長野県,東御市,168,下之城466,masked,36.3139584,138.345396,
長野県,東御市,169,下之城359,masked,36.3087035,138.3428226,緯度経度は怪しい
長野県,東御市,170,下之城319-9,井出野屋向かいの歩道フェンス,36.3085792,138.3456012,
長野県,東御市,171,下之城45-12,地蔵堂横,36.3007675,138.3485446,
長野県,東御市,172,下之城15-2,masked,36.2991962,138.3493291,緯度経度は怪しい
長野県,東御市,173,御牧原2415,豊原バス停横フェンス,36.3105903,138.3663895,緯度経度は怪しい
長野県,東御市,174,下之城175-2,masked,36.3041312,138.3466107,
長野県,東御市,175,御牧原729,南部公民館入口,36.2986086,138.3758725,緯度経度は怪しい
長野県,東御市,176,御牧原871,masked,36.3005884,138.37112,
長野県,東御市,177,御牧原300-1,masked,36.3105903,138.3663895,緯度経度は怪しい
長野県,東御市,178,御牧原1402-1,旧御牧原保育園フェンス,36.3100593,138.3660638,
