prefecture,city,number,address,name,lat,long,note
長野県,泰阜村,1,金野,生活改善センター付近,35.405663,137.830179,
長野県,泰阜村,2,金野,お宮下三叉路付近,35.408182,137.828508,
長野県,泰阜村,3,高町,野菜集荷所付近,35.404139,137.840124,
長野県,泰阜村,4,高町,伊勢崎屋製材所付近,35.398699,137.833415,
長野県,泰阜村,5,稲伏戸,四ツ栗三叉路付近,35.395202,137.842857,
長野県,泰阜村,6,稲伏戸,お宮下付近,35.399886,137.846853,
長野県,泰阜村,7,三耕地,下打沢教員住宅付近,35.393317,137.846043,
長野県,泰阜村,8,三耕地,扇屋商店前付近,35.389445,137.850491,
長野県,泰阜村,9,三耕地,桑不取前付近,35.387221,137.847329,
長野県,泰阜村,10,平島田,泰阜村総合体育館前付近,35.37798,137.846862,
長野県,泰阜村,11,平島田,お宮下付近,35.37807,137.843251,
長野県,泰阜村,12,平島田,masked,35.37832,137.837084,
長野県,泰阜村,13,柿野,柿野中央線県道交差点付近,35.382664,137.843257,
長野県,泰阜村,14,柿野,生活改善センター付近,35.383237,137.840615,
長野県,泰阜村,15,明島,牧立入口付近,35.379906,137.830718,
長野県,泰阜村,16,明島,明島峰三叉路付近,35.37703,137.833209,
長野県,泰阜村,17,左京,お宮下三叉路付近,35.366688,137.840378,
長野県,泰阜村,18,門島,下明島踏切付近,35.370618,137.82196,
長野県,泰阜村,19,門島,門島郵便局前三叉路付近,35.374958,137.813061,
長野県,泰阜村,20,唐笠,masked,35.394895,137.819112,
長野県,泰阜村,21,唐笠,よしが沢三叉路付近,35.396457,137.825316,
長野県,泰阜村,22,万場,万場尻三叉路付近,35.386971,137.838177,
長野県,泰阜村,23,万場,masked,35.385663,137.834505,
長野県,泰阜村,24,黒見,生活改善センター付近,35.383896,137.823119,
長野県,泰阜村,25,黒見,かどや付近,35.385872,137.82986,
長野県,泰阜村,26,田本,泰阜学校入口付近,35.354756,137.840572,
長野県,泰阜村,27,田本,お宮入口付近,35.352091,137.84556,
長野県,泰阜村,28,田本,消防詰所付近,35.354357,137.847054,
長野県,泰阜村,29,田本,旧南診療所付近,35.350718,137.848774,
長野県,泰阜村,30,田本,masked,35.354408,137.8439,
長野県,泰阜村,31,梨久保,お宮入口付近,35.362225,137.865679,
長野県,泰阜村,32,梨久保,屋平入口付近,35.375784,137.867699,
長野県,泰阜村,33,大畑,生活改善センター入口付近,35.343946,137.849691,
長野県,泰阜村,34,大畑,旧南小学校入口付近,35.344543,137.847528,
長野県,泰阜村,35,大畑,早木場下付近,35.341127,137.84813,
長野県,泰阜村,36,温田,温田駅前,35.336464,137.841336,
長野県,泰阜村,37,温田,南多目的集会センター入口付近,35.334999,137.841375,
長野県,泰阜村,38,温田,masked,35.334579,137.846227,
長野県,泰阜村,39,温田,八森団地住宅入口付近,35.332241,137.841611,
長野県,泰阜村,40,我科,masked,35.326345,137.834469,
長野県,泰阜村,41,漆平野,漆平野お宮上付近,35.334137,137.855596,
長野県,泰阜村,42,栃城,生活改善センター付近,35.347686,137.900252,
