prefecture,city,number,address,name,lat,long,note
長野県,生坂村,1-1,７５５－１,小立野　京畑バス停,36.42517,137.9274909,
長野県,生坂村,1-2,１０１２－１,小立野　グラウンド入口,36.42517,137.9274909,
長野県,生坂村,1-3,３０１１－１,下生野　バス停,36.42517,137.9274909,
長野県,生坂村,1-4,３２４０－１,下生野　南部交流センター,36.42517,137.9274909,
長野県,生坂村,1-5,３３７４,下生野　日本電熱角,36.42517,137.9274909,
長野県,生坂村,1-6,大字北陸郷９７７２,masked,36.4377117,137.919347,緯度経度は怪しい
長野県,生坂村,1-7,大字北陸郷８７７７,日岐　公民館前,36.4377117,137.919347,緯度経度は怪しい
長野県,生坂村,2-8,４６２５－３,上生坂　小舟御堂橋,36.42517,137.9274909,
長野県,生坂村,2-9,５２０４－1,道の駅　いくさかの郷,36.42517,137.9274909,
長野県,生坂村,2-10,５５０９－２,道の駅近隣　役場下バス停,36.42517,137.9274909,
長野県,生坂村,2-11,６２６５－１,道の駅近隣　上生坂バス停,36.42517,137.9274909,
長野県,生坂村,2-12,６５０１－９,道の駅近隣　中村団地公民館,36.42517,137.9274909,
長野県,生坂村,2-13,大字北陸郷１３１８２,masked,36.4340692,137.9313617,緯度経度は怪しい
長野県,生坂村,2-14,大字北陸郷１２９７８,草尾　牛沢バス停,36.4377117,137.919347,緯度経度は怪しい
長野県,生坂村,3-15,８５４８,下生坂　消防詰所前,36.42517,137.9274909,
長野県,生坂村,3-16,８９４２,下生坂　雲根バス停,36.42517,137.9274909,
長野県,生坂村,3-17,大字東広津１８１８８－１,梶   本　昭津公民館入口,36.4518874,137.9366629,緯度経度は怪しい
長野県,生坂村,3-18,生坂村　　１９１６５,大日向　農協北部支所前,36.42517,137.9274909,
長野県,生坂村,3-19,１００３２,下生坂　込地橋,36.42517,137.9274909,
長野県,生坂村,3-20,１００３２-１４６３１－１,masked,36.42517,137.9274909,
長野県,生坂村,3-21,１００３２-１６０４６－１４,masked,36.42517,137.9274909,
長野県,生坂村,3-22,１００３２-１２１６２－１地先,古　坂　　旧松島商店横,36.42517,137.9274909,
