prefecture,city,number,address,name,lat,long,note
長野県,立科町,1,芦田１１４３,masked,36.272329,138.320879,
長野県,立科町,2,芦田１９３１,立科町役場入口信号南東ガードレール,36.272932,138.318445,
長野県,立科町,3,芦田２５３２,役場前公衆電話横フエンス,36.272527,138.315339,
長野県,立科町,4,芦田２５４３−６,masked,36.273821,138.316878,
長野県,立科町,5,芦田２６４６,旧芦田郵便局,36.272923,138.312654,
長野県,立科町,6,芦田２４８０−２,masked,36.271809,138.312023,
長野県,立科町,7,大字山部１０３−１,サンコーポ芦田宿ごみ集積所横,36.271905,138.308836,
長野県,立科町,8,芦田１１２５−１,ツルヤ駐車場西側フェンス,36.27526,138.321882,
長野県,立科町,9,芦田６１３,masked,36.26803,138.318314,
長野県,立科町,10,茂田井３１８−１,masked,36.265147,138.317143,
長野県,立科町,11,芦田４９０,古町コミュニティーセンター横ガードフェンス,36.263345,138.316537,
長野県,立科町,12,芦田姥ヶ懐公民館,消防庫前,36.25966,138.308206,
長野県,立科町,13,芦田５０４４−２,中尾美上下集会所前,36.235167,138.301132,
長野県,立科町,14,芦田５１４６,美上下バス停前フエンス,36.224072,138.296158,
長野県,立科町,15,芦田１８２９,長岡製作所入口横フェンス,36.277755,138.321286,
長野県,立科町,16,芦田１０９６,釜石集会所,36.277732,138.324762,
長野県,立科町,17,芦田１８２２,旧釜石口バス停前フエンス,36.278741,138.322772,
長野県,立科町,18,芦田１２８０,野方公民館前ガードレール,36.281075,138.323878,
長野県,立科町,19,芦田１３２１−１,masked,36.282448,138.328,
長野県,立科町,20,芦田１４４１−１,野方4部旧集会所,36.283522,138.328802,
長野県,立科町,21,芦田１０２８,masked,36.282361,138.329721,
長野県,立科町,22,芦田３０７６,masked,36.276868,138.314896,
長野県,立科町,23,芦田２８５２−１,masked,36.27653,138.316713,
長野県,立科町,24,芦田２８９２−１,masked,36.275508,138.317089,
長野県,立科町,25,芦田２９９１−６,たてしな保育園フェンス,36.281524,138.317289,
長野県,立科町,26,芦田３０２４−２,masked,36.278766,138.316483,
長野県,立科町,27,芦田３２３５−３,JA農機センター入り口フェンス,36.283879,138.317124,
長野県,立科町,28,芦田,中原公会所フェンス,36.286657,138.316863,
長野県,立科町,29,芦田３４００,ろくかわ斜向かいガードレール,36.287269,138.318808,
長野県,立科町,30,芦田３５０７−１,masked,36.289232,138.316747,
長野県,立科町,31,山部蓼科高校,蓼科高校学校バス回転所,36.285988,138.312427,
長野県,立科町,32,芦田３６６０,蓼科高校東側道路ガードレール,36.287882,138.313761,
長野県,立科町,33,立科町芦田八ケ野,女神湖体育館前歩道ガードレール,36.133774,138.269191,
長野県,立科町,34,,派出所前,36.128682,138.271598,
長野県,立科町,35,芦田八ケ野,箕輪平バス停横ガードレール,36.114192,138.260931,
長野県,立科町,36,芦田八ケ野１５１２,白樺湖信号北側,36.111826,138.245302,
長野県,立科町,37,芦田,スノーシェード北側入口ガードレール,36.178942,138.282267,
長野県,立科町,38,山部２１４−３,上房公民館横ガードレール,36.273784,138.306592,
長野県,立科町,39,山部,上房バス停前フェンス,36.275032,138.307575,
長野県,立科町,40,山部,㈲立科サービスセンター前ガードレール,36.280774,138.304911,
長野県,立科町,41,山部８４８−２,山部公会所フエンス,36.281687,138.304905,
長野県,立科町,42,山部,関商店前ガードレール,36.283234,138.305272,
長野県,立科町,43,山部８２０,masked,36.28267,138.304715,
長野県,立科町,44,山部１２５４,真蒲消防庫横フェンス,36.285999,138.310275,
長野県,立科町,45,山部９９３−１,町営住宅内遊園地フエンス,36.284473,138.309907,
長野県,立科町,46,宇山１６５５−１,㈱高橋組前ガードレール,36.272618,138.297554,
長野県,立科町,47,宇山１７１８−１,石川集会所入口フエンス,36.273587,138.297893,
長野県,立科町,48,宇山１４８１−１,masked,36.272733,138.294462,
長野県,立科町,49,宇山８８１,masked,36.276015,138.291946,
長野県,立科町,50,宇山,龍の子公園　入口,36.273558,138.28866,
長野県,立科町,51,宇山,神社前,36.281132,138.290328,
長野県,立科町,52,宇山 蟹窪,蟹窪消防庫 道向いガードレール,36.281705,138.288757,
長野県,立科町,53,宇山３９１−１,masked,36.281856,138.286754,
長野県,立科町,54,山部,滝神バス停留所,36.288045,138.300537,
長野県,立科町,55,山部１４９０−２,若草保育園フエンス,36.288127,138.300768,
長野県,立科町,56,山部２２３５,masked,36.290871,138.305395,
長野県,立科町,57,山部平林,平林公民館前,36.292257,138.306475,
長野県,立科町,58,平林,番屋川橋西側ガードレール,36.292264,138.309023,
長野県,立科町,59,牛鹿,牛鹿公民館前ガードレール,36.292178,138.29863,
長野県,立科町,60,牛鹿,牛鹿バス停裏フェンス,36.293155,138.299307,
長野県,立科町,61,牛鹿１２７４−１,外倉公民館バス停ガードレール,36.302753,138.294017,
長野県,立科町,62,牛鹿１２１４−２,駒形神社境内,36.301517,138.290981,
長野県,立科町,63,牛鹿１２６６,立科精機前ガードパイプ,36.302828,138.295624,
長野県,立科町,64,牛鹿１５７０,外倉原ゴミ集積所横,36.30214,138.300355,
長野県,立科町,65,牛鹿１９００,公民館,36.29634,138.295667,
長野県,立科町,66,牛鹿５３３−１,集会所横ガードレール,36.307484,138.290746,
長野県,立科町,67,牛鹿２７４−１,上八重原口停留所,36.311203,138.292947,
長野県,立科町,68,牛鹿１８０−２,虎御前公民館前ガードレール,36.314001,138.292244,
長野県,立科町,69,塩沢８１３,masked,36.287611,138.332109,
長野県,立科町,70,塩沢,masked,36.289986,138.33222,
長野県,立科町,71,塩沢５０９−１,立科ホーム入口ガードレール,36.289767,138.335178,
長野県,立科町,72,塩沢７７８−２,masked,36.288584,138.333028,
長野県,立科町,73,塩沢８８２,西塩沢農村公園前ガードパイプ,36.289024,138.328167,
長野県,立科町,74,塩沢１０４７−１７,masked,36.288398,138.326397,
長野県,立科町,75,塩沢１１５８,西塩沢公民館前フェンス,36.292413,138.329959,
長野県,立科町,76,塩沢１４６６,塩沢1706番地前ガードパイプ,36.293718,138.331334,
長野県,立科町,77,塩沢,三葉保育園跡地,36.29925,138.326691,
長野県,立科町,78,藤沢５０２−３,バイパス入口手前右側ガードパイプ,36.307919,138.327665,
長野県,立科町,79,藤沢５０５−５,藤沢農業生活改善施設フエンス,36.31038,138.329711,
長野県,立科町,80,藤沢４２９−１,masked,36.311756,138.330533,
長野県,立科町,81,藤沢,藤沢下入口ガードレール,36.313216,138.331196,
長野県,立科町,82,藤沢蟹原公会所,蟹原公会所前,36.307119,138.31061,
長野県,立科町,83,藤沢１０２０−１,masked,36.306188,138.315969,
長野県,立科町,84,桐原４５９,masked,36.295016,138.314262,
長野県,立科町,85,桐原４９８−２,桐原生活協同館フエンス,36.296895,138.315108,
長野県,立科町,86,桐原６２７,大森電気㈱入口ガードレール,36.298676,138.318973,
長野県,立科町,87,桐原３３３−３,masked,36.292861,138.315289,
長野県,立科町,88,桐原３６７,masked,36.292187,138.314157,
長野県,立科町,89,桐原２５８−７,masked,36.291635,138.316768,
長野県,立科町,90,桐原２３１−１,細谷住宅団地入口ガードレール,36.293867,138.317256,
長野県,立科町,91,桐原２１０−１,町営住宅道路ガードレール,36.296059,138.318336,
長野県,立科町,92,茂田井,町営住宅フェンス,36.269192,138.331447,
長野県,立科町,93,茂田井,茂田井上停留所横,36.269967,138.327878,
長野県,立科町,94,茂田井８３９,masked,36.270205,138.329068,
長野県,立科町,95,茂田井１６２２−１６,masked,36.271319,138.336769,
長野県,立科町,96,茂田井１５８５,諏訪神社入口左側マレットゴルフ場,36.270229,138.335102,
長野県,立科町,97,芦田９６０−３１,masked,36.284782,138.332762,
長野県,立科町,98,芦田９６０−１２６,masked,36.284853,138.336158,
長野県,立科町,99,芦田９６０−１７１,masked,36.285775,138.335654,
長野県,立科町,100,芦田９６０−１,大城公会所横フェンス,36.284651,138.334512,
