prefecture,city,number,address,name,lat,long,note
長野県,茅野市,1,上原,上原山の根線,36.00251, 138.1478,
長野県,茅野市,2,上原,アクアランド茅野カルチャセンター,36.00258, 138.14086,
長野県,茅野市,3,上原,頼岳寺入口,36.0092, 138.14255,
長野県,茅野市,4,上原,野村ユニソン,36.00909, 138.1394,
長野県,茅野市,5,上原,江川橘,36.00397, 138.13934,
長野県,茅野市,6,上原,上原北,36.00607, 138.14149,
長野県,茅野市,7,,あけぼの隧道,35.99882, 138.14269,
長野県,茅野市,8,上原,上原交差点歩道橋,35.99868, 138.14679,
長野県,茅野市,9,上原,国道頼岳寺入口,36.00772, 138.14039,
長野県,茅野市,10,上原,,36.00102, 138.14509,
長野県,茅野市,11,横内,横内交差点,35.99567, 138.14714,
長野県,茅野市,12,横内,達屋酢蔵神社,35.99507, 138.14758,
長野県,茅野市,13,横内,よこうち認定こども園,35.99725, 138.14561,
長野県,茅野市,14,横内,,35.99696, 138.14342,
長野県,茅野市,15,横内,駅前,35.99375, 138.15101,
長野県,茅野市,16,横内,横内送水場,35.99299, 138.14657,
長野県,茅野市,17,横内,,35.99664, 138.14827,
長野県,茅野市,18,茅野町,森の家,35.99578, 138.15022,
長野県,茅野市,19,茅野町,ベルビア,35.99371, 138.15222,
長野県,茅野市,20,茅野町,旧長野日報ビル,35.99145, 138.15374,
長野県,茅野市,21,茅野町,茅野町交差点,35.99154, 138.15049,
長野県,茅野市,22,仲町,市民館,35.995, 138.15299,
長野県,茅野市,23,仲町,日本生命茅野支所,35.99413, 138.15437,
長野県,茅野市,24,仲町,農協ビル,35.99431, 138.15312,
長野県,茅野市,25,仲町,,35.99263, 138.15403,
長野県,茅野市,26,仲町,聖母幼稚園,35.99337, 138.15648,
長野県,茅野市,27,仲町,有寒天倉庫,35.99177, 138.1581,
長野県,茅野市,28,仲町,公園大橋,35.99352, 138.16168,
長野県,茅野市,29,塚原,県道茅野八子ヶ峰線T字路交差点,35.996, 138.15236,
長野県,茅野市,30,塚原,オギノ茅野ショッピングセンター,35.99997, 138.1514,
長野県,茅野市,31,塚原,北原石材店資材置き場,35.99959, 138.15462,
長野県,茅野市,32,塚原,茅野駅入口交差点,35.99656, 138.15082,
長野県,茅野市,33,塚原,ファミリーレストランウッドマン,35.99399, 138.15888,
長野県,茅野市,34,塚原,ちの保育園,35.99897, 138.15293,
長野県,茅野市,35,塚原,,35.99526, 138.1591,
長野県,茅野市,36,塚原,白岩観音,35.99468, 138.15568,
長野県,茅野市,37,塚原,都市計画道路塚原線シマダヤ駐車場,35.9958, 138.15756,
長野県,茅野市,38,塚原,茅野環境館,35.9965, 138.15828,
長野県,茅野市,39,本町,ちの皮フ科,35.99641, 138.16198,
長野県,茅野市,40,本町,豊島屋ガソリンスタンド,35.99601, 138.16186,
長野県,茅野市,41,本町,御座石神社,36.0026968,138.1732291,
長野県,茅野市,42,本町,国道152号線(ビーナスライン)ファミリーマート,36.00068, 138.16835,
長野県,茅野市,43,本町,甲信クボタ茅野支店フェンス前北側道,35.99958, 138.16636,
長野県,茅野市,44,本町,中部電力,35.99862, 138.15872,
長野県,茅野市,45,本町,旭屋金物店,35.99729, 138.16541,
長野県,茅野市,46,本町,ツルヤ西側,35.9992, 138.16844,
長野県,茅野市,47,本町,矢ヶ崎橋,35.99558, 138.16415,
長野県,茅野市,48,本町,御座石神社,36.00196, 138.17355,
長野県,茅野市,49,本町,旧ツチハシ,35.99609, 138.16448,
長野県,茅野市,50,本町,粟沢橘,35.9984, 138.17105,
長野県,茅野市,51,城山,城山入口,36.00334, 138.17043,
長野県,茅野市,52,城山,城山南側,36.00373, 138.17107,
長野県,茅野市,53,城山,城山上,36.00557, 138.16915,
長野県,茅野市,54,城山,城山公民館,36.00424, 138.16907,
長野県,茅野市,55,高部,高部橋,35.99749, 138.13099,
長野県,茅野市,56,,下馬橋,35.99545, 138.12978,
長野県,茅野市,57,,ほんばの池公園,35.99581, 138.13258,
長野県,茅野市,58,,新井公園,35.99816, 138.13507,
長野県,茅野市,59,新井,沖田三丁目,36.00077, 138.13468,
長野県,茅野市,60,中沖,新井姫宮橋,35.99657, 138.13492,
