prefecture,city,district,number,address,name,lat,long,note
京都府,京都市,京都2区,左京区-1-1,左京区聖護院蓮華蔵町35番地,上下水道局疏水事務所,35.0159308,135.7756504,
京都府,京都市,京都2区,左京区-1-2,左京区新東洞院町252番地,元新洞小学校(南側),35.0120187,135.7749702,
京都府,京都市,京都2区,左京区-1-3,左京区新東洞院町252番地,元新洞小学校(東側),35.0120187,135.7749702,
京都府,京都市,京都2区,左京区-1-4,左京区新東洞院町252番地,元新洞小学校(西側),35.0120187,135.7749702,
京都府,京都市,京都2区,左京区-1-5,左京区法林寺門前町36番地,だん王保育園(北側),35.0100919,135.7730404,
京都府,京都市,京都2区,左京区-1-6,左京区法皇寺町448番地,要法寺東側ガレージ,35.0104501,135.7774354,
京都府,京都市,京都2区,左京区-1-7,左京区大菊町96番地,頂妙寺駐車場,35.012782,135.7741944,
京都府,京都市,京都2区,左京区-1-8,左京区東門前町527番地1,満足稲荷神社,35.010714,135.7785154,
京都府,京都市,京都2区,左京区-2-1,左京区岡崎東福ノ川町2番地3,京都大学医学部納骨墓地,35.0204296,135.7861588,
京都府,京都市,京都2区,左京区-2-2,左京区岡崎東福ノ川町9番地,白河総合支援学校(北西角),35.0206763,135.7854642,
京都府,京都市,京都2区,左京区-2-3,左京区岡崎入江町1番地の1,錦林小学校(北側),35.0180458,135.782253,
京都府,京都市,京都2区,左京区-2-4,左京区岡崎円勝寺町124番地,京都市美術館(東側南),35.0132305,135.7841327,
京都府,京都市,京都2区,左京区-2-5,左京区岡崎入江町1番地の1,錦林小学校グラウンド(南側),35.0180458,135.782253,
京都府,京都市,京都2区,左京区-2-6,左京区岡崎最勝寺町,岡崎公園(テニスコート東側),35.0144129,135.7820191,
京都府,京都市,京都2区,左京区-2-7,左京区聖護院円頓美町46番地2,京都市武道センター(西側),35.0169923,135.780837,
京都府,京都市,京都2区,左京区-2-8,左京区岡崎最勝寺町,上下水道局管理地(二条橋北側西),35.0144129,135.7820191,
京都府,京都市,京都2区,左京区-2-9,左京区岡崎成勝寺町9番地,岡崎公園(京都府立図書館北側),35.0129717,135.781993,
京都府,京都市,京都2区,左京区-2-10,左京区岡崎徳成町5番地,京都外国語専門学校(西側),35.0141747,135.7777147,
京都府,京都市,京都2区,左京区-2-11,左京区下堤町,京阪電鉄(株)地下鉄換気場(川端通東側),35.016188,135.7725373,
京都府,京都市,京都2区,左京区-2-12,左京区聖護院蓮華蔵町,上下水道局管理地(熊野橋西側南),35.0154497,135.7763891,
京都府,京都市,京都2区,左京区-2-13,左京区聖護院山王町43番地,熊野神社(南側),35.0177347,135.7782008,
京都府,京都市,京都2区,左京区-3-1,左京区岡崎東天王町1番地,岡崎中学校(西側),35.0162618,135.7895886,
京都府,京都市,京都2区,左京区-3-2,左京区岡崎東天王町1番地,岡崎中学校(南側),35.0162618,135.7895886,
京都府,京都市,京都2区,左京区-3-3,左京区岡崎東天王町1番地,岡崎中学校(北側),35.0162618,135.7895886,
京都府,京都市,京都2区,左京区-3-4,左京区鹿ケ谷高岸町3番地の2,京都市左京東部いきいき市民活動センター(東側),35.0157719,135.7930535,
京都府,京都市,京都2区,左京区-3-5,左京区鹿ケ谷高岸町3番地の2,錦林保育園(南側),35.0157719,135.7930535,
京都府,京都市,京都2区,左京区-3-6,左京区岡崎法勝寺町22番地,京都市動物園(北側),35.0136602,135.7870571,
京都府,京都市,京都2区,左京区-3-7,左京区岡崎法勝寺町22番地,京都市動物園(北側西),35.0136602,135.7870571,
京都府,京都市,京都2区,左京区-3-8,左京区岡崎法勝寺町22番地,京都市動物園(東側),35.0136602,135.7870571,
京都府,京都市,京都2区,左京区-4-1,左京区浄土寺下南田町,左京土木みどり事務所管理地(白川東岸),35.0235803,135.7941705,
京都府,京都市,京都2区,左京区-4-2,左京区鹿ケ谷上宮ノ前町10番地,ひまわり保育園,35.0183123,135.7922769,
京都府,京都市,京都2区,左京区-4-3,左京区鹿ケ谷法然院町,ちびっこひろば(西側),35.0223129,135.7956526,
京都府,京都市,京都2区,左京区-4-4,左京区鹿ケ谷上宮ノ前町37番地,左京消防署鹿ケ谷消防出張所(南側),35.0199683,135.7930497,
京都府,京都市,京都2区,左京区-4-5,左京区鹿ケ谷宮ノ前町6番地,第三錦林小学校(東側南),35.0185984,135.7932627,
京都府,京都市,京都2区,左京区-4-6,左京区鹿ケ谷宮ノ前町6番地,第三錦林小学校(北側),35.0185984,135.7932627,
京都府,京都市,京都2区,左京区-4-7,左京区浄土寺上南田町32番地,南田公園(南側),35.0253759,135.7950597,
京都府,京都市,京都2区,左京区-4-8,左京区浄土寺上南田町32番地,南田公園(北側),35.0253759,135.7950597,
京都府,京都市,京都2区,左京区-5-1,左京区吉田近衛町26番地1,府営住宅吉田近衛団地(西側),35.0212629,135.78062,
京都府,京都市,京都2区,左京区-5-2,左京区吉田本町,左京土木みどり事務所管理地(百万遍交差点南東角),35.0270496,135.7823155,
京都府,京都市,京都2区,左京区-5-3,左京区吉田本町(同町26番地付近),左京土木みどり事務所管理地,35.0270496,135.7823155,
京都府,京都市,京都2区,左京区-5-4,左京区吉田下大路町15番地(近衛通吉田東通北西),左京土木みどり事務所管理地,35.0213784,135.7821611,
京都府,京都市,京都2区,左京区-5-5,左京区吉田近衛町26番地の53,近衛中学校(北側西),35.0217712,135.7799846,
京都府,京都市,京都2区,左京区-5-6,左京区吉田近衛町26番地の53,近衛中学校(北側東),35.0217712,135.7799846,
京都府,京都市,京都2区,左京区-5-7,左京区吉田近衛町26番地の53,近衛中学校(東側南),35.0217712,135.7799846,
京都府,京都市,京都2区,左京区-5-8,左京区吉田上大路町,吉田神社参道(西側),35.0244005,135.7832045,
京都府,京都市,京都2区,左京区-6-1,左京区吉田泉殿町,京都大学西部講堂(西側),35.0272455,135.777278,
京都府,京都市,京都2区,左京区-6-2,左京区吉田河原町15番地18,吉田河原公園(東側),35.0234629,135.7737753,
京都府,京都市,京都2区,左京区-6-3,左京区吉田泉殿町49番地の1,泉殿公園,35.02695,135.7761576,
京都府,京都市,京都2区,左京区-6-4,左京区吉田橘町29番地の1,関西電力送配電(株)一条変電所,35.023564,135.7758335,
京都府,京都市,京都2区,左京区-6-5,左京区吉田河原町14番地,(公財)京都技術科学センター,35.0236874,135.7733254,
京都府,京都市,京都2区,左京区-6-6,左京区吉田中阿達町1番地,京都大学大学院総合生存学館(東側),35.0256725,135.7753233,
京都府,京都市,京都2区,左京区-6-7,左京区吉田上阿達町15番地の2,第四錦林小学校(正門西側),35.0254732,135.7751113,
京都府,京都市,京都2区,左京区-6-8,左京区吉田下阿達町46番地,京都大学東南アジア研究所(北側),35.0209334,135.7740951,
京都府,京都市,京都2区,左京区-7-1,左京区浄土寺東田町,(株)ミツワ左京ガスセンター駐車場(西側),35.0267991,135.7920956,
京都府,京都市,京都2区,左京区-7-2,左京区浄土寺石橋町62番地,京都市銀閣寺観光駐車場,35.026672,135.795048,
京都府,京都市,京都2区,左京区-7-3,左京区浄土寺真如町155番地,交通局烏丸営業所錦林出張所(西側北),35.0210037,135.7919267,
京都府,京都市,京都2区,左京区-7-4,左京区銀閣寺町,上下水道局管理地(銀閣寺西橋東側),35.0273003,135.7968383,
京都府,京都市,京都2区,左京区-7-5,左京区浄土寺馬場町48番地,(一財)川越病院,35.0243332,135.7929121,
京都府,京都市,京都2区,左京区-7-6,左京区吉田神楽岡町107番地,コドモのイエ幼稚園,35.0245682,135.7895295,
京都府,京都市,京都2区,左京区-7-7,左京区浄土寺真如町155番地,交通局烏丸営業所錦林出張所(東側南),35.0210037,135.7919267,
京都府,京都市,京都2区,左京区-7-8,左京区浄土寺下馬場町52番地,馬場公園(東側),35.0237635,135.7903173,
京都府,京都市,京都2区,左京区-7-9,左京区浄土寺下馬場町52番地,馬場公園(南側),35.0237635,135.7903173,
京都府,京都市,京都2区,左京区-8-1,左京区北白川伊織町,左京土木みどり事務所管理地(白川疏水右岸),35.0360002,135.7891317,
京都府,京都市,京都2区,左京区-8-2,左京区北白川久保田町,左京土木みどり事務所管理地(浄土寺橋西側南),35.0290487,135.7897245,
京都府,京都市,京都2区,左京区-8-3,左京区北白川上別当町10番地,中山ガレージ,35.0325619,135.7922438,
京都府,京都市,京都2区,左京区-8-4,左京区北白川別当町70番地,北白川小学校(北側),35.0317578,135.792511,
京都府,京都市,京都2区,左京区-8-5,左京区北白川別当町70番地,北白川小学校(南側),35.0317578,135.792511,
京都府,京都市,京都2区,左京区-8-6,左京区北白川小倉町50番地227,京都大学北白川学舎(西側),35.0318697,135.7902732,
京都府,京都市,京都2区,左京区-8-7,左京区北白川久保田町79番地1,疏水緑地帯(南側),35.0290487,135.7897245,
京都府,京都市,京都2区,左京区-8-8,左京区北白川瀬ノ内町46番地,上終公園(北東角),35.0359868,135.7903173,
京都府,京都市,京都2区,左京区-8-9,左京区北白川西町,左京土木みどり事務所管理地(白川疏水左岸),35.0303292,135.7870571,
京都府,京都市,京都2区,左京区-8-10,左京区北白川西蔦町27番地,京都府警西蔦町待機宿舎,35.0330675,135.7867473,
京都府,京都市,京都2区,左京区-8-11,左京区北白川東平井町,左京土木みどり事務所管理地(白川疏水左岸),35.035387,135.7880944,
京都府,京都市,京都2区,左京区-8-12,左京区北白川東蔦町,左京土木みどり事務所管理地(白川疏水左岸),35.033578,135.7883908,
京都府,京都市,京都2区,左京区-8-13,左京区北白川瀬ノ内町46番地,上終公園(西側),35.0359868,135.7903173,
京都府,京都市,京都2区,左京区-9-1,左京区久多川合町192番地3,消防団器具庫,35.2714713,135.8422134,
京都府,京都市,京都2区,左京区-9-2,左京区久多下の町203番地,久多いきいきセンター,35.2639423,135.8235012,
京都府,京都市,京都2区,左京区-9-3,左京区久多宮の町3番地,左京区役所久多出張所,35.2652011,135.8191451,
京都府,京都市,京都2区,左京区-9-4,左京区久多上の町,小畑貞子氏所有地(同町110番地西),35.2984197,135.8042495,
京都府,京都市,京都2区,左京区-9-5,左京区久多中の町,檀林キミ子氏所有地(大川神社付近),35.2727781,135.820855,
京都府,京都市,京都2区,左京区-9-6,左京区久多宮の町,河原康博氏所有地(龍宝寺付近),35.2618214,135.8066214,
京都府,京都市,京都2区,左京区-10-1,左京区田中大堰町49番地,(公財)応用科学研究所(南側),35.030947,135.7773723,
京都府,京都市,京都2区,左京区-10-2,左京区田中馬場町25番地,養正市営住宅13棟(東側),35.0330034,135.7758357,
京都府,京都市,京都2区,左京区-10-3,左京区田中玄京町149番地,左京西部いきいき市民活動センター(南西角),35.0324119,135.776352,
京都府,京都市,京都2区,左京区-10-4,左京区田中飛鳥井町1番地,養正小学校(西側),35.0319341,135.7802411,
京都府,京都市,京都2区,左京区-10-5,左京区田中飛鳥井町1番地,養正小学校(北側),35.0319341,135.7802411,
京都府,京都市,京都2区,左京区-10-6,左京区田中馬場町,養正公園(西側),35.0328274,135.7749076,
京都府,京都市,京都2区,左京区-10-7,左京区田中飛鳥井町7番地,飛鳥井公園(西側),35.0319341,135.7802411,
京都府,京都市,京都2区,左京区-10-8,左京区田中門前町103番地,百萬遍知恩寺(北側),35.0307884,135.78015,
京都府,京都市,京都2区,左京区-10-9,左京区田中上玄京町,叡山電鉄(株)叡山本線出町柳4号踏切(南側東),35.03362740000001,135.7778706,
京都府,京都市,京都2区,左京区-10-10,左京区田中下柳町,左京土木みどり事務所管理地(出町柳駅前バス停付近),35.0293788,135.7728336,
京都府,京都市,京都2区,左京区-10-11,左京区田中関田町22番地,メグミ幼児園,35.0294507,135.7746259,
京都府,京都市,京都2区,左京区-10-12,左京区田中関田町2番地26,府営住宅田中関田団地(西側),35.0285076,135.7764481,
京都府,京都市,京都2区,左京区-11-1,左京区高野泉町,京都土木事務所管理地(大城田町バス停付近),35.0470216,135.7846862,
京都府,京都市,京都2区,左京区-11-2,左京区高野泉町,左京土木みどり事務所管理地(川端通西側),35.0470216,135.7846862,
京都府,京都市,京都2区,左京区-11-3,左京区高野玉岡町1番地の146,玉岡公園(南側),35.0443534,135.782885,
京都府,京都市,京都2区,左京区-11-4,左京区高野玉岡町5番地,障害者スポーツセンター(東側),35.0449552,135.7832045,
京都府,京都市,京都2区,左京区-11-5,左京区高野竹屋町4番地,左京土木みどり事務所,35.0424383,135.7801545,
京都府,京都市,京都2区,左京区-11-6,左京区高野蓼原町,左京土木みどり事務所管理地(御蔭橋バス停付近),35.03503610000001,135.7760928,
京都府,京都市,京都2区,左京区-11-7,左京区高野西開町,左京土木みどり事務所管理地(高野橋東詰バス停付近),35.0398667,135.7787595,
京都府,京都市,京都2区,左京区-11-8,左京区高野西開町34番地の3,東部まち美化事務所,35.0395249,135.7782075,
京都府,京都市,京都2区,左京区-11-9,左京区高野東開町1番地の6,東開公園(西側),35.03865529999999,135.7805234,
京都府,京都市,京都2区,左京区-11-10,左京区高野東開町1番地の6,東開公園(東側),35.03865529999999,135.7805234,
京都府,京都市,京都2区,左京区-11-11,左京区高野西開町34番地の7,西開公園(北側),35.0395659,135.7788243,
京都府,京都市,京都2区,左京区-12-1,左京区田中上古川町25番地,高野中学校(北側),35.0396714,135.7837972,
京都府,京都市,京都2区,左京区-12-2,左京区田中上古川町25番地,高野中学校(西側),35.0396714,135.7837972,
京都府,京都市,京都2区,左京区-12-3,左京区田中大久保町68番地,叡山電鉄(株)叡山本線元田中1号踏切(南側東),35.0363516,135.7826118,
京都府,京都市,京都2区,左京区-12-4,左京区田中上大久保町24番地,養徳小学校(北側),35.0372058,135.7831627,
京都府,京都市,京都2区,左京区-12-5,左京区田中上大久保町24番地,養徳小学校(南側),35.0372058,135.7831627,
京都府,京都市,京都2区,左京区-12-6,左京区田中北春菜町8番地,高原公園(西側),35.0371649,135.7843899,
京都府,京都市,京都2区,左京区-12-7,左京区田中西大久保町36番地,左京消防署公舎(西側),35.0364845,135.7809097,
京都府,京都市,京都2区,左京区-12-8,左京区田中高原町25番地,京都芸術大学高原校舎(南側),35.0366771,135.7867281,
京都府,京都市,京都2区,左京区-12-9,左京区田中西浦町46番地,関西電力送配電(株)田中変電所,35.0358208,135.779666,
京都府,京都市,京都2区,左京区-13-1,左京区下鴨貴船町61番地,中川原公園(南側),35.0430243,135.7677462,
京都府,京都市,京都2区,左京区-13-2,左京区下鴨貴船町61番地,中川原公園(東側),35.0430243,135.7677462,
京都府,京都市,京都2区,左京区-13-3,左京区下鴨上川原町,左京土木みどり事務所管理地(北第一緯79号線),35.0433568,135.7645385,
京都府,京都市,京都2区,左京区-13-4,左京区下鴨宮崎町4番地の2,下鴨小学校(北側西),35.0374176,135.7684509,
京都府,京都市,京都2区,左京区-13-5,左京区下鴨宮崎町4番地の2,下鴨小学校(南側),35.0374176,135.7684509,
京都府,京都市,京都2区,左京区-13-6,左京区下鴨宮崎町4番地の2,下鴨小学校(西側南),35.0374176,135.7684509,
京都府,京都市,京都2区,左京区-13-7,左京区下鴨松原町,左京土木みどり事務所管理地(下鴨神社前バス停付近),35.0362776,135.7706115,
京都府,京都市,京都2区,左京区-13-8,左京区下鴨森本町21番地,京都府立視力障害者福祉センター,35.0377009,135.7715145,
京都府,京都市,京都2区,左京区-13-9,左京区下鴨宮河町1番地,京都家庭裁判所(西側),35.0324117,135.7717225,
京都府,京都市,京都2区,左京区-14-1,左京区下鴨泉川町,下鴨神社(南側 御蔭小橋付近),35.03658679999999,135.7740187,
京都府,京都市,京都2区,左京区-14-2,左京区下鴨松ノ木町,左京土木みどり事務所管理地(一本松バス停付近),35.0405145,135.7704634,
京都府,京都市,京都2区,左京区-14-3,左京区下鴨泉川町,下鴨神社(東側),35.03658679999999,135.7740187,
京都府,京都市,京都2区,左京区-14-4,左京区下鴨泉川町40番地の1,下鴨中学校(東側北),35.0383627,135.7750928,
京都府,京都市,京都2区,左京区-14-5,左京区下鴨泉川町40番地の1,下鴨中学校(北側),35.0383627,135.7750928,
京都府,京都市,京都2区,左京区-14-6,左京区下鴨泉川町40番地の1,下鴨中学校(東側南),35.0383627,135.7750928,
京都府,京都市,京都2区,左京区-14-7,左京区下鴨泉川町2番地,むつみ会駐車場(東側),35.0358963,135.7732873,
京都府,京都市,京都2区,左京区-15-1,左京区下鴨梅ノ木町59番地,洛北高等学校(東側),35.0455001,135.7716485,
京都府,京都市,京都2区,左京区-15-2,左京区下鴨梅ノ木町59番地,洛北高等学校(西側),35.0455001,135.7716485,
京都府,京都市,京都2区,左京区-15-3,左京区下鴨東梅ノ木町8番地,葵小学校(南側),35.0448108,135.7731576,
京都府,京都市,京都2区,左京区-15-4,左京区下鴨西本町,左京土木みどり事務所管理地(下鴨中通北大路北西),35.043731,135.7683896,
京都府,京都市,京都2区,左京区-15-5,左京区下鴨東梅ノ木町9番地,下鴨膳部公園,35.0449706,135.7736206,
京都府,京都市,京都2区,左京区-15-6,左京区下鴨東森ケ前町7番地,カトリック高野教会(南側),35.0431872,135.7779169,
京都府,京都市,京都2区,左京区-15-7,左京区下鴨本町,左京土木みどり事務所管理地(下鴨本通北大路北西角),35.0436917,135.7719447,
京都府,京都市,京都2区,左京区-15-8,左京区下鴨西高木町6番地,下鴨森が前公園(北側),35.0428258,135.7749076,
京都府,京都市,京都2区,左京区-15-9,左京区下鴨本町,左京土木みどり事務所管理地(下鴨本通北大路南東角),35.0436917,135.7719447,
京都府,京都市,京都2区,左京区-16-1,左京区下鴨北芝町40番地,北芝町公舎ひろば(南側),35.0531722,135.7683896,
京都府,京都市,京都2区,左京区-16-2,左京区下鴨北茶ノ木町13番地,茶ノ木原公園,35.054244,135.7719447,
京都府,京都市,京都2区,左京区-16-3,左京区下鴨南野々神町1番地,京都ノートルダム女子大学(東側南),35.0506274,135.7715229,
京都府,京都市,京都2区,左京区-16-4,左京区下鴨北野々神町26番地,北山ふれあいセンター(南側),35.0520226,135.7719447,
京都府,京都市,京都2区,左京区-16-5,左京区下鴨半木町1番地10,京都府職員研修・研究支援センター(南側),35.0459685,135.7669852,
京都府,京都市,京都2区,左京区-16-6,左京区下鴨萩ケ垣内町20番地,萩公園(東南角),35.0490117,135.7691649,
京都府,京都市,京都2区,左京区-16-7,左京区下鴨半木町,左京土木みどり事務所管理地(京都府立大学東側),35.0489103,135.7645385,
京都府,京都市,京都2区,左京区-16-8,左京区下鴨東岸本町,左京土木みどり事務所管理地(泉川東岸),35.0467137,135.7749076,
京都府,京都市,京都2区,左京区-16-9,左京区下鴨北野々神町26番地,北山ふれあいセンター(西側),35.0520226,135.7719447,
京都府,京都市,京都2区,左京区-17-1,左京区松ヶ崎久土町1番地,上下水道局松ヶ崎浄水場(南門西側),35.0477539,135.7815963,
京都府,京都市,京都2区,左京区-17-2,左京区松ヶ崎堂ノ上町7番地の2,左京区役所,35.0487576,135.7784326,
京都府,京都市,京都2区,左京区-17-3,左京区松ヶ崎小竹藪町24番地19,小竹藪公園(南側),35.049536,135.7855952,
京都府,京都市,京都2区,左京区-17-4,左京区松ヶ崎久土町1番地,上下水道局松ヶ崎浄水場(西側),35.0477539,135.7815963,
