prefecture,city,district,number,address,name,lat,long,note
千葉県,市川市,千葉5区,32-1,南八幡2丁目20-1勤労福祉センター,南八幡2丁目20-1勤労福祉センター,35.7136337,139.9272993,
千葉県,市川市,千葉5区,32-2,南八幡2丁目21-2ライオンズマンション市川本八幡,南八幡2丁目21-2ライオンズマンション市川本八幡,35.7124021,139.9263578,
千葉県,市川市,千葉5区,32-3,南八幡2丁目23-1葛南工業用水道事務所/西側,南八幡2丁目23-1葛南工業用水道事務所/西側,35.7118175,139.9297168,
千葉県,市川市,千葉5区,32-4,南八幡2丁目23-1葛南工業用水道事務所/南側,南八幡2丁目23-1葛南工業用水道事務所/南側,35.7118175,139.9297168,
千葉県,市川市,千葉5区,32-5,南八幡2丁目15南八幡公園/東側,南八幡2丁目15南八幡公園/東側,35.7132003,139.9302448,
千葉県,市川市,千葉5区,32-6,東大和田1丁目2-10市役所分庁舎C棟,東大和田1丁目2-10市役所分庁舎C棟,35.714089,139.9268678,
千葉県,市川市,千葉5区,32-7,南八幡2丁目15南八幡公園/西側,南八幡2丁目15南八幡公園/西側,35.7132003,139.9302448,
千葉県,市川市,千葉5区,33-1,masked,masked,35.7178432,139.9291369,
千葉県,市川市,千葉5区,33-2,masked,masked,35.7178432,139.9291369,
千葉県,市川市,千葉5区,33-3,南八幡1丁目17公用車専用駐車場,南八幡1丁目17公用車専用駐車場,35.7166,139.9296455,
千葉県,市川市,千葉5区,33-4,南八幡3丁目23コスモス公園,南八幡3丁目23コスモス公園,35.7165899,139.9258043,
千葉県,市川市,千葉5区,33-5,南八幡3丁目15-1白菊幼稚園,南八幡3丁目15-1白菊幼稚園,35.7181895,139.9269705,
千葉県,市川市,千葉5区,33-6,南八幡3丁目9八幡児童公園/南側,南八幡3丁目9八幡児童公園/南側,35.7190981,139.9291176,
千葉県,市川市,千葉5区,33-7,南八幡3丁目1地先八幡第2駐輪場,南八幡3丁目1地先八幡第2駐輪場,35.7198368,139.9297173,
千葉県,市川市,千葉5区,34-1,大和田1丁目1-3大和田小学校/正門,大和田1丁目1-3大和田小学校/正門,35.7176706,139.9216368,
千葉県,市川市,千葉5区,34-2,大和田1丁目1-3大和田小学校/裏門,大和田1丁目1-3大和田小学校/裏門,35.7176706,139.9216368,
千葉県,市川市,千葉5区,34-3,南八幡5丁目20-3南八幡デイサービスセンター,南八幡5丁目20-3南八幡デイサービスセンター,35.7188364,139.9210965,
千葉県,市川市,千葉5区,34-4,南八幡5丁目1地先八幡第1駐輪場,南八幡5丁目1地先八幡第1駐輪場,35.7218473,139.9251866,
千葉県,市川市,千葉5区,34-5,南八幡4丁目1地先JR本八幡駅/南口,南八幡4丁目1地先JR本八幡駅/南口,35.720938,139.9251568,
千葉県,市川市,千葉5区,34-6,南八幡4丁目18本八幡公園,南八幡4丁目18本八幡公園,35.7176761,139.924114,
千葉県,市川市,千葉5区,34-7,大和田1丁目15大和田公園,大和田1丁目15大和田公園,35.7143869,139.9177068,
千葉県,市川市,千葉5区,35-1,八幡1丁目1-1市役所第1庁舎,八幡1丁目1-1市役所第1庁舎,35.7217888,139.9310307,
千葉県,市川市,千葉5区,35-2,八幡2丁目17JR本八幡駅/北口,八幡2丁目17JR本八幡駅/北口,35.7217173,139.9274342,
千葉県,市川市,千葉5区,35-3,八幡4丁目5-7不二女子高校,八幡4丁目5-7不二女子高校,35.7247105,139.9292828,
千葉県,市川市,千葉5区,35-4,八幡4丁目2葛飾八幡宮参道,八幡4丁目2葛飾八幡宮参道,35.7241765,139.9311088,
千葉県,市川市,千葉5区,35-5,八幡5丁目19八幡東公園,八幡5丁目19八幡東公園,35.7257321,139.9369822,
千葉県,市川市,千葉5区,35-6,八幡5丁目1-10市川学園幼稚園,八幡5丁目1-10市川学園幼稚園,35.7232633,139.931787,地図と照合修正
千葉県,市川市,千葉5区,35-7,八幡1丁目18地先メディアロード,八幡1丁目18地先メディアロード,35.7199364,139.9310834,
千葉県,市川市,千葉5区,35-8,八幡5丁目9八方橋脇真間川欄干,八幡5丁目9八方橋脇真間川欄干,35.7235441,139.9365297,
千葉県,市川市,千葉5区,35-9,八幡5丁目8八幡5丁目大和橋公園,八幡5丁目8八幡5丁目大和橋公園,35.7219565,139.9357361,
千葉県,市川市,千葉5区,36-1,八幡3丁目24-1八幡小学校/北側,八幡3丁目24-1八幡小学校/北側,35.7256736,139.9278603,
千葉県,市川市,千葉5区,36-2,八幡3丁目24-1八幡小学校/南側,八幡3丁目24-1八幡小学校/南側,35.7256736,139.9278603,
千葉県,市川市,千葉5区,36-3,菅野1丁目15白幡公園,菅野1丁目15白幡公園,35.72890659999999,139.9262931,
千葉県,市川市,千葉5区,36-4,東菅野1丁目12菅野児童公園,東菅野1丁目12菅野児童公園,35.7281507,139.9312812,
千葉県,市川市,千葉5区,37-1,八幡6丁目10-11冨貴島小学校/南側,八幡6丁目10-11冨貴島小学校/南側,35.7267421,139.9375556,
千葉県,市川市,千葉5区,37-2,八幡6丁目10-11冨貴島小学校/西側,八幡6丁目10-11冨貴島小学校/西側,35.7267421,139.9375556,
千葉県,市川市,千葉5区,37-3,東菅野3丁目12-18市営住宅東菅野団地,東菅野3丁目12-18市営住宅東菅野団地,35.7304626,139.9355742,
千葉県,市川市,千葉5区,37-4,八幡6丁目16地先慈眼橋脇真間川欄干,八幡6丁目16地先慈眼橋脇真間川欄干,35.72945900000001,139.9372434,
千葉県,市川市,千葉5区,37-5,八幡6-10-11地先冨貴島小学校脇ガードレール,八幡6-10-11地先冨貴島小学校脇ガードレール,35.7267421,139.9375556,
千葉県,市川市,千葉5区,37-6,八幡6丁目20冨貴島第2公園,八幡6丁目20冨貴島第2公園,35.72820220000001,139.938677,
千葉県,市川市,千葉5区,37-7,八幡6丁目13冨貴島公園,八幡6丁目13冨貴島公園,35.7277925,139.9355328,
千葉県,市川市,千葉5区,37-8,八幡6-20-18地先八幡排水機場脇ガードレール,八幡6-20-18地先八幡排水機場脇ガードレール,35.7276957,139.9382797,
千葉県,市川市,千葉5区,38-1,菅野5丁目10菅野5丁目公園,菅野5丁目10菅野5丁目公園,35.733849,139.9231544,
千葉県,市川市,千葉5区,38-2,東菅野2丁目17-1昭和学院,東菅野2丁目17-1昭和学院,35.7346059,139.9303225,
千葉県,市川市,千葉5区,38-3,東菅野2丁目23終末処理場/南側,東菅野2丁目23終末処理場/南側,35.7356463,139.927803,
千葉県,市川市,千葉5区,38-4,東菅野2丁目23終末処理場/北側,東菅野2丁目23終末処理場/北側,35.7356463,139.927803,
千葉県,市川市,千葉5区,38-5,菅野5丁目3-1アルファコート菅野/クボタ独身寮/南側,菅野5丁目3-1アルファコート菅野/クボタ独身寮/南側,35.7336227,139.9247967,
千葉県,市川市,千葉5区,38-6,菅野5丁目3-1アルファコート菅野/クボタ独身寮/東側,菅野5丁目3-1アルファコート菅野/クボタ独身寮/東側,35.7336227,139.9247967,
千葉県,市川市,千葉5区,38-7,菅野4丁目12-16菅野保育園,菅野4丁目12-16菅野保育園,35.7329184,139.927163,
千葉県,市川市,千葉5区,39-1,新田1丁目3胡録神社,新田1丁目3胡録神社,35.7278688,139.9165307,
千葉県,市川市,千葉5区,39-2,平田2丁目23-12諏訪神社,平田2丁目23-12諏訪神社,35.7277434,139.9180002,
千葉県,市川市,千葉5区,39-3,平田2丁目1市川郵便局,平田2丁目1市川郵便局,35.7252076,139.9218713,
千葉県,市川市,千葉5区,39-4,菅野2丁目7京成菅野駅/北側,菅野2丁目7京成菅野駅/北側,35.7282163,139.9195717,
千葉県,市川市,千葉5区,40-1,菅野6丁目14-1菅野小学校,菅野6丁目14-1菅野小学校,35.734457,139.916493,地図と照合修正
千葉県,市川市,千葉5区,40-2,菅野3丁目24-2菅野公民館,菅野3丁目24-2菅野公民館,35.732930,139.917092,地図と照合修正
千葉県,市川市,千葉5区,40-3,菅野3丁目24-2菅野公民館広場/東側,菅野3丁目24-2菅野公民館広場/東側,35.732063,139.917001,地図と照合修正
千葉県,市川市,千葉5区,40-4,菅野3丁目24-1国府台女子学院小学校/東側,菅野3丁目24-1国府台女子学院小学校/東側,35.731145,139.917445,地図と照合修正
千葉県,市川市,千葉5区,40-5,菅野3丁目24-1国府台女子学院/北側,菅野3丁目24-1国府台女子学院/北側,35.7322974,139.915417,地図と照合修正
千葉県,市川市,千葉5区,40-6,菅野6丁目19菅野西公園,菅野6丁目19菅野西公園,35.7353006,139.914878,地図と照合修正
千葉県,市川市,千葉5区,40-7,真間3丁目3旧・桜土手公園/中央付近,真間3丁目3旧・桜土手公園/中央付近,35.734398,139.913901,地図と照合修正
