prefecture,city,number,address,name,lat,long,note
兵庫県,たつの市,1,新宮町奥小屋,旧県道入口付近ガードレール,34.9907353,134.4983747,緯度経度は怪しい
兵庫県,たつの市,2,新宮町牧,河内神社北側土地改良事業記念石碑横ガードパイプ,34.9773524,134.4889469,緯度経度は怪しい
兵庫県,たつの市,3,新宮町牧,沢ノ口猪ノ谷橋北ゴミステーション南横,34.9773524,134.4889469,緯度経度は怪しい
兵庫県,たつの市,4,新宮町時重,時重公民館前ガードレール,34.9621813,134.4665485,
兵庫県,たつの市,5,新宮町鍛冶屋,相坂橋北側市道ガードパイプ,34.9561368,134.4724438,緯度経度は怪しい
兵庫県,たつの市,6,新宮町鍛冶屋,藤綱幸巳氏宅横ガードレール,34.9561368,134.4724438,緯度経度は怪しい
兵庫県,たつの市,7,新宮町栗町,栗町公民館前ガードパイプ,34.9339551,134.4724438,緯度経度は怪しい
兵庫県,たつの市,8,新宮町栗町,第一田幸橋西側ガードレール,34.9339551,134.4724438,緯度経度は怪しい
兵庫県,たつの市,9,新宮町下筋原,下筋原公民館前ガードレール,34.9210263,134.5465684,緯度経度は怪しい
兵庫県,たつの市,10,新宮町上筋原,南尾花橋北側市道端(野立),34.9191648,134.5525475,緯度経度は怪しい
兵庫県,たつの市,11,新宮町光都,西播磨学生寮進入路植込,34.94473,134.4394203,緯度経度は怪しい
兵庫県,たつの市,12,新宮町光都,光都南公園前植込(野立),34.94473,134.4394203,緯度経度は怪しい
兵庫県,たつの市,13,新宮町角亀,角亀公民館南側掲示板横(野立),34.9272542,134.4677276,緯度経度は怪しい
兵庫県,たつの市,14,新宮町二柏野,水道ポンプ場フェンス,34.9211182,134.4641901,緯度経度は怪しい
兵庫県,たつの市,15,新宮町千本,グラウンドフェンス(農村広場),34.9507444,134.4889469,緯度経度は怪しい
兵庫県,たつの市,16,新宮町千本,旧堀田医院北側県道法面(野立),34.9507444,134.4889469,緯度経度は怪しい
兵庫県,たつの市,17,新宮町福栖,警鐘台前空地(野立),34.9431758,134.5101567,
兵庫県,たつの市,18,新宮町能地,旧東栗栖幼稚園西側ガードレール,34.9360013,134.5136907,
兵庫県,たつの市,19,新宮町大屋,大屋公民館入口フェンス,34.923347,134.5242912,緯度経度は怪しい
兵庫県,たつの市,20,新宮町善定,善定公民館前道路脇(野立),34.9109084,134.4983747,緯度経度は怪しい
兵庫県,たつの市,21,新宮町平野,平野公民館前フェンス,34.9300413,134.5290018,緯度経度は怪しい
兵庫県,たつの市,22,新宮町香山,旧兵庫西農協香島支店前ガードパイプ,34.9589807,134.5431306,
兵庫県,たつの市,23,新宮町香山,河津文雄氏宅北側ガードパイプ,34.9589807,134.5431306,
兵庫県,たつの市,24,新宮町篠首,谷口英起氏宅北側農地(野立),34.959948,134.5266466,緯度経度は怪しい
兵庫県,たつの市,25,新宮町篠首,才樫橋東三差路県道法面(野立),34.959948,134.5266466,緯度経度は怪しい
兵庫県,たつの市,26,新宮町吉島,ローソン新宮吉島店南側法面(野立),34.939074,134.5478393,
兵庫県,たつの市,27,新宮町上笹1区,香島橋東側県道ガードパイプ,34.94801940000001,134.5572552,緯度経度は怪しい
兵庫県,たつの市,28,新宮町上笹3区,上笹会館フェンス,34.94801940000001,134.5572552,緯度経度は怪しい
兵庫県,たつの市,29,新宮町上笹2区,上笹2区公民館フェンス,34.94801940000001,134.5572552,緯度経度は怪しい
兵庫県,たつの市,30,新宮町下笹,ささ営農南市道ガードレール,34.9392344,134.5666693,
兵庫県,たつの市,31,新宮町西町,駅前農協駐車場入口フェンス,34.9191648,134.5525475,緯度経度は怪しい
兵庫県,たつの市,32,新宮町北新町,八木たばこ店前市道ガードパイプ,34.9191648,134.5525475,緯度経度は怪しい
兵庫県,たつの市,33,新宮町北新町,喫茶アモール東側進藤組空地南,34.9191648,134.5525475,緯度経度は怪しい
兵庫県,たつの市,34,新宮町元町,新宮中央公民館駐車場植込(野立),34.9191648,134.5525475,緯度経度は怪しい
兵庫県,たつの市,35,新宮町元町,市立新宮公民館西側石彫前植込,34.9191648,134.5525475,緯度経度は怪しい
兵庫県,たつの市,36,新宮町東町,東町県営住宅南側フェンス,34.9191648,134.5525475,緯度経度は怪しい
兵庫県,たつの市,37,新宮町浦町,松本歯科東側ガードレール,34.9210263,134.5465684,緯度経度は怪しい
兵庫県,たつの市,38,新宮町新宮立町,西兵庫信用金庫新宮支店南側フェンス,34.9191648,134.5525475,緯度経度は怪しい
兵庫県,たつの市,39,新宮町芝田,塩谷晃正氏宅ブロック塀,34.9173872,134.5395988,
兵庫県,たつの市,40,新宮町下野,下野公民館前市道ガードパイプ,34.9264204,134.5584321,
兵庫県,たつの市,41,新宮町下野,瀧岡理容所南側市道ガードパイプ,34.9264204,134.5584321,
兵庫県,たつの市,42,新宮町宮内,新宮総合支所東側駐車場入口付近歩道法面(野立),34.9323832,134.5431306,
兵庫県,たつの市,43,新宮町宮内,米谷紙管製造(株)前市道ガードレール,34.9323832,134.5431306,
兵庫県,たつの市,44,新宮町砂子,西兵庫信用金庫研修所植込(野立),34.912875,134.54962,緯度経度は怪しい
兵庫県,たつの市,45,新宮町井野原,龍野方面行バス停脇(井野原バス停),34.9086027,134.5490164,
兵庫県,たつの市,46,新宮町井野原,白井食品前堤防(野立),34.9086027,134.5490164,
兵庫県,たつの市,47,新宮町曽我井,曽我井橋東詰南市道ガードレール,34.9081217,134.5572552,緯度経度は怪しい
兵庫県,たつの市,48,新宮町船渡,越部小学校校門脇フェンス,34.8949946,134.5460736,
兵庫県,たつの市,49,新宮町北村,北村親水公園北側道路脇(野立),34.89977590000001,134.5537245,
兵庫県,たつの市,50,新宮町苅崎,16分団消防車庫北側道路水路沿(野立),34.9191648,134.5525475,緯度経度は怪しい
兵庫県,たつの市,51,新宮町苅崎,市営苅崎住宅2号棟北側市道脇(野立),34.9191648,134.5525475,緯度経度は怪しい
兵庫県,たつの市,52,新宮町佐野,藤本たみ子氏南側空地(野立),34.8875154,134.5466622,緯度経度は怪しい
兵庫県,たつの市,53,新宮町下野田,亀山会館広場東側植込(野立),34.8918641,134.5372441,緯度経度は怪しい
兵庫県,たつの市,54,新宮町馬立,土井康裕氏宅東側ガードパイプ,34.9012572,134.5337119,
兵庫県,たつの市,55,新宮町仙正,仙正児童遊園前市道ガードパイプ,34.9016471,134.5460736,
兵庫県,たつの市,56,新宮町段之上,段之上公園東側フェンス,34.9085604,134.5443078,
兵庫県,たつの市,57,新宮町段之上,段之上会館フェンス,34.9085604,134.5443078,
兵庫県,たつの市,58,新宮町段之上,表口勝彦氏方北側ブロック塀,34.9085604,134.5443078,
兵庫県,たつの市,59,新宮町市野保,市野保広場南入口西フェンス,34.9100415,134.5242912,緯度経度は怪しい
兵庫県,たつの市,60,龍野町北龍野,北龍野国道交差点南側,34.8747295,134.5431306,
兵庫県,たつの市,61,龍野町新町,新町公園板塀南側,34.782717,134.563615,緯度経度は怪しい
兵庫県,たつの市,62,龍野町門の外,善龍寺駐車場フェンス,34.8694405,134.5482807,
兵庫県,たつの市,63,龍野町下霞城,芝生広場北側フェンス,34.8662475,134.5404818,
兵庫県,たつの市,64,龍野町上霞城,龍野小学校北東石垣(道路側溝上)(野立),34.8676729,134.5446021,
兵庫県,たつの市,65,龍野町下霞城,常照寺前ガードレール,34.8662475,134.5404818,
兵庫県,たつの市,66,龍野町水神町,水神社東側玉垣,34.8663254,134.5487221,
兵庫県,たつの市,67,龍野町大手,ヒガシマル別館カルチャールーム柵,34.8665749,134.5457793,
兵庫県,たつの市,68,龍野町本町,たつの市立龍野図書館前植込(野立),34.8640626,134.5440135,
兵庫県,たつの市,69,龍野町本町,日山児童公園西面フェンス,34.8640626,134.5440135,
兵庫県,たつの市,70,龍野町川原町,観光駐車場バス停横(野立),34.8634251,134.5444306,
兵庫県,たつの市,71,龍野町日山河原,圓尾光氏宅柵,34.8619409,134.5395988,
兵庫県,たつの市,72,龍野町日山,粒坐天照神社参道前西側ガードレール,34.8619409,134.5395988,
兵庫県,たつの市,73,龍野町日山山下,兵庫県立龍野高等学校西門ガードレール,34.8619409,134.5395988,
兵庫県,たつの市,74,龍野町日山,青木章代氏宅前ガードパイプ,34.8619409,134.5395988,
兵庫県,たつの市,75,龍野町日飼,たつの市立小宅小学校北側フェンス,34.8687289,134.5537245,
兵庫県,たつの市,76,龍野町日飼,たつの市立龍野東中学校南面グラウンドフェンス,34.8687289,134.5537245,
兵庫県,たつの市,77,龍野町島田,島田公園フェンス,34.8770786,134.5572552,緯度経度は怪しい
兵庫県,たつの市,78,龍野町島田,コープエコー東側ガードパイプ,34.8770786,134.5572552,緯度経度は怪しい
兵庫県,たつの市,79,龍野町上富永,三木製材所西側(揖保川左岸)堤防,34.8642254,134.5519435,緯度経度は怪しい
兵庫県,たつの市,80,龍野町片山,たつの市立小宅北こども園東側フェンス,34.866033,134.5619625,
兵庫県,たつの市,81,龍野町片山,宇野正員氏宅前ガードレール,34.866033,134.5619625,
兵庫県,たつの市,82,龍野町中村,JR本竜野駅東ロータリーガードパイプ,34.8599007,134.5584321,
兵庫県,たつの市,83,龍野町中井,ナガセケムテックス(株)播磨事務所前交差点北側ガードレール,34.8639451,134.5760814,
兵庫県,たつの市,84,龍野町中井,桂信二氏宅南側農地(野立),34.8639451,134.5760814,
兵庫県,たつの市,85,龍野町中井奥垣内,岸本光生氏宅前ガードパイプ,34.8639451,134.5760814,
兵庫県,たつの市,86,龍野町本竜野,JR本竜野駅バス停フェンス,34.8627865,134.5552759,緯度経度は怪しい
兵庫県,たつの市,87,龍野町堂本,NTT西日本(株)兵庫支店龍野別館フェンス,34.85542,134.5537245,
兵庫県,たつの市,88,龍野町堂本,株式会社　高田商店北側フェンス,34.85542,134.5537245,
兵庫県,たつの市,89,龍野町中村,旧市立小宅保育所西側道路ガードパイプ,34.8599007,134.5584321,
兵庫県,たつの市,90,龍野町宮脇,宮脇交差点東南側植込(野立),34.8557693,134.5613741,
兵庫県,たつの市,91,龍野町堂本,消防団車庫南側道路ガードパイプ,34.85542,134.5537245,
兵庫県,たつの市,92,龍野町堂本,アネックス堂本正面農地(野立),34.85542,134.5537245,
兵庫県,たつの市,93,龍野町宮脇,小宅神社南側農地(野立),34.8557693,134.5613741,
兵庫県,たつの市,94,龍野町富永3丁目,サニーハウスⅠ前市道ガードレール,34.8586805,134.5466622,
兵庫県,たつの市,95,龍野町富永3丁目,大東インターナショナル(株)向側防護柵,34.8586805,134.5466622,
兵庫県,たつの市,96,龍野町富永3丁目,コーポさくらんぼ南側ガードパイプ,34.8586805,134.5466622,
兵庫県,たつの市,97,龍野町富永3丁目,中川原グラウンド南側入口(野立),34.8586805,134.5466622,
兵庫県,たつの市,98,龍野町富永3丁目,たつの市はつらつセンター東側ガードパイプ,34.8586805,134.5466622,
兵庫県,たつの市,99,龍野町富永4丁目,たつの警察署北側市道ガードパイプ,34.8529496,134.5458594,緯度経度は怪しい
兵庫県,たつの市,100,龍野町富永4丁目,赤とんぼ文化ホール東側出入口(北電柱横)(野立),34.8529496,134.5458594,緯度経度は怪しい
兵庫県,たつの市,101,龍野町大道,尾西自動車西側ガードパイプ,34.8475424,134.5419534,
兵庫県,たつの市,102,揖西町中垣内,浅野和枝氏宅ブロック塀,34.8933403,134.5172245,緯度経度は怪しい
兵庫県,たつの市,103,揖西町新宮,新成橋南交差点ガードレール,34.8676643,134.5007313,
兵庫県,たつの市,104,揖西町構,構公園東側フェンス,34.8572279,134.5113347,緯度経度は怪しい
兵庫県,たつの市,105,揖西町町井,裏池西側ガードレール (位置情報が見つかりませんでした),34.8572279,134.5113347,緯度経度は怪しい
