prefecture,city,number,address,name,lat,long,note
兵庫県,三木市,1,口吉川町久次,久保仁氏宅向側空地,34.8786183,135.0699945,
兵庫県,三木市,2,口吉川町里脇,里脇バス停附近（武内勇人氏所有地）,34.8680594,135.0828384,緯度経度は怪しい
兵庫県,三木市,3,口吉川町槙,岸本氏宅地法面,34.8565768,135.0606557,緯度経度は怪しい
兵庫県,三木市,4,口吉川町槙,槙バス停前(JA兵庫みらい口吉川倉庫金柵),34.8565768,135.0606557,緯度経度は怪しい
兵庫県,三木市,5,口吉川町大島,武内誠吾氏宅前金柵,34.8548528,135.073497,
兵庫県,三木市,6,口吉川町大島,いずみ認定こども園金柵,34.8548528,135.073497,
兵庫県,三木市,7,口吉川町大島,木村実氏宅裏三叉路空地（旧公会堂）,34.8548528,135.073497,
兵庫県,三木市,8,口吉川町笹原,杉本良員氏宅東側空地,34.8639932,135.0682433,緯度経度は怪しい
兵庫県,三木市,9,口吉川町殿畑,口吉川小学校正門南金網,34.862111,135.0583213,緯度経度は怪しい
兵庫県,三木市,10,口吉川町殿畑,口吉川町公民館正門南金柵,34.862111,135.0583213,緯度経度は怪しい
兵庫県,三木市,11,口吉川町殿畑,藤枝成延氏宅東側法面,34.862111,135.0583213,緯度経度は怪しい
兵庫県,三木市,12,口吉川町桾原,桾原交差点北西(信号横),34.8560662,135.0524859,
兵庫県,三木市,13,口吉川町桾原,長谷川強氏宅東側ブロック塀,34.8560662,135.0524859,
兵庫県,三木市,14,口吉川町東中,東中バス停附近(藤田氏所有地),34.855555,135.0443175,
兵庫県,三木市,15,口吉川町東中,阪神電設（株）前,34.855555,135.0443175,
兵庫県,三木市,16,口吉川町西中,鳴滝文夫氏宅ブロック塀,34.8473015,135.0384838,
兵庫県,三木市,17,口吉川町桃坂,岸本茂嘉氏宅向側金柵,34.850649,135.0314843,
兵庫県,三木市,18,口吉川町桃坂,東条口バス停金柵,34.850649,135.0314843,
兵庫県,三木市,19,細川町高畑,高畑公民館東側お堂前,34.8518312,135.0151564,
兵庫県,三木市,20,細川町高篠,高篠入口横 三木側 県道金柵,34.8446268,135.0209871,緯度経度は怪しい
兵庫県,三木市,21,細川町金屋,JAガソリンスタンド北側道路金柵,34.8385365,135.0244859,
兵庫県,三木市,22,細川町桃津,桃津バス停西側金柵,34.8340723,135.0338173,緯度経度は怪しい
兵庫県,三木市,23,細川町金屋,金屋バス停東側（吉川側）金柵,34.8385365,135.0244859,
兵庫県,三木市,24,細川町金屋,阪神バレル東側空地,34.8385365,135.0244859,
兵庫県,三木市,25,細川町桃津,桃津公会堂横空地,34.8340723,135.0338173,緯度経度は怪しい
兵庫県,三木市,26,細川町瑞穂（大二谷）,大二谷農産物出荷施設前,34.8451787,135.1010699,緯度経度は怪しい
兵庫県,三木市,27,細川町瑞穂（入野）,入野バス停附近(消防器具庫横),34.836935,135.0903045,緯度経度は怪しい
兵庫県,三木市,28,細川町瑞穂（小二谷）,小二谷バス停附近,34.8355128,135.0867604,緯度経度は怪しい
兵庫県,三木市,29,細川町瑞穂（上南）,まなびの郷みずほ（正門右植込部）,34.8314817,135.0814536,緯度経度は怪しい
兵庫県,三木市,30,細川町中里（荻谷）,まなびの郷みずほ前三叉路金柵,34.8353403,135.0744642,緯度経度は怪しい
兵庫県,三木市,31,細川町中里（荻谷）,荻谷公民館駐車場金柵,34.8353403,135.0744642,緯度経度は怪しい
兵庫県,三木市,32,細川町中里（下南）,西岡龍次氏宅東側県道,34.8339959,135.0672427,緯度経度は怪しい
兵庫県,三木市,33,細川町中里（原坂）,杉橋東側金柵,34.8322911,135.0622592,緯度経度は怪しい
兵庫県,三木市,34,細川町垂穂（鍛冶）,鍛冶バス停附近（稲見嘉一氏所有地）,34.83036999999999,135.0504,緯度経度は怪しい
兵庫県,三木市,35,細川町垂穂（下芝原）,實井妙子氏宅南側,34.8279099,135.0441199,緯度経度は怪しい
兵庫県,三木市,36,細川町増田,増田バス停（金柵）,34.8246779,135.0349839,緯度経度は怪しい
兵庫県,三木市,37,細川町豊地（大柿）,消防器具庫東側金柵,34.82680089999999,135.0275971,
兵庫県,三木市,38,細川町豊地（佐野）,佐野バス停前(消防器具庫横),34.827493,135.0244859,
兵庫県,三木市,39,細川町豊地（大柿）,細川町公民館地内,34.82680089999999,135.0275971,
兵庫県,三木市,40,細川町細川中,小山善久氏宅裏空地,34.8158899,135.0256523,緯度経度は怪しい
兵庫県,三木市,41,細川町細川中,細川なか交差点細川中入口附近金柵,34.8158899,135.0256523,緯度経度は怪しい
兵庫県,三木市,42,細川町西,西村バス停附近金柵,34.8253542,135.0104924,緯度経度は怪しい
兵庫県,三木市,43,久留美,岩崎仁昭氏宅西側歩道金柵,34.8182166,134.9976686,緯度経度は怪しい
兵庫県,三木市,44,久留美,久留美公民館前,34.8182166,134.9976686,緯度経度は怪しい
兵庫県,三木市,45,久留美,小林博章氏宅向側(慈眼寺入口),34.8182166,134.9976686,緯度経度は怪しい
兵庫県,三木市,46,久留美,長久橋バス停付近金柵,34.8182166,134.9976686,緯度経度は怪しい
兵庫県,三木市,47,岩宮,岩宮交差点南西側歩道金柵,34.8066154,134.9965028,
兵庫県,三木市,48,大塚２丁目,三木小学校金柵（運動場東側）,34.8002679,134.9970857,
兵庫県,三木市,49,大塚１丁目,大塚公園金柵,34.7980469,134.9947541,緯度経度は怪しい
兵庫県,三木市,50,大塚２丁目,ＪＡみのりえびす駅前店北駐車場金柵,34.8002679,134.9970857,
兵庫県,三木市,51,与呂木,安隨正泰氏宅東側県道,34.8054992,135.0058288,
兵庫県,三木市,52,平井,平井公民館県道側金柵,34.8109858,135.0128243,
兵庫県,三木市,53,宿原,宿原公民館前,34.798314,135.0069946,緯度経度は怪しい
兵庫県,三木市,54,宿原,県三木庁舎東側交差点金柵,34.798314,135.0069946,緯度経度は怪しい
兵庫県,三木市,55,大塚２丁目,神鉄えびす駅スロープ金柵,34.8002679,134.9970857,
兵庫県,三木市,56,本町１丁目,大塚１交差点北詰(府内派出所跡地横),34.7996856,134.9912565,
兵庫県,三木市,57,本町１丁目,神鉄上の丸駅金柵,34.7996856,134.9912565,
兵庫県,三木市,58,府内町,松山製パン駐車場ブロック塀,34.8101841,134.9924224,緯度経度は怪しい
兵庫県,三木市,59,府内町,大手橋交差点西側金柵(ながさわ向側),34.8101841,134.9924224,緯度経度は怪しい
兵庫県,三木市,60,府内町,常楽寺ブロック塀,34.8101841,134.9924224,緯度経度は怪しい
兵庫県,三木市,61,府内町,東条町公園金柵（シルバー人材センター側）,34.8101841,134.9924224,緯度経度は怪しい
兵庫県,三木市,62,君が峰町,中沢池東側金柵,34.7964082,134.9982514,
