prefecture,city,number,address,name,lat,long,note
兵庫県,上郡町,1,上郡214-5付近,町道（隈見橋東交差点 東側）,34.8728681,134.363851,緯度経度は怪しい
兵庫県,上郡町,2,上郡833-6,仲町公園,34.8744542,134.3605827,
兵庫県,上郡町,3,上郡305,上郡小学校（正門 横）,34.8770944,134.3608493,緯度経度は怪しい
兵庫県,上郡町,4,上郡459-1付近,県道（生涯学習支援センター前）,34.8778946,134.3646265,緯度経度は怪しい
兵庫県,上郡町,5,上郡1645-5前,県道（上郡分団屯所 前）,34.8714169,134.3605294,緯度経度は怪しい
兵庫県,上郡町,6,上郡1190,東町総合センター駐車場,34.8700078,134.3642572,
兵庫県,上郡町,7,上郡144-4,masked,34.8706874,134.3566346,
兵庫県,上郡町,8,尾長谷283-1,緑ヶ丘住宅内空き地（町営住宅 南西側）,34.8827317,134.3678945,
兵庫県,上郡町,9,井上127-5,町道（井上区公民館 前）,34.8793735,134.3496683,
兵庫県,上郡町,10,大持276-3付近,大持公民館横の公園 北側,34.8739782,134.3547184,
兵庫県,上郡町,11,大持278,上郡町役場前,34.8738765,134.3554825,
兵庫県,上郡町,12,大持207-1,町道（上郡高校体育館 前）,34.8719157,134.3544806,
兵庫県,上郡町,13,大持360-2付近,県道（JA兵庫西上郡支店 向側）,34.8674022,134.355525,
兵庫県,上郡町,14,駅前222付近,町有地（観光案内所跡地 横）,34.8660095,134.3546927,
兵庫県,上郡町,15,山野里2309-1,旧ジュンテンドー跡地,34.8692579,134.3514948,
兵庫県,上郡町,16,山野里2423-1,県道（山野里地区公民館 前）,34.867696,134.3474888,緯度経度は怪しい
兵庫県,上郡町,17,山野里2718-1,宿東公民館 前,34.865654,134.3498284,
兵庫県,上郡町,18,山野里1160付近,高嶺神社,34.8638244,134.3442474,緯度経度は怪しい
兵庫県,上郡町,19,山野里1087付近,masked,34.86013519999999,134.3438975,
兵庫県,上郡町,20,山野里924-4付近,masked,34.8615145,134.3382153,
兵庫県,上郡町,21,竹万29,県道5号線沿い（スポーツセンター前）,34.863704,134.3538755,
兵庫県,上郡町,22,竹万322-1,町有地（竹万踏切 横）,34.8650253,134.3571759,緯度経度は怪しい
兵庫県,上郡町,23,竹万254-3,竹万児童公園,34.8622965,134.3569843,緯度経度は怪しい
兵庫県,上郡町,24,竹万1143付近,masked,34.8554267,134.3604907,
兵庫県,上郡町,25,竹万2330,町営住宅ハイツあゆみ,34.8612614,134.3638937,緯度経度は怪しい
兵庫県,上郡町,26,中野899,高田小学校 東側,34.8554109,134.3922037,緯度経度は怪しい
兵庫県,上郡町,27,休治275,町道（休治公民館 前）,34.8587824,134.399877,緯度経度は怪しい
兵庫県,上郡町,28,神明寺730-1,神明寺公民館 町道沿いフェンス,34.8657737,134.3866858,緯度経度は怪しい
兵庫県,上郡町,29,奥甲669-1,奥公民館,34.8734946,134.3973149,緯度経度は怪しい
兵庫県,上郡町,30,宿168-4,masked,34.8650784,134.3974994,
