prefecture,city,number,address,name,lat,long,note
兵庫県,伊丹市,1,西台４丁目１番街区,主基公園　東側柵,34.7788486,135.4128911,
兵庫県,伊丹市,2,中央２丁目５番街区,三軒寺前広場西側スロープ　東側柵,34.7805901,135.415611,
兵庫県,伊丹市,3,西台３丁目３番街区,阪急伊丹線高架下　南側金網,34.7779575,135.4153169,
兵庫県,伊丹市,4,西台１丁目２番街区,阪急伊丹駅前地下駐輪場入口西側鉄柵,34.7811091,135.4122296,
兵庫県,伊丹市,5,西台１丁目４番街区,阪急伊丹駅西側地下駐輪場入口北側鉄柵,34.7799257,135.4126706,
兵庫県,伊丹市,6,西台１丁目６番街区,梅園公園　西側柵,34.7795509,135.412009,
兵庫県,伊丹市,7,西台４丁目１番街区,主基公園　西側柵,34.7788486,135.4128911,
兵庫県,伊丹市,8,伊丹１丁目１４番街区,JR伊丹駅前市バス回転場　西側鉄柵,34.7822834,135.4210364,
兵庫県,伊丹市,9,伊丹１丁目１０番街区,アリオ１　北側植込み,34.7812751,135.4199484,
兵庫県,伊丹市,10,藤ノ木２丁目１番街区,天津児童遊園地　東側金網,34.7844449,135.422007,
兵庫県,伊丹市,11,藤ノ木１丁目１番街区,駄六川橋　北側鉄柵,34.7820013,135.4236245,
兵庫県,伊丹市,12,伊丹7丁目1番1号,有岡小学校 西側金網,34.7759904,135.4214081,
兵庫県,伊丹市,13,伊丹5丁目3番街区,有岡公園 北西隅鉄柵,34.7768362,135.4199484,
兵庫県,伊丹市,14,伊丹5丁目3番街区,有岡公園 南側金網,34.7768362,135.4199484,
兵庫県,伊丹市,15,伊丹7丁目1番1号,有岡小学校 北側金網,34.7759904,135.4214081,
兵庫県,伊丹市,16,東有岡2丁目11番地,小西酒造㈱富士山蔵 西側金網,34.7773929,135.4224525,
兵庫県,伊丹市,17,東有岡4丁目8番地,兵庫障害者職業能力開発校 南西隅鉄柵,34.7761796,135.42645,
兵庫県,伊丹市,18,伊丹5丁目1番5号,伊丹保育所 北側鉄柵,34.7780464,135.4198863,
兵庫県,伊丹市,19,東有岡5丁目125番地,東リ㈱伊丹工場 西側金網,34.7716567,135.4224273,
兵庫県,伊丹市,20,南本町4丁目4番街区,南本町公園 北側鉄柵,34.7729579,135.4193602,
兵庫県,伊丹市,21,南本町3丁目4番14号,㈱染の川組 南側ブロック塀,34.7738886,135.4191258,
兵庫県,伊丹市,22,南本町7丁目1-1地先,南本町ハナミズキ児童遊園地西側金網,34.770104,135.4185724,
兵庫県,伊丹市,23,伊丹8丁目4番街区,駐車場前 鉄柵,34.7704431,135.4211247,
兵庫県,伊丹市,24,南本町4丁目4番街区,南本町公園 南側柵,34.7729579,135.4193602,
兵庫県,伊丹市,25,南町2丁目3番街区,南町児童遊園地 東側金網,34.767917,135.418876,
兵庫県,伊丹市,26,南町2丁目4番1号,南中学校 東側金網,34.7681617,135.4181605,
兵庫県,伊丹市,27,南町2丁目5番街区,南町公園 西側鉄柵,34.7675506,135.4190662,
兵庫県,伊丹市,28,南町2丁目4番1号,南中学校 南側鉄板フェンス,34.7681617,135.4181605,
兵庫県,伊丹市,29,南町2丁目2番街区,南町Ⅱ児童遊園地 南側金網,34.7692478,135.4192867,
兵庫県,伊丹市,30,南町2丁目4番1号,南中学校 西側金網,34.7681617,135.4181605,
兵庫県,伊丹市,31,南町2丁目5番8号,㈱鶴屋八幡伊丹工場 北側金網,34.7676043,135.4194283,
兵庫県,伊丹市,32,平松7丁目6番街区,平松南児童遊園地 西側金網,34.7696404,135.418184,
