prefecture,city,number,address,name,lat,long,note
兵庫県,多可町,1,門前22,門前グラウンドフェンス,35.0502159,134.9234248,
兵庫県,多可町,2,安楽田965-3,横山様宅南ガードレール (位置情報が見つかりませんでした),35.0713562,134.9049027,緯度経度は怪しい
兵庫県,多可町,3,安楽田430-3,藤原様農業倉庫 (位置情報が見つかりませんでした),35.0713562,134.9049027,緯度経度は怪しい
兵庫県,多可町,4,東山502-1,東山公民館西大西様所有地,35.0730101,134.913488,緯度経度は怪しい
兵庫県,多可町,5,田野口264-1,田野口集落センター前フェンス,35.0502159,134.9234248,
兵庫県,多可町,6,牧野738-2,丸岡様宅南防火水槽フェンス,35.0725686,134.9269677,緯度経度は怪しい
兵庫県,多可町,7,鍛冶屋222-15地先,西田様宅東側県道植樹帯,35.0671217,134.9256552,緯度経度は怪しい
兵庫県,多可町,8,岸上178-2地先,播州農機販売(株)北歩道フェンス,35.0591723,134.9251031,緯度経度は怪しい
兵庫県,多可町,9,天田106-1,旧天田公民館敷地,35.0594806,134.9190808,緯度経度は怪しい
兵庫県,多可町,10,岸上151,安平様宅ブロック堺,35.0591723,134.9251031,緯度経度は怪しい
兵庫県,多可町,11,岸上281-112,町民グラウンド日赤病院側向い境内横スペース,35.0591723,134.9251031,緯度経度は怪しい
兵庫県,多可町,12,間子503,間子グラウンドフェンス,35.0546069,134.9307316,緯度経度は怪しい
兵庫県,多可町,13,奥中976-6,奥中公民館駐車場敷地,35.0511394,134.919676,緯度経度は怪しい
兵庫県,多可町,14,奥中845-1,林本様工場西敷地,35.0511394,134.919676,緯度経度は怪しい
兵庫県,多可町,15,高岸128-1,高岸児童公園フェンス,35.0678463,134.9194096,緯度経度は怪しい
兵庫県,多可町,16,高岸306-4,秋田様宅ブロック塀（高岸304）,35.0678463,134.9194096,緯度経度は怪しい
兵庫県,多可町,17,中村町123,多可町役場本庁舎駐輪場,35.0510996,134.9236105,緯度経度は怪しい
兵庫県,多可町,18,茂利343-1,茂利公民館北フェンス (位置情報が見つかりませんでした),35.0456089,134.9213562,緯度経度は怪しい
兵庫県,多可町,19,中村町38-2,旧中村町公園東歩道フェンス,35.0510996,134.9236105,緯度経度は怪しい
兵庫県,多可町,20,森本805-9,ファミリーマート東歩道フェンス,35.042259,134.953353,緯度経度は怪しい
兵庫県,多可町,21,安坂522-22地先,沢池東側ガードレール (位置情報が見つかりませんでした),35.04012700000001,134.9226931,緯度経度は怪しい
兵庫県,多可町,22,安坂206-2,永谷歯科医院東歩道フェンス (位置情報が見つかりませんでした),35.04012700000001,134.9226931,緯度経度は怪しい
兵庫県,多可町,23,糀屋96-5,松本様宅北歩道フェンス (位置情報が見つかりませんでした),35.0361815,134.9285744,緯度経度は怪しい
兵庫県,多可町,24,糀屋24-3,関西電力中町変電所東歩道フェンス (位置情報が見つかりませんでした),35.0361815,134.9285744,緯度経度は怪しい
兵庫県,多可町,25,坂本270-1地先,小西様宅前ガードレール,35.0502159,134.9234248,
兵庫県,多可町,26,森本325-2,神姫バス森本停留所フェンス,35.042259,134.953353,緯度経度は怪しい
兵庫県,多可町,27,曽我井625-6,グリーンプラザ南入口歩道フェンス,35.0276155,134.9370098,緯度経度は怪しい
兵庫県,多可町,28,曽我井305-2,桑村繊維(株)北側防火水槽フェンス,35.0276155,134.9370098,緯度経度は怪しい
兵庫県,多可町,29,西安田197-2地先,大西縫工(株)前フェンス,35.0586471,134.9522287,緯度経度は怪しい
兵庫県,多可町,30,西安田403,西安田大歳神社前柵,35.0439983,134.9460103,緯度経度は怪しい
兵庫県,多可町,31,中安田104-3,安田郵便局東道路法面,35.0394769,134.9518476,緯度経度は怪しい
兵庫県,多可町,32,中安田5-2,安田稲荷口バス停フェンス,35.0394769,134.9518476,緯度経度は怪しい
兵庫県,多可町,33,東安田511-3,東安田児童公園前転落防止柵,35.0502159,134.9234248,
兵庫県,多可町,34,山寄上76-1,北部簡易水道水源地フェンス,35.0502159,134.9234248,
兵庫県,多可町,35,鳥羽474-1,鳥羽公民館駐車場フェンス,35.0502159,134.9234248,
兵庫県,多可町,36,鳥羽42地先,足立様宅前フェンス,35.0502159,134.9234248,
兵庫県,多可町,37,清水390-1地先,山口様宅北交差点法面,35.079615,134.93146,緯度経度は怪しい
