prefecture,city,number,address,name,lat,long,note
兵庫県,太子町,1,鵤1023-1北,北之町北粗大ごみ集積場南側ガードレール,34.8434669,134.5758792,
兵庫県,太子町,2,鵤678,斑鳩公民館東側フェンス,34.8366038,134.575291,
兵庫県,太子町,3,馬場171-1,森興業西側道路ガードレール,34.8404481,134.5714654,
兵庫県,太子町,4,鵤1310-7,図書館北側,34.8346152,134.5806094,
兵庫県,太子町,5,鵤713,斑鳩小学校南東角フェンス,34.8375084,134.5768995,
兵庫県,太子町,6,鵤564,柳生印刷所前フェンス,34.8356779,134.5772578,
兵庫県,太子町,7,下阿曽1-1北,セブンイレブン兵庫太子阿曽店北側フェンス,34.8318901,134.5702265,
兵庫県,太子町,8,阿曽199-1,masked,34.8352609,134.5662009,
兵庫県,太子町,9,鵤1410-3,ふれあいホール北側(ダイハツ太子店西側),34.8335099,134.5808251,
兵庫県,太子町,10,鵤70-1,県道太子御津線植栽(関西電力鵤変電所東),34.8356779,134.5772578,
兵庫県,太子町,11,鵤280-23東,廣橋税理士事務所東駐車場フェンス,34.8332631,134.5722681,緯度経度は怪しい
兵庫県,太子町,12,下阿曽107西,masked,34.8332769,134.5722801,緯度経度は怪しい
兵庫県,太子町,13,老原516-13南,老原浄水場フェンス,34.8268928,134.5704847,
兵庫県,太子町,14,老原102-1,保健福祉会館東側畑,34.8252303,134.5685077,
兵庫県,太子町,15,常全178,荒神社境内広場,34.8279042,134.5620131,
兵庫県,太子町,16,宮本20-1西,masked,34.8236536,134.5619695,
兵庫県,太子町,17,船代258-1,masked,34.8206323,134.5619024,
兵庫県,太子町,18,立岡442-1,masked,34.8288514,134.5783423,
兵庫県,太子町,19,蓮常寺112-1,アベイル北側ガードレール,34.8245418,134.5744271,
兵庫県,太子町,20,福地422西,石海小学校西向かいフェンス,34.8202601,134.5723051,
兵庫県,太子町,21,蓮常寺230北,神社(天満宮)石垣,34.8219393,134.5756763,
兵庫県,太子町,22,竹広228-4,masked,34.8188073,134.5769545,
兵庫県,太子町,23,糸井177,糸井合同会館,34.8194309,134.5807,緯度経度は怪しい
兵庫県,太子町,24,糸井288-17北,太子米穀店北側,34.8171724,134.5811259,
兵庫県,太子町,25,糸井38-7,八幡宅西側住宅,34.819229,134.5824665,
兵庫県,太子町,26,岩見構37-13,岩見構上公会堂東空地,34.8155748,134.5631392,
兵庫県,太子町,27,岩見構341,岩見構下公会堂広場,34.8143453,134.5650232,
兵庫県,太子町,28,吉福444-7,masked,34.8112681,134.5668096,
兵庫県,太子町,29,吉福295-6(太子ニュータウン),吉福水源地東側フェンス,34.8112509,134.5597744,
兵庫県,太子町,30,福地745-1,平福電気北側JRフェンス,34.8154321,134.5723419,
兵庫県,太子町,31,沖代161-1,沖代信号南側歩道フェンス,34.8100878,134.5719822,
兵庫県,太子町,32,米田124-2,masked,34.8113079,134.5764086,
兵庫県,太子町,33,塚森156-5西,南総合センター南植樹帯,34.8134199,134.5720794,
兵庫県,太子町,34,竹広1-51,masked,34.8151185,134.5781037,
兵庫県,太子町,35,矢田部334-1,ふれあい広場フェンス,34.8269165,134.5843804,
兵庫県,太子町,36,矢田部135-13西,JA兵庫西南側歩道ガードレール,34.8251501,134.5826942,
兵庫県,太子町,37,東南98北,天神入口石垣,34.8302625,134.583861,
兵庫県,太子町,38,東南396-1,masked,34.8302699,134.5872743,
兵庫県,太子町,39,東南728,太子苑公民館西側,34.8317358,134.591735,
兵庫県,太子町,40,東保300-1北,グリーンフォレスト動物病院第2駐車場東側,34.8359144,134.5863591,
兵庫県,太子町,41,東南51-1,町民体育館南側フェンス,34.8315248,134.5815937,
兵庫県,太子町,42,太田231-3北,太子の郷北へ約150mの交差点付近,34.835876,134.5979242,緯度経度は怪しい
兵庫県,太子町,43,太田373東,町与自治会倉庫前フェンス,34.8336666,134.5990207,
兵庫県,太子町,44,太田805-3北,masked,34.8360775,134.6025981,
兵庫県,太子町,45,太田1057-3西,子ども広場前ガードレール,34.8331775,134.606193,
兵庫県,太子町,46,太田1934-1北,川島橋南町道ガードレール,34.8298798,134.6009788,
兵庫県,太子町,47,東保472-1,masked,34.8353436,134.5906187,
兵庫県,太子町,48,東出126-1南,太田幼稚園南側フェンス,34.833822,134.5951689,
兵庫県,太子町,49,東出3-2西,聖徳台西側町道ガードレール,34.8332769,134.5722801,緯度経度は怪しい
兵庫県,太子町,50,太田2262-12西,東出ヶ丘遊園地フェンス,34.8312011,134.5974432,
兵庫県,太子町,51,太田1570-17北,新幹線フェンス,34.8282856,134.6061478,
兵庫県,太子町,52,天満山91-2,県住入口前,34.8267642,134.6081641,
兵庫県,太子町,53,原1039,農村交流センター前フェンス,34.826664,134.6161721,緯度経度は怪しい
兵庫県,太子町,54,原538-19,原池団地入口東、原勝原線沿フェンス,34.8234282,134.6112707,緯度経度は怪しい
兵庫県,太子町,55,原538-125,太田公園フェンス,34.8279114,134.609691,
兵庫県,太子町,56,黒岡21-1東,黒岡東交差点北,34.8296249,134.6084092,
兵庫県,太子町,57,山田497-2南,山田入口高架下東ガードレール,34.8345966,134.6214255,緯度経度は怪しい
兵庫県,太子町,58,佐用岡381-1,子育て支援センター駐車場フェンス,34.8440286,134.5807868,緯度経度は怪しい
兵庫県,太子町,59,佐用岡648東,龍田小学校南側交差点,34.8438287,134.5853334,
兵庫県,太子町,60,佐用岡954-1,玉田製作所西ガードレール,34.8397593,134.5814149,
兵庫県,太子町,61,松尾409東,masked,34.8502499,134.5842595,
兵庫県,太子町,62,松尾765西,松尾住宅南西部空地(町有地),34.8489919,134.5803485,緯度経度は怪しい
兵庫県,太子町,63,広坂333-1,広坂公民館フェンス,34.8532138,134.58966,緯度経度は怪しい
兵庫県,太子町,64,松ヶ下200-4北,上太田森川酒店西側交差点ガードレール,34.8439991,134.5936769,
兵庫県,太子町,65,上太田896-1南,上太田南部交差点ガードレール,34.8417129,134.5978861,
兵庫県,太子町,66,松尾747西,masked,34.8496072,134.591843,
