prefecture,city,number,address,name,lat,long,note
兵庫県,宍粟市,1,山崎町加生158,山崎高校野球場　南側フェンス,35.0092428,134.5285372,
兵庫県,宍粟市,2,山崎町鹿沢126,宍粟総合病院南側 外来専用駐車場フェンス（山崎西中学校正門前）,35.0035374,134.5390102,
兵庫県,宍粟市,3,山崎町鹿沢88-1,山崎文化会館北側花壇,35.0024571,134.5378319,
兵庫県,宍粟市,4,山崎町鹿沢78-7,しそう山崎観光駐車場東　市道ガードパイプ,35.0042717,134.5399297,
兵庫県,宍粟市,5,山崎町鹿沢64-5,防災センター前 さつき花壇（東側）,35.0039364,134.5412912,
兵庫県,宍粟市,6,山崎町鹿沢76-13,山崎小学校　屋内運動場フェンス（南側）,35.0029697,134.5415855,
兵庫県,宍粟市,7,山崎町鹿沢29-2,東鹿沢交差点付近植木,35.0037903,134.544028,
兵庫県,宍粟市,8,山崎町山崎290-4,明源寺西隣 駐車場ガードパイプ,35.0057902,134.5437192,緯度経度は怪しい
兵庫県,宍粟市,9,山崎町山崎474,泉龍寺南側　ブロック塀,35.0070218,134.5434553,
兵庫県,宍粟市,10,山崎町門前87-4付近,門前1号線 溝沿いガードレール,35.0104269,134.5348893,緯度経度は怪しい
兵庫県,宍粟市,11,山崎町門前83-2,山崎高校教職員用宿舎フェンス,35.006989,134.5329484,
兵庫県,宍粟市,12,山崎町門前143,山崎幼稚園（旧園舎）擬木柵（玄関左側）,35.006181,134.5370775,
兵庫県,宍粟市,13,山崎町上寺120,大歳神社（玉垣）,35.0115905,134.5419534,
兵庫県,宍粟市,14,山崎町庄能101-15,㈱ミキモク駐車場フェンス,35.0085875,134.5437738,
兵庫県,宍粟市,15,山崎町上寺159,masked,35.00932280000001,134.5421834,
兵庫県,宍粟市,16,山崎町庄能210-4,庄能ふれあいセンター西側フェンス,35.0107707,134.5473884,
兵庫県,宍粟市,17,山崎町庄能178-1,masked,35.0120514,134.5444366,
兵庫県,宍粟市,18,山崎町上寺373-2付近,市道上寺横須線側溝（市営横須団地1号棟手前付近）,35.0115905,134.5419534,
兵庫県,宍粟市,19,山崎町横須102,masked,35.016858,134.5401569,緯度経度は怪しい
兵庫県,宍粟市,20,山崎町山崎159,総道神社（玉垣）,35.004839,134.5443354,緯度経度は怪しい
兵庫県,宍粟市,21,山崎町今宿46-9,資源物回収ステーション山20-1南側フェンス（旧今宿公民館跡地）,35.006123,134.5496969,
兵庫県,宍粟市,22,山崎町山田210-7,さつきビル南側　市道ガードレール,35.0062969,134.5474292,
兵庫県,宍粟市,23,山崎町今宿1-2,夢公園　西側フェンス（国道側）,35.00481620000001,134.5485566,緯度経度は怪しい
兵庫県,宍粟市,24,山崎町山田110-14,神姫バス山崎営業所北　さつき花壇,35.0024863,134.5460736,
兵庫県,宍粟市,25,山崎町須賀沢607,masked,34.99489560000001,134.5643527,
兵庫県,宍粟市,26,山崎町須賀沢34-1,須賀沢公民館ブロック塀,35.006093,134.5546991,緯度経度は怪しい
兵庫県,宍粟市,27,山崎町須賀沢275-1,中国道南側マンホールポンプユニット制御盤 ガードフェンス,34.9957086,134.5643159,緯度経度は怪しい
兵庫県,宍粟市,28,山崎町須賀沢155-8付近,宍粟橋東詰,34.9957086,134.5643159,緯度経度は怪しい
兵庫県,宍粟市,29,山崎町高所391-5,高所4バス停 県道ガードパイプ,35.0083973,134.5584321,
兵庫県,宍粟市,30,山崎町木谷87-1,木谷消防器具庫前 市道ガードパイプ,35.0058817,134.520758,緯度経度は怪しい
兵庫県,宍粟市,31,山崎町市場675-1,菅野クリーンセンター　北西市道ガードレール,35.0136168,134.5184023,緯度経度は怪しい
兵庫県,宍粟市,32,山崎町市場155-7,消防詰所前　道路向い歩道用防護柵,35.0136168,134.5184023,緯度経度は怪しい
兵庫県,宍粟市,33,山崎町高下273-8,広岡橋南詰　西側ガードパイプ,35.0181776,134.5092652,
兵庫県,宍粟市,34,山崎町高下1640-1,高下加圧ポンプ場　フェンス,35.01628,134.5054442,緯度経度は怪しい
兵庫県,宍粟市,35,山崎町高下632-1,市道高下青木線法面　太陽光パネル前,35.0206257,134.5034712,
兵庫県,宍粟市,36,山崎町青木172-1,菅野幼稚園　フェンス,35.0267853,134.4975874,緯度経度は怪しい
兵庫県,宍粟市,37,山崎町青木3067,県道53号沿い鍛冶屋橋西空き地,35.0305459,134.4889469,
兵庫県,宍粟市,38,山崎町青木717,㈱栗山化成　ブロック塀,35.0362964,134.4877356,緯度経度は怪しい
兵庫県,宍粟市,39,山崎町塩田178-1,塩田加圧ポンプ場　フェンス,35.0497073,134.4851435,緯度経度は怪しい
兵庫県,宍粟市,40,山崎町塩田527-2,masked,35.057116,134.4808191,緯度経度は怪しい
兵庫県,宍粟市,41,山崎町春安224-2,春安公民館前　市道ガードレール,35.0033583,134.5307497,緯度経度は怪しい
兵庫県,宍粟市,42,山崎町段235-3,観音橋西詰空き地,34.9997687,134.5341718,
兵庫県,宍粟市,43,山崎町中井182-2,ナンバ前　市道ガードフェンス,34.9964544,134.5410765,
