prefecture,city,number,address,name,lat,long,note
兵庫県,稲美町,1,国岡6丁目184,総合福祉会館フェンス,34.7497586,134.9125382,
兵庫県,稲美町,2,国岡170,国岡城の池フェンス,34.7519861,134.914826,緯度経度は怪しい
兵庫県,稲美町,3,国岡1丁目172,稲美町役場南側駐車場,34.7483942,134.911241,緯度経度は怪しい
兵庫県,稲美町,4,国岡2丁目48,前條公園フェンス,34.7483567,134.9095704,
兵庫県,稲美町,5,国岡1丁目105,山城池公園フェンス,34.7485467,134.915969,緯度経度は怪しい
兵庫県,稲美町,6,国安1286-24,中央公園ポケットパーク入口,34.7507007,134.9210754,
兵庫県,稲美町,7,国岡885-3,国岡北交差点,34.7519861,134.914826,緯度経度は怪しい
兵庫県,稲美町,8,岡2238-5,十七丁研修センター,34.7399592,134.9340846,緯度経度は怪しい
兵庫県,稲美町,9,岡2756-2,岡本茂一様宅前,34.7359712,134.9183294,緯度経度は怪しい
兵庫県,稲美町,10,岡1232-11,岡交差点フェンス,34.7359712,134.9183294,緯度経度は怪しい
兵庫県,稲美町,11,岡1022-5,出新田公民館フェンス,34.7336559,134.9181338,
兵庫県,稲美町,12,岡922-2,岡東公園前フェンス,34.7359712,134.9183294,緯度経度は怪しい
兵庫県,稲美町,13,国安297-2,王子池空き地,34.7431377,134.914826,緯度経度は怪しい
兵庫県,稲美町,14,岡1498-1,天満東幼稚園フェンス,34.7378714,134.9194789,
兵庫県,稲美町,15,国安164,琴池防火水槽横,34.7431377,134.914826,緯度経度は怪しい
兵庫県,稲美町,16,岡491,あさざホール(岡西公民館)前,34.7368993,134.9119348,
兵庫県,稲美町,17,国安1150-1,国安小池水利組合様管理地,34.7435786,134.9118517,緯度経度は怪しい
兵庫県,稲美町,18,国安,主要県道宗佐・土山線 天満神社前交差点南先 歩道ガードレール,34.7431377,134.914826,緯度経度は怪しい
兵庫県,稲美町,19,国安5-8,稲美町西部配水場,34.7479295,134.9207743,緯度経度は怪しい
兵庫県,稲美町,20,岡153,旧岡西公会堂横（稲荷神社前）,34.7380485,134.9091306,緯度経度は怪しい
兵庫県,稲美町,21,国安590,国安公民館フェンス,34.7406472,134.9058081,
兵庫県,稲美町,22,六分一1406-35,天満大池南側主要県道宗佐・土山線沿反対車線フェンス,34.7314772,134.90422,
兵庫県,稲美町,23,六分一315,六分一ふれあい広場フェンス,34.7292381,134.9043141,
兵庫県,稲美町,24,六分一541-2,農村環境改善センター,34.7340596,134.8990938,
兵庫県,稲美町,25,六分一596-1,六分一水利会館フェンス,34.7325482,134.9000539,緯度経度は怪しい
兵庫県,稲美町,26,六分一632-1,天満南幼稚園フェンス,34.7318352,134.9019322,緯度経度は怪しい
兵庫県,稲美町,27,六分一442-2,大西孝彦様宅フェンス,34.7366775,134.8989295,
兵庫県,稲美町,28,六分一36,農事組合法人あぐり六分一（旧六分一営農組合）様フェンス,34.7381934,134.9020094,緯度経度は怪しい
兵庫県,稲美町,29,和田471,和田五社大神社,34.73586040000001,134.8917957,
兵庫県,稲美町,30,和田424-1,小山英樹様所有駐車場フェンス,34.7377112,134.8897104,
兵庫県,稲美町,31,和田139-1,上田博一様宅前空き地,34.7377112,134.8897104,
兵庫県,稲美町,32,幸竹204,中澤光昭様宅西側（町道六分一西和田線フェンス）,34.74424370000001,134.8917873,
兵庫県,稲美町,33,森安442,防火水槽横,34.7401144,134.8988687,
兵庫県,稲美町,34,森安81,天満南小学校フェンス,34.741466,134.8945393,
兵庫県,稲美町,35,中村86,ふれあい広場フェンス,34.746331,134.8960697,緯度経度は怪しい
兵庫県,稲美町,36,中村1043-1,西部隣保館フェンス,34.7522637,134.8930149,
兵庫県,稲美町,37,中村1395-1,向山池大神社裏,34.7512086,134.8886684,
兵庫県,稲美町,38,中村1259,旧コスモス児童館フェンス,34.7499548,134.890516,
兵庫県,稲美町,39,中村1830,西山団地内,34.7522005,134.8881333,
兵庫県,稲美町,40,中一色97-1,西和田農業倉庫跡,34.7570414,134.8854773,
兵庫県,稲美町,41,中一色836,中一色児童公園フェンス,34.7624321,134.8845518,
兵庫県,稲美町,42,中一色525-3,中一色田中墓地,34.7570414,134.8854773,
兵庫県,稲美町,43,北山284,金守公会堂前,34.7566828,134.8944063,緯度経度は怪しい
兵庫県,稲美町,44,北山602-1,後池町道側,34.7563487,134.9054822,緯度経度は怪しい
兵庫県,稲美町,45,中村1809,教育集会所フェンス,34.749649,134.8961366,
兵庫県,稲美町,46,中村1003-1,下沢児童公園フェンス,34.7535484,134.897022,緯度経度は怪しい
