prefecture,city,number,address,name,lat,long,note
兵庫県,西宮市,1,六湛寺町 10番,西宮市議会北東,34.7377816,135.3410971,
兵庫県,西宮市,2,六湛寺町 11番,六湛寺南公園南側南向き,34.7366984,135.340909,
兵庫県,西宮市,3,六湛寺町 3番1号,市役所東館　東側植え込み,34.7365019,135.3433311,
兵庫県,西宮市,4,和上町 1番,和上公園西側,34.7378953,135.3390008,
兵庫県,西宮市,5,江上町 1番,兵庫県西宮総合庁舎駐車場東側,34.7397432,135.3414962,
兵庫県,西宮市,6,樋塚町 2番28号,兵庫県西宮総合庁舎東側,34.762836,135.371063,緯度経度は怪しい
兵庫県,西宮市,7,六湛寺町 10番,市役所本庁舎向い（駐輪場柵）,34.7377816,135.3410971,
兵庫県,西宮市,8,与古道町 4番,与古道公園内南部分土手,34.7346257,135.3437715,
兵庫県,西宮市,9,松原町 2番37号,勤労会館（ホール）南側,34.7362568,135.3455116,
兵庫県,西宮市,10,津門大塚町 6番,大塚橋北側ガードレール,34.7383793,135.3535346,
兵庫県,西宮市,11,染殿町 8番3号,健康開発センター北側,34.7342815,135.3451914,
兵庫県,西宮市,12,松原町 11番,松原公園東側金網,34.7353123,135.3462365,
兵庫県,西宮市,13,染殿町 8番17号,総合福祉センター東側,34.7340017,135.3454964,
兵庫県,西宮市,14,津門大塚町 1番7号,大塚あすなろ公園,34.7382113,135.3510333,
兵庫県,西宮市,15,久保町 9番,交通公園西側北端,34.729222,135.3397347,
兵庫県,西宮市,16,用海町 3番54号,用海小学校南側（南門西）,34.7322387,135.3444327,
兵庫県,西宮市,17,用海町 4番,日本盛本社西前緑地帯,34.7304059,135.3430382,
兵庫県,西宮市,18,用海町 3番54号,用海小学校北側,34.7322387,135.3444327,
兵庫県,西宮市,19,石在町 13番,白鹿宮水井戸西前緑地帯,34.7322714,135.3412118,
兵庫県,西宮市,20,石在町 18番,東二公園東側南端,34.7290691,135.3412026,
兵庫県,西宮市,21,東町１丁目 6番,東一公園北側中央,34.7294921,135.3440651,
兵庫県,西宮市,22,東町２丁目 4番,市営東町２丁目住宅２号棟　北側,34.7271334,135.3406154,
兵庫県,西宮市,23,東町２丁目 6番,浜戎公園東側中央,34.7261599,135.340909,
兵庫県,西宮市,24,浜松原町 8番,県営西宮浜松原住宅２号棟南側,34.7259459,135.3450927,
兵庫県,西宮市,25,浜松原町 5番,浜松原東児童遊園東側,34.7270821,135.3459001,
兵庫県,西宮市,26,久保町 14番15号,ワークメイト西宮聖徳園南側,34.7261504,135.3384421,
兵庫県,西宮市,27,浜脇町 5番48号,浜脇小学校東門北側,34.7317683,135.3367532,
兵庫県,西宮市,28,浜脇町 5番48号,浜脇小学校西門北側,34.7317683,135.3367532,
兵庫県,西宮市,29,宮前町 3番,宮前公園西側南端,34.7321111,135.3348911,
兵庫県,西宮市,30,宮前町 3番5号,浜脇中学校正門西側,34.7325804,135.3338453,
兵庫県,西宮市,31,浜町 1番,白鷹出荷場南側,34.7310444,135.3376798,
兵庫県,西宮市,32,建石町 2番,前浜ポンプ場南側,34.7291965,135.3351846,
兵庫県,西宮市,33,川東町 5番,香櫨園第２コーポラス西向い夙川公園内,34.7312942,135.329681,
兵庫県,西宮市,34,前浜町 3番,前浜南公園東側,34.7270599,135.3338637,
兵庫県,西宮市,35,泉町 2番,市営泉町住宅２号棟　公園南側,34.7252658,135.3329831,
兵庫県,西宮市,36,川添町 6番,川添公園東側ネットフェンス,34.7289084,135.330424,
兵庫県,西宮市,37,前浜町 2番,前浜東公園南側,34.7271845,135.3353314,
兵庫県,西宮市,38,泉町 1番,泉公園西側北端,34.7258846,135.3336068,
兵庫県,西宮市,39,泉町 6番,夙川オアシスロード鉄柵,34.726273,135.3291674,
兵庫県,西宮市,40,西宮浜４丁目 2番31号,西宮浜義務教育学校東校舎側東門南横,34.7157998,135.3296076,
兵庫県,西宮市,41,西宮浜４丁目 5番1号,市営西宮浜４丁目住宅１号棟　北側,34.7148921,135.3283321,
兵庫県,西宮市,42,西宮浜４丁目 5番3号,市営西宮浜4丁目住宅　阪神バスマリナパーク西停留所向い,34.7142269,135.3273487,
兵庫県,西宮市,43,西宮浜４丁目 13番,西宮浜公民館東　さくら公園北側,34.7122821,135.3276999,
兵庫県,西宮市,44,西宮浜４丁目 13番,西宮市貝類館東さくら公園南,34.7122821,135.3276999,
兵庫県,西宮市,45,宮西町 4番,阪神香櫨園駅北側　夙川東 夙川公園内,34.7348637,135.3297544,
兵庫県,西宮市,46,宮西町 14番,阪神香櫨園駅北側 夙川東 夙川公園内,34.736603,135.32971,
兵庫県,西宮市,47,産所町 5番,産所公園北側,34.737002,135.3345241,
兵庫県,西宮市,48,産所町 10番2号,ＮＴＴ西日本兵庫支店阪神ビル北側,34.7379107,135.3356134,
兵庫県,西宮市,49,産所町 5番1号,産所（児童）公園,34.7368904,135.3345385,
兵庫県,西宮市,50,中浜町 3番32号,香櫨園小学校西側西向かい水路フェンス,34.7323812,135.3256271,
兵庫県,西宮市,51,堀切町 8番,堀切さくら公園東側フェンス,34.7304827,135.3238846,
兵庫県,西宮市,52,中陵原町 2番,甲陽学院中学校北側道路鉄柵,34.750916,135.343735,緯度経度は怪しい
兵庫県,西宮市,53,中陵原町 3番,甲陽学院中学校運動場北側西端,34.750916,135.343735,緯度経度は怪しい
兵庫県,西宮市,54,中陵原町 3番,甲陽学院中学校運動場東側,34.750916,135.343735,緯度経度は怪しい
