prefecture,city,number,address,name,lat,long,note
兵庫県,香美町,1,香住区境15-3,一本松南交差点ガードレール 消防署筋の信号横,35.6509643,134.644805,緯度経度は怪しい
兵庫県,香美町,2,香住区境455-3,旧香住高校若潮寮フェンス 消防器具箱横,35.6509643,134.644805,緯度経度は怪しい
兵庫県,香美町,3,香住区境1104,境住宅2号棟フェンス 境浜側,35.6471044,134.638864,
兵庫県,香美町,4,香住区一日市165,長福寺前の駐車場フェンス 伊賀通隆様所有,35.6482677,134.6324417,
兵庫県,香美町,5,香住区一日市446,畑中肇様宅隣空地のフェンス,35.6466457,134.6358365,
兵庫県,香美町,6,香住区一日市316,消防詰所（壁面）,35.6470682,134.632801,緯度経度は怪しい
兵庫県,香美町,7,香住区若松676-34,北長酒店の横の角の住宅 植田栄助様所有,35.6459817,134.6320503,
兵庫県,香美町,8,香住区若松723-4,若松コミニティーセンター横 植木,35.643781,134.6323414,
兵庫県,香美町,9,香住区若松711-9,但馬漁協冷蔵庫空地 喫茶ピエロ斜前,35.64378430000001,134.6311084,
兵庫県,香美町,10,香住区若松489,山手第1公園 歩道柵,35.6442276,134.6319248,
兵庫県,香美町,11,香住区若松540,香住病院入口 川沿い,35.6442276,134.6319248,緯度経度は怪しい
兵庫県,香美町,12,香住区香住1831,田淵義親様宅の塀,35.64259260000001,134.6315397,
兵庫県,香美町,13,香住区香住80-1,香住谷川 橋の欄干 松岡塗装店下る,35.6399825,134.6319171,
兵庫県,香美町,14,香住区香住102-2,町英語助手職員住宅の塀 文化会館東隣,35.639219,134.6303928,
兵庫県,香美町,15,香住区香住1702,旧成田医院横川沿いのごみ置場フェンス,35.637969,134.6289563,
兵庫県,香美町,16,香住区香住1595-3,旧役場跡地フェンス バス停付近,35.6381478,134.6271541,
兵庫県,香美町,17,香住区香住1595-9,香住小学校南門側のフェンス,35.6378757,134.6267112,
兵庫県,香美町,18,香住区香住1595-9,香住小学校体育館裏側のフェンス 香住小学校裏・中道,35.6378757,134.6267112,
兵庫県,香美町,19,香住区香住1559,香住警部派出所横の新道路の歩道花壇,35.6391204,134.627881,
兵庫県,香美町,20,香住区香住1731-3,荒木その様宅の塀 中道,35.6403012,134.6293309,
兵庫県,香美町,21,香住区香住1541,しおかぜ香苑駐車場の植え込み 産業道路歩道沿い,35.6396793,134.6289382,
兵庫県,香美町,22,香住区七日市234,クボタ営業所前歩道柵 国道178号沿い,35.6373621,134.6202025,
兵庫県,香美町,23,香住区七日市180-5,宇田茂夫様宅の塀 旧JA給油所前下りる三叉路,35.638398,134.6179226,
兵庫県,香美町,24,香住区七日市46,ムコネ自動車工業（有）様裏側のフェンス 民宿河谷様横,35.637154,134.6216602,
兵庫県,香美町,25,香住区七日市22,駅前駐車場フェンス,35.6360375,134.622634,緯度経度は怪しい
兵庫県,香美町,26,香住区香住1281-1,香美町保健センター,35.6365761,134.6249234,
兵庫県,香美町,27,香住区香住1311,上田様宅の塀 区内四差路,35.6370012,134.6248834,
兵庫県,香美町,28,香住区香住1622-1,日本キリスト教団香住協会横空地,35.6360628,134.6268357,
兵庫県,香美町,29,香住区香住870-1,香美町役場駐車場内,35.6320576,134.6292207,緯度経度は怪しい
兵庫県,香美町,30,香住区香住826-1,小川サヨ子様所有の畑 久保鉄工所東側,35.6348913,134.6289436,
兵庫県,香美町,31,香住区香住853,旧正垣医院専用駐車場フェンス 一中登校路,35.6340191,134.6272204,
兵庫県,香美町,32,香住区香住1170-2,岩崎樹由様宅横のフェンス 香住板金塗装工業所,35.63179179999999,134.6242868,緯度経度は怪しい
兵庫県,香美町,33,香住区油良309-4,油良区入口道路の低い方のフェンス,35.6314865,134.6205282,
兵庫県,香美町,34,香住区間室101-1,町道狭間加鹿野線沿 間室 鎌田はじめ様宅東,35.6283658,134.6200618,
兵庫県,香美町,35,香住区森499,町営住宅内公園前のフェンス 西山工務店様所有,35.6285661,134.6228819,緯度経度は怪しい
兵庫県,香美町,36,香住区森404-1,小野木和也様宅の塀,35.6263936,134.6241718,
兵庫県,香美町,37,香住区森863-1,大乗寺入口横の水路の柵 応挙前食堂の向かい側,35.6263977,134.6285498,
兵庫県,香美町,38,香住区守柄64-1,守柄の区内道路のツルカノ橋の欄干 守柄口,35.6211783,134.6221017,緯度経度は怪しい
兵庫県,香美町,39,香住区守柄1422,守柄区子供広場,35.6195427,134.6165347,緯度経度は怪しい
兵庫県,香美町,40,香住区加鹿野1,県道筋歩道の欄干,35.6207816,134.6267708,緯度経度は怪しい
兵庫県,香美町,41,香住区加鹿野1,香住自動車教習所 フェンス,35.6207816,134.6267708,緯度経度は怪しい
兵庫県,香美町,42,香住区矢田109,谷脇勝之様所有の倉庫前空地 矢田橋西、坂下,35.638358,134.6144013,
兵庫県,香美町,43,香住区矢田916-1,香住高校バス停横橋の欄干 谷脇徹様宅斜め前,35.6410252,134.6112406,緯度経度は怪しい
兵庫県,香美町,44,香住区下浜657,民宿「笹屋」横の空地 宿院勝已様所有,35.6422019,134.6121326,
兵庫県,香美町,45,香住区下浜653-16,川本屋斜め前(下浜の方)の歩道ガードレール,35.642398,134.6111416,
兵庫県,香美町,46,香住区下浜797-1,民宿「ひさや」の斜め前の橋のガードレール,35.6455218,134.6132633,
兵庫県,香美町,47,香住区下浜868,濱上安英様宅の塀 浜上酒店様,35.6447008,134.6124071,
兵庫県,香美町,48,香住区下浜770-4,香住高校艇庫フェンス,35.6485659,134.6048384,緯度経度は怪しい
兵庫県,香美町,49,香住区丹生地259,消防格納庫付近 町道沿い,35.6332454,134.6708146,緯度経度は怪しい
兵庫県,香美町,50,香住区西下岡173,下岡橋歩道橋西詰,35.62747299999999,134.677493,緯度経度は怪しい
兵庫県,香美町,51,香住区下岡507,奥佐津コミュニティ・テニスコートのフェンス,35.6260653,134.6787485,
兵庫県,香美町,52,香住区下岡766,下岡区広場の斜め前方の畑 安田裕至様所有,35.6239968,134.6798988,緯度経度は怪しい
兵庫県,香美町,53,香住区上岡89,旧森川そよ様宅の塀 奥佐津郵便局前,35.6224212,134.67579,緯度経度は怪しい
兵庫県,香美町,54,香住区上岡114-1,上岡区公民館前,35.6217092,134.6756073,緯度経度は怪しい
兵庫県,香美町,55,香住区隼人215-1,隼人区消防格納庫 隼人区多目的集会所横,35.6210434,134.6741353,緯度経度は怪しい
兵庫県,香美町,56,香住区隼人288,小松一夫様使用の住宅の塀 区公民館東行約100m,35.6200145,134.6740366,緯度経度は怪しい
兵庫県,香美町,57,香住区畑307,畑区内道路入口 フェンス,35.6027091,134.6723315,緯度経度は怪しい
兵庫県,香美町,58,香住区畑353,吉田育雄様の車庫脇空地 区内道路中程,35.6015746,134.6726048,緯度経度は怪しい
兵庫県,香美町,59,香住区畑500,小松義昭様所有の倉庫 県道筋,35.6006454,134.6740889,緯度経度は怪しい
兵庫県,香美町,60,香住区畑496,畑区会館のフェンス,35.600195,134.6736722,緯度経度は怪しい
兵庫県,香美町,61,香住区三川63,大梶コミュニティのフェンス,35.5915384,134.6614852,緯度経度は怪しい
兵庫県,香美町,62,香住区三川314,旧奥佐津小学校三川分校,35.5741709,134.648019,緯度経度は怪しい
兵庫県,香美町,63,香住区三川173,県道と集落道との交差点前ガードレール,35.5724814,134.6463509,緯度経度は怪しい
兵庫県,香美町,64,香住区土生189,全但バス停付近町道ガードレール 区内入口,35.5911007,134.6962591,
兵庫県,香美町,65,香住区土生259,区の町道ガードレール 土生区会館奥50m,35.5887935,134.6950581,
兵庫県,香美町,66,香住区九斗103,九斗区子供の広場フェンス,35.6431279,134.6849057,緯度経度は怪しい
兵庫県,香美町,67,香住区米地189-1,八木稔様宅横の消火栓の向かい側道路沿い,35.6389204,134.6894413,緯度経度は怪しい
兵庫県,香美町,68,香住区訓谷339,佐津小学校グラウンドフェンス 佐津地区公民館向かい側,35.6511415,134.6918492,
兵庫県,香美町,69,香住区訓谷345-1,佐津小学校駐車場フェンス 滝本電気向かい側,35.6536709,134.6914036,緯度経度は怪しい
兵庫県,香美町,70,香住区無南垣165,佐津診療所前,35.6527697,134.6846335,
兵庫県,香美町,71,香住区無南垣760,亀田巻子様宅の塀 長谷寺の先約50m東入る,35.6553693,134.6871096,緯度経度は怪しい
兵庫県,香美町,72,香住区無南垣186-1,JR佐津駅前広場 広場入り口右角,35.6534455,134.6851634,
兵庫県,香美町,73,香住区奥安木525,ゴミ収納庫横,35.6308896,134.637916,緯度経度は怪しい
兵庫県,香美町,74,香住区奥安木490,奥安木区公民館前広場 奥安木構造改善センター前広場,35.6308896,134.637916,緯度経度は怪しい
兵庫県,香美町,75,香住区浜安木1600,奥安木行町道沿いゴミ収納庫横,35.6308896,134.637916,緯度経度は怪しい
兵庫県,香美町,76,香住区浜安木1564-1,香住久美浜線より区内入口付近の歩道柵 空き地前の歩道柵,35.6308896,134.637916,緯度経度は怪しい
兵庫県,香美町,77,香住区相谷143-1,民宿ぬまた駐車場,35.6579134,134.7176802,緯度経度は怪しい
兵庫県,香美町,78,香住区相谷175,相谷区会館,35.6579134,134.7176802,緯度経度は怪しい
兵庫県,香美町,79,香住区浦上1278,藤原惣一郎様宅前のガードレール 藤原久嗣様宅の横で川沿い,35.6475526,134.6630482,
兵庫県,香美町,80,香住区浦上1135-3,浦上区入口付近の駐車場横の農地 国道沿い,35.6478719,134.6611958,
兵庫県,香美町,81,香住区上計2-4,柴山保育所のフェンス,35.6502216,134.6595125,
兵庫県,香美町,82,香住区上計1157-3,柴山地区公民館前,35.65089529999999,134.6582438,
兵庫県,香美町,83,香住区上計1262,森本神社前の川向う町道フェンス,35.64924310000001,134.6581533,緯度経度は怪しい
兵庫県,香美町,84,香住区沖浦911-3,但馬漁協柴山支所の敷地 国道広告塔,35.6537077,134.659631,緯度経度は怪しい
兵庫県,香美町,85,香住区沖浦992-19,沖浦信号機から町道を北に20m,35.6577139,134.6572964,
兵庫県,香美町,86,香住区沖浦1043,小西信彦様宅の庭塀 区内食料品店斜め前,35.6588607,134.6578147,緯度経度は怪しい
兵庫県,香美町,87,香住区三谷542,清水幸信様所有車庫,35.6134123,134.6274493,緯度経度は怪しい
兵庫県,香美町,88,香住区三谷808-2,大谷口バス停横の歩道柵 大谷口信号北側の停留所,35.6119311,134.6286739,緯度経度は怪しい
兵庫県,香美町,89,香住区大谷125,松井正様所有の畑 大谷橋から約200m・神社道との三叉路,35.6042027,134.6428385,緯度経度は怪しい
兵庫県,香美町,90,香住区大谷89-1,榎秀俊様所有車庫の横,35.6033525,134.6332369,緯度経度は怪しい
兵庫県,香美町,91,香住区大野86-1,長井小学校入口 フェンス,35.6055367,134.6204456,緯度経度は怪しい
兵庫県,香美町,92,香住区大野391-1,大野区内四つ角歩道脇ガードレール,35.6008988,134.617484,緯度経度は怪しい
兵庫県,香美町,93,香住区小原342,小原自治会会館 駐車場横を入る,35.6010643,134.610877,緯度経度は怪しい
兵庫県,香美町,94,香住区小原736,林田登様宅横空き地,35.6084489,134.5958043,緯度経度は怪しい
兵庫県,香美町,95,香住区中野288,中野区会館前の敷地,35.5884345,134.6119258,
兵庫県,香美町,96,香住区藤191,藤橋東詰,35.5840126,134.6095003,緯度経度は怪しい
兵庫県,香美町,97,香住区八原535,北脇勇治様所有の土蔵 県道筋、区の北寄り,35.5818766,134.6057071,緯度経度は怪しい
兵庫県,香美町,98,香住区八原480,八原区公園フェンス,35.5807957,134.6066782,緯度経度は怪しい
兵庫県,香美町,99,香住区余部1069-4(市千),電話局機械室付近の歩道沿いフェンス 国道沿い・谷口食堂横,35.6414413,134.5648269,緯度経度は怪しい
兵庫県,香美町,100,香住区余部1137(市千),中村さくゑ様所有の精米所 市千一梶原線,35.6432074,134.5644798,緯度経度は怪しい
兵庫県,香美町,101,香住区余部1304(梶原),梶原区公民館斜め前方の道路ガードレール,35.6455705,134.563171,
兵庫県,香美町,102,香住区余部1568-3(浜),小学校入口横の歩道柵 公民館横,35.6477322,134.5606878,
兵庫県,香美町,103,香住区余部1710-2(浜),空の駅公園前ガードパイプ 浜一西線、町民バス バス停横,35.6392214,134.6291066,緯度経度は怪しい
兵庫県,香美町,104,香住区余部1810-1(西),千崎密夫様宅の塀,35.65028450000001,134.5574167,
兵庫県,香美町,105,香住区余部1857-2(西),藤原千代子様の車庫の壁板,35.6496647,134.5569853,
兵庫県,香美町,106,香住区余部2052(西),山崎洋様宅前のガードレール,35.64655570000001,134.5520774,緯度経度は怪しい
兵庫県,香美町,107,香住区余部2988(御崎),御崎分校手前 ガードレール,35.6629406,134.5450922,
兵庫県,香美町,108,香住区余部2955(御崎),消防格納庫前の広場で北側フェンス,35.6630335,134.5439317,
兵庫県,香美町,109,香住区鎧202,鎧区内 古紙類集積所 空き地,35.648756,134.57873,緯度経度は怪しい
兵庫県,香美町,110,香住区鎧347,鎧下水道処理場のフェンス,35.6519842,134.576267,
兵庫県,香美町,111,香住区鎧410-12,JR鎧駅 町道のガードレール 鎧駅左前方,35.6516917,134.5749563,緯度経度は怪しい
兵庫県,香美町,112,村岡区境,境大橋西詰 欄干,35.5640511,134.6103038,緯度経度は怪しい
兵庫県,香美町,113,村岡区山田,山田口橋山田側 県道山田日高線,35.5463065,134.6151566,緯度経度は怪しい
兵庫県,香美町,114,村岡区山田87-1,山田浄化センター進入路上側畑,35.5463065,134.6151566,緯度経度は怪しい
兵庫県,香美町,115,村岡区山田140,本田良江様宅前（山田体育館） 石垣,35.5463065,134.6151566,緯度経度は怪しい
兵庫県,香美町,116,村岡区山田123,町民バス山田バス停付近,35.5463065,134.6151566,緯度経度は怪しい
兵庫県,香美町,117,村岡区山田1663-1,吉田常喜様宅の塀,35.551326,134.5994552,緯度経度は怪しい
兵庫県,香美町,118,村岡区長瀬359-10,谷渕一夫様宅横,35.5588123,134.5807615,緯度経度は怪しい
兵庫県,香美町,119,村岡区長瀬233-1,ごみステーション横空地,35.5568009,134.5773111,緯度経度は怪しい
兵庫県,香美町,120,村岡区原122-1,旧原消防車庫前,35.548526,134.5646828,緯度経度は怪しい
兵庫県,香美町,121,村岡区原410-7,山居隆一様宅前 防火水槽フェンス,35.5509877,134.5661431,緯度経度は怪しい
兵庫県,香美町,122,村岡区味取828-1,原郵便局前 県道川側法面,35.5454733,134.5646255,緯度経度は怪しい
兵庫県,香美町,123,村岡区味取833,岡本弘様宅横 ガードレール,35.5372562,134.5776996,緯度経度は怪しい
兵庫県,香美町,124,村岡区味取774,今後源治様宅裏 ガードレール,35.5452595,134.5630832,緯度経度は怪しい
兵庫県,香美町,125,村岡区長須,長須大橋東詰 欄干,35.5260702,134.5590448,
兵庫県,香美町,126,村岡区長須,長須大ノ谷橋 欄干,35.5260702,134.5590448,
兵庫県,香美町,127,村岡区高津772-2,高津バス停横 ガードレール,35.5122994,134.5692383,緯度経度は怪しい
兵庫県,香美町,128,村岡区川会13-1,いそうの花付近 転落防止策,35.4999786,134.5732388,緯度経度は怪しい
兵庫県,香美町,129,村岡区川会,川会仲橋 欄干,35.4995085,134.5686915,緯度経度は怪しい
兵庫県,香美町,130,村岡区入江468-2,和佐父公会堂付近 ガードレール,35.4884519,134.5734886,緯度経度は怪しい
